"Language","glotto","Source","area","langFam","latitude","longitude","WALS.qpos","S.qpos","qpos"
"Hausa","haus1257","WOLD","African Savannah","Afro-Asiatic","11.1513","8.7804","3 Mixed",NA,"3 Mixed"
"Polci","polc1243","IDS","African Savannah","Afro-Asiatic","10.0258","9.53362",NA,NA,NA
"Kanuri","cent2050","WOLD","African Savannah","Saharan","11.8863","16.3918","1 Initial interrogative phrase",NA,"1 Initial interrogative phrase"
"Northern Haida","nort2938","IDS","Alaska-Oregon","Haida","54.6931","-132.465",NA,NA,NA
"Thai (Korat variety)","sout2745","IDS","Alaska-Oregon","Tai-Kadai","102.99","14.33",NA,NA,NA
"Tsimshian","nucl1649","IDS","Alaska-Oregon","Tsimshian","54.6214","-130.496","2 Not initial interrogative phrase",NA,"2 Not initial interrogative phrase"
"Nuu-chah-nulth","nuuc1236","IDS","Alaska-Oregon","Wakashan","47.4623893","-118.3132951",NA,NA,NA
"Mapudungun","mapu1245","WOLD","Andean","Araucanian","-38.7392","-71.277","2 Not initial interrogative phrase",NA,"2 Not initial interrogative phrase"
"Aymara","cent2142","IDS","Andean","Aymara","-17","-68.5","2 Not initial interrogative phrase",NA,"2 Not initial interrogative phrase"
"Cayapa","chac1249","IDS","Andean","Barbacoan","0.71489","-79.0508","1 Initial interrogative phrase",NA,"1 Initial interrogative phrase"
"Colorado","colo1256","IDS","Andean","Barbacoan","-0.21181","-79.2347",NA,NA,NA
"Embera","nort2972","IDS","Andean","Chocoan","7.12761","-77.574",NA,"1 Initial interrogative phrase","1 Initial interrogative phrase"
"Epena","epen1239","IDS","Andean","Chocoan","4.25877","-77.3566","1 Initial interrogative phrase",NA,"1 Initial interrogative phrase"
"Cofán","cofa1242","IDS","Andean","Cofán","0.276675","-77.0643",NA,NA,NA
"Aguaruna","agua1253","IDS","Andean","Jivaroan","-5.30044","-77.9218",NA,NA,NA
"Kunza","kunz1244","IDS","Andean","Kunza","-23","-69",NA,NA,NA
"Imbabura Quechua","imba1240","WOLD","Andean","Quechuan","0.31776","-78.3729","1 Initial interrogative phrase",NA,"1 Initial interrogative phrase"
"Siona","sion1247","IDS","Andean","Tucanoan","0.31733","-76.0237",NA,"1 Initial interrogative phrase","1 Initial interrogative phrase"
"Chipaya","chip1262","IDS","Andean","Uru-Chipaya","-18.7395","-67.8963",NA,"1 Initial interrogative phrase","1 Initial interrogative phrase"
"Zuni","zuni1245","IDS","Basin and Plains","Zuni","35.0056","-108.782","1 Initial interrogative phrase",NA,"1 Initial interrogative phrase"
"Karok","karo1304","IDS","California","Karok","41.8228","-123.315",NA,NA,NA
"Basque","basq1248","IDS","Europe","Basque","43.2787","-1.31622",NA,"2 Not initial interrogative phrase","2 Not initial interrogative phrase"
"Albanian (Tosk variety)","tosk1239","IDS","Europe","Indo-European","41","20",NA,NA,NA
"Breton","bret1244","IDS","Europe","Indo-European","48.2452","-3.78934","1 Initial interrogative phrase",NA,"1 Initial interrogative phrase"
"Bulgarian","bulg1262","IDS","Europe","Indo-European","43.3646","25.047","1 Initial interrogative phrase",NA,"1 Initial interrogative phrase"
"Dutch","dutc1256","WOLD","Europe","Indo-European","52","5",NA,"1 Initial interrogative phrase","1 Initial interrogative phrase"
"English","stan1293","WOLD","Europe","Indo-European","53","-1","1 Initial interrogative phrase",NA,"1 Initial interrogative phrase"
"Lower Sorbian","lowe1385","WOLD","Europe","Indo-European","51.6621","13.9407",NA,NA,NA
"Old High German","oldh1241","WOLD","Europe","Indo-European","51.0851933","5.9698196",NA,"1 Initial interrogative phrase","1 Initial interrogative phrase"
"Romani","vlax1238","IDS","Europe","Indo-European","46.8191","14.8451",NA,NA,NA
"Romanian","roma1327","WOLD","Europe","Indo-European","46.3913","24.2256",NA,NA,NA
"Selice Romani","west2376","WOLD","Europe","Indo-European","48.090278","17.97",NA,NA,NA
"Spanish","stan1288","IDS","Europe","Indo-European","40.4414","-1.11788","1 Initial interrogative phrase",NA,"1 Initial interrogative phrase"
"Yiddish","east2295","IDS","Europe","Indo-European","51.75","19.42",NA,"1 Initial interrogative phrase","1 Initial interrogative phrase"
"Gawwada","gaww1239","WOLD","Greater Abyssinia","Afro-Asiatic","5.37869","37.2737",NA,NA,NA
"Elamite","elam1244","IDS","Greater Mesopotamia","Elamite","31.1833","48.2333",NA,"1 Initial interrogative phrase","1 Initial interrogative phrase"
"Armenian (Eastern variety)","east2283","IDS","Greater Mesopotamia","Indo-European","45","40",NA,NA,NA
"Armenian (Western variety)","west2348","IDS","Greater Mesopotamia","Indo-European","45","40",NA,NA,NA
"Persian","west2369","IDS","Greater Mesopotamia","Indo-European","28.6593","55.1586","2 Not initial interrogative phrase",NA,"2 Not initial interrogative phrase"
"Serbo-Croatian","sout1528","IDS","Greater Mesopotamia","Indo-European","21.92","44.32",NA,NA,NA
