,IDS,Glotto,Reference1,Page1,Comments1,Reference 2,Page2,Comments 2,Reference3,Page3,Comments 3,Positioning,Possible Positioning
Albanian,aln,gheg1238,newmark_albanian1982.pdf,275-278,by examining examples,kallulli_albanian2011.pdf,204,,,,,1 Initial interrogative phrase,
Avestan,ave,aves1237,skj_avestan2003,189,,beekes_gatha-avestan1988_o,140,Gatha (?) avestan,,,,,
Ayoreo,ayo,ayor1240,bertinetto_ayoreo2014_o,393-395,,bertinetto_ayoreo[nd],12-Nov,,,,,,2 Not initial interrogative phrase
Basque,eus,basq1248,hualde_basque2003,view index,WALS 93Astates that Basque is not obligatory initial,saltarelli_basque1988.pdf,starting page 5,"very detailed analysis, no explicit statement",,,,2 Not initial interrogative phrase,
Bella Coola,blc,bell1243,davis-saunders_bella-coola1997_o.pdf,80,Initial positioning for the unknown (look into more thoroughly),nater_bella-coola1984,116,based on examples,,,,,2 Not initial interrogative phrase
Paonan Katukina,knt,pano1254,aguiar_katukina1988,38,,aguiar_katukina1994_o.pdf,231,,,,,,1 Initial interrogative phrase
Cavinena,cav,cavi1250,guillaume_cavinena2008v3,102,explicitly stated,15_Pronouns.pdf,599,seems initial from examples,,,,1 Initial interrogative phrase,
Chadong,cdy,chad1240,li_chadong2008_o,604,,,,,,,,3 Mixed,
"Chatino, Zacatepec",ctz,zaca1242,villard_zacatepec-chatino2009,92,,,,,,,,1 Initial interrogative phrase,
Chipaya,cap,chip1262,cerron-palomino_chipaya2009,65,seemes not initial,cerron_chipaya2006.pdf,243,stated explicitly that initial,,,,1 Initial interrogative phrase,
Elamite,elx,elam1244,Elamite Language,29,,,,,,,,,1 Initial interrogative phrase
Embera,emp,nort2972,mortensen_northern-embera1999v2,13,,,,,,,,1 Initial interrogative phrase,
German,deu,stan1295,,,,,,,,,,1 Initial interrogative phrase,
Itonama,ito,iton1250,crevels_itonama2012_o,"251,255",,,,,,,,,1 Initial interrogative phrase
Kaingang,kgp,kain1272,dasilva_kaingang-paulista2011,163-171,,wieseman_kaingang1972.pdf,156,based on examples not initial,,,,3 Mixed,
Saami (Northern),sme,nort2671,info on pite saami (initial)- wilbur_pite-saami2014,244,,,,,,,,,1 Initial interrogative phrase
limonese creole,qlm,limo1249,winkler_limonese-creole1998,101,,,,,,,,,
Maonan,mmd,maon1241,lu_maonan2008,178,,,,,,,,2 Not initial interrogative phrase,
Marquesan,mrq,nort2845,cablitz_marquesan2006,"110,111...",,,,,,,,,3 Mixed
