entry_id	trans_english	Avestan_Phonemic
1.1	world	gaēθā-; aŋhu-
1.21	earth, land	zam-; būmi
1.212	earth=ground, soil	
1.213	dust	pąsnu-
1.214	mud	
1.215	sand	
1.22	mountain, hill	gairi-; paurvatā; bərəzah-
1.222	cliff, precipice	
1.23	plain, field	
1.24	valley	ǰąfnu-
1.25	island	dvaēpa-
1.26	mainland	karšvar-
1.27	shore	pāra-
1.28	cave	
1.31	water	āp-
1.32	sea	zrayah-
1.322	calm (of sea)	
1.323	rough (of sea)	
1.324	foam	
1.329	ocean	
1.33	lake	vairi-
1.34	gulf, bay	
1.341	lagoon	
1.342	reef	
1.343	headland, point	
1.35	wave	varəmi-
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	*θraotah-; ravan-
1.362	whirlpool	
1.37	spring, well	xā-
1.38	swamp	
1.39	waterfall	
1.41	woods, forest	razura-
1.42	tree (cf 08.600)	vanā-; varəša-
1.43	wood	dāuru-
1.44	stone, rock	asan-; zarštva-
1.45	earthquake	
1.51	sky	asman-; nabah-
1.52	sun	hvarə; auruša-
1.53	moon	māh-
1.54	star	star-
1.55	lightning	
1.56	thunder	
1.57	lightning (as striking)	vazra-
1.58	storm	
1.59	rainbow	
1.61	light (noun)	raočah-
1.62	darkness	təmah-; tąθra-
1.63	shade, shadow	*saya-
1.64	dew	
1.71	air	vayu-
1.72	wind	vāta-
1.73	cloud	maēɣa-; awra-; snaoða-
1.74	fog	maēɣa-; dunman-
1.75	rain (noun)	vāra-
1.76	snow (noun)	vafra-
1.77	ice	aēxa-; isu-
1.78	weather	
1.81	fire	ātar-
1.82	flame (noun)	*saočah-
1.83	smoke (noun)	
1.84	ashes	ātrya-
1.841	embers	
1.851	burn (vb trans)	*dag-
1.852	burn (vb intrans)	
1.86	light, kindle, ignite	
1.861	extinguish	
1.87	match (noun)	
1.88	firewood	aēsma-
1.89	charcoal	
2.1	person, human being	maṣ̌ya-; maṣ̌yāka-
2.21	man (vs. woman)	nar-; vīra-
2.22	woman	ǰani-; ǰəni-
2.23	male	aršan-; varəšna-; nairya-
2.24	female	strī-; hāirišī-; xšaθrī-
2.25	boy	puθra-
2.251	young man (adolescent)	maɣava-
