entry_id	trans_english	Aymara_Phonemic
1.1	world	
1.21	earth, land	uraḳi
1.212	earth=ground, soil	uraḳi
1.213	dust	laḳˀa
1.214	mud	ɲiḳˀi
1.215	sand	čˀalʸa
1.22	mountain, hill	ḳulʸu
1.222	cliff, precipice	
1.23	plain, field	pampa
1.24	valley	ḳʰirwa
1.25	island	[isla]
1.26	mainland	
1.27	shore	ḳuta laka
1.28	cave	tixi
1.31	water	uma
1.32	sea	[lamara]
1.322	calm (of sea)	
1.323	rough (of sea)	
1.324	foam	xupʰuḳu
1.329	ocean	mama-ḳuta
1.33	lake	ḳuta
1.34	gulf, bay	
1.341	lagoon	ḳuta-ɲa
1.342	reef	
1.343	headland, point	
1.35	wave	uxi
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	xawira
1.362	whirlpool	
1.37	spring, well	pʰučˀu
1.38	swamp	pʰusu; ḳʰuči
1.39	waterfall	pʰaxča
1.41	woods, forest	čˀumi
1.42	tree (cf 08.600)	ḳuḳa; ali
1.43	wood	kˀulʸu
1.44	stone, rock	ḳala; ḳarḳa
1.45	earthquake	
1.51	sky	alax-pača; laḳampu
1.52	sun	inti; wilʸka
1.53	moon	pʰaxsi
1.54	star	wara-wara
1.55	lightning	ḳˀixu-ḳˀixu
1.56	thunder	
1.57	lightning (as striking)	lʸixu-lʸixu
1.58	storm	wayra
1.59	rainbow	kuurmi
1.61	light (noun)	ḳʰana
1.62	darkness	čˀamaka
1.63	shade, shadow	čˀiwi
1.64	dew	sulʸa
1.71	air	
1.72	wind	tʰaya
1.73	cloud	ḳinaya
1.74	fog	urpu
1.75	rain (noun)	xalʸu
1.76	snow (noun)	kʰunu
1.77	ice	čʰulʸunkʰiya
1.78	weather	
1.81	fire	nina
1.82	flame (noun)	lapʰaḳi
1.83	smoke (noun)	xiḳˀi
1.84	ashes	ḳʰilʸa
1.841	embers	sankˀa
1.851	burn (vb trans)	pʰičʰaɲa
1.852	burn (vb intrans)	nakʰaɲa
1.86	light, kindle, ignite	nakta-ɲa
1.861	extinguish	xiwaḳaya-ɲa
1.87	match (noun)	[pʰuspʰuru]
1.88	firewood	pʰaya-ɲa-lawa
1.89	charcoal	kˀilʸima
2.1	person, human being	xaḳi
2.21	man (vs. woman)	čača
2.22	woman	warmi
2.23	male	urḳu
2.24	female	ḳaču
2.25	boy	maxtˀa; yuḳalʸa
2.251	young man (adolescent)	wayna
2.26	girl	imilʸa
2.261	young woman (adolescent)	tawaḳu
2.27	child	wawa
2.28	infant, baby	wawa
2.31	husband	čača
2.32	wife	warmi
2.33	marry	xaḳi-časi-ɲa
2.34	marriage, wedding	xaḳi-časiwi
2.341	divorce	xarxta-ɲa
2.35	father	awki; tata
2.36	mother	tayka; mama
2.37	parents	awki-naka
2.38	married man	warmina xaḳi
2.39	married woman	čačani warmi
2.41	son	yuḳa; yuḳalʸa wawa
2.42	daughter	pʰuča; imilʸa wawa
2.43	offspring (son or daughter)	
2.44	brother	xila
2.444	older brother	xiliiri xila
2.445	younger brother	sulʸkiri xila
2.45	sister	kulʸaka
2.454	older sister	xiliiri kulʸaka
2.455	younger sister	sulʸkiri kulʸaka
2.456	sibling	xila; kulʸaka
2.458	twins	ispa; ispalʸa
2.46	grandfather	ačila
2.461	old man	awki-xaḳi; awkili
2.47	grandmother	awiča
2.471	old woman	tayka warmi; taykali
2.48	grandson	alʸčʰi
2.49	granddaughter	alʸčʰi
2.51	uncle	tiwula
2.511	mother's brother	
2.512	father's brother	
2.52	aunt	ipata; laḳusita
2.521	mother's sister	
2.522	father's sister	
2.53	nephew	[suwrinu]
2.54	niece	[suwrinu]
2.55	cousin	xilata
2.56	ancestors	ačačila
2.57	descendants	
2.61	father-in-law (of a man)	awkčˀi
2.611	father-in-law (of a woman)	
2.62	mother-in-law (of a man)	taykčˀi
2.621	mother-in-law (of a woman)	
2.63	son-in-law (of a man)	tulʸḳa
2.631	son-in-law (of a woman)	
2.64	daughter-in-law (of a man)	yuxčˀa
2.641	daughter-in-law (of a woman)	
2.71	stepfather	ḳʰipa awki
2.72	stepmother	ḳʰipa tayka
2.73	stepson	
2.74	stepdaughter	
2.75	orphan	iɲu; waxča
2.76	widow	ixma
2.77	widower	
2.81	relatives, kinsmen	[parinti]
2.82	family	uta
2.91	I	naya
2.92	you (singular)	xuma
2.93	he/she/it	xupa
2.94	we	nanaka
2.941	we (inclusive)	xiwasa
2.942	we (exclusive)	nanaka
2.95	you (plural)	xumamaka
2.96	they	xupanaka
3.11	animal	uywa
3.12	male (adj)	awki
3.13	female (adj)	tayka
3.15	livestock	uywa
3.16	pasture	
3.18	herdsman	awatiri
