entry_id	trans_english	Cayuvava_Phonemic
1.1	world	datɨ
1.21	earth, land	tati
1.212	earth=ground, soil	
1.213	dust	
1.214	mud	pɔne; poone
1.215	sand	ripu
1.22	mountain, hill	rɔ'retui
1.222	cliff, precipice	
1.23	plain, field	
1.24	valley	
1.25	island	ǰuke
1.26	mainland	
1.27	shore	rabɨbɨrɨ
1.28	cave	
1.31	water	ta; kita; dabe
1.32	sea	
1.322	calm (of sea)	
1.323	rough (of sea)	
1.324	foam	bɔ
1.329	ocean	
1.33	lake	kuri ~ kui; ki-kuri
1.34	gulf, bay	
1.341	lagoon	rĩnũrũ
1.342	reef	
1.343	headland, point	
1.35	wave	
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	ɲera'barike ~ ɲera'baike
1.362	whirlpool	'dačuču; ra'čokimi
1.37	spring, well	
1.38	swamp	rinɨ̃rɨ̃ ~ rĩnɨ̃rɨ̃; hɔ'hɔbæ
1.39	waterfall	
1.41	woods, forest	'pipɨdɨ; ɲæ'ra-nãre
1.42	tree (cf 08.600)	'naare ~ nãræ̃ ~ naræ
1.43	wood	'naare ~ nãræ ~ nare
1.44	stone, rock	'yaroho
1.45	earthquake	
1.51	sky	daɨ
1.52	sun	maka
1.53	moon	'rããre ~ rãrẽ
1.54	star	rawaβa; ra'uβaβa
1.55	lightning	irihe
1.56	thunder	čãrãrã
1.57	lightning (as striking)	heheβe
1.58	storm	
1.59	rainbow	kotiri
1.61	light (noun)	
1.62	darkness	ɨ; raɨ; daɨ
1.63	shade, shadow	ǰuha
1.64	dew	βe'rakoho
1.71	air	da'βukue
1.72	wind	da'βukue; ranihe
1.73	cloud	bɔkɔ
1.74	fog	rao'mõroe; ritidaɨ
1.75	rain (noun)	da-bo ~ do-bo; bo
1.76	snow (noun)	
1.77	ice	
1.78	weather	
1.81	fire	data
1.82	flame (noun)	dore
1.83	smoke (noun)	nãmo; 'naamõ
1.84	ashes	čɔčɔkɔ
1.841	embers	
1.851	burn (vb trans)	βuǰuru
1.852	burn (vb intrans)	tɔpɔ; tɔpɔ-rɔ
1.86	light, kindle, ignite	riǰape
1.861	extinguish	tɨmɨ
1.87	match (noun)	
1.88	firewood	'bisi; ɨ̃kæ
1.89	charcoal	tɨ'tẽdore
2.1	person, human being	duaβa; dapoa
