entry_id	trans_english	Chatino,_Zacatepec_Phonemic
1.1	world	čalʸū
1.21	earth, land	lo čalʸu
1.212	earth=ground, soil	yū
1.213	dust	kita, kita yū
1.214	mud	yū kuc̷uʔ
1.215	sand	y-ši
1.22	mountain, hill	kiʔʸa
1.222	cliff, precipice	tuʔ kʷaʔã
1.23	plain, field	ntẽʔ; lo ntẽʔ
1.24	valley	ntẽʔ; laha yū
1.25	island	yū hluʔʷe
1.26	mainland	yū wtʸ
1.27	shore	tuʔ tuhoʔo
1.28	cave	tu-kē
1.31	water	tiʔa
1.32	sea	tu-hoʔo
1.322	calm (of sea)	seʔẽ ndiʔĩ tī̃ tiʔa
1.323	rough (of sea)	nčkʷẽ tiʔa; nc̷a tuhoʔo
1.324	foam	ngōʔ
1.329	ocean	tuhoʔo tlʸu
1.33	lake	tiyuʔ
1.34	gulf, bay	--
1.341	lagoon	tiyuʔ
1.342	reef	--
1.343	headland, point	--
1.35	wave	kulōʔ
1.352	tide	--
1.353	lowtide	--
1.354	hightide	--
1.36	river, stream, brook	čku
1.362	whirlpool	kinũʔ tiʔa
1.37	spring, well	seʔẽ ndʸukʷa tiʔa
1.38	swamp	ykʷaʔ
1.39	waterfall	
1.41	woods, forest	šoʔo
1.42	tree (cf 08.600)	yka
1.43	wood	yka, kaʔ
1.44	stone, rock	kʸē
1.45	earthquake	nɲã (čalʸū)
1.51	sky	kʷã niʔ kʷã
1.52	sun	kʷičā
1.53	moon	koʔ
1.54	star	kula
1.55	lightning	šā tʸiʔʸu; ndʸuwi
1.56	thunder	nčkʷiʔ tʸiʔʸu
1.57	lightning (as striking)	nštʸi šā ndʸuwi
1.58	storm	kʸō kʷiʔĩ; lʸe nčka kʷiʔĩ
1.59	rainbow	kunã tā
1.61	light (noun)	šā
1.62	darkness	tla
1.63	shade, shadow	tla nu nda ska nã
1.64	dew	kʷaʔ
1.71	air	kʷiʔĩ
1.72	wind	kʷiʔĩ
1.73	cloud	ko
1.74	fog	ko
1.75	rain (noun)	kʸō
1.76	snow (noun)	--
1.77	ice	[yelu]
1.78	weather	kʷiʔĩ niʔ kʷã; ni šā nda niʔ kʷã
1.81	fire	kīʔ
1.82	flame (noun)	yaʔ kīʔ
1.83	smoke (noun)	sɲī
1.84	ashes	hī
1.841	embers	nǰuwiʔ
1.851	burn (vb trans)	tikĩ
1.852	burn (vb intrans)	čkĩ
1.86	light, kindle, ignite	čkĩ
1.861	extinguish	šuwiʔ
1.87	match (noun)	[se'rī yu]
1.88	firewood	yka nčkĩ; ška
1.89	charcoal	nǰuwiʔ
2.1	person, human being	ntẽ
2.21	man (vs. woman)	yu kiʔʸu
2.22	woman	neʔ kunaʔã
2.23	male	ʔni kala
2.24	female	ʔni kuteʔ
2.25	boy	nu šuwe kiʔʸu
2.251	young man (adolescent)	kiʔʸu kuneʔ
2.26	girl	nu šuwe kunaʔã
2.261	young woman (adolescent)	kunaʔã kuneʔ
2.27	child	nu lʸuʔ ti; nu šuwe
2.28	infant, baby	kuwiʔ
2.31	husband	kʷilʸoʔo nu kunaʔã; kʷilʸoʔo
2.32	wife	kʷilʸoʔo yu kiʔʸu; kʷilʸoʔo
2.33	marry	kaha; kʷilʸoʔo; tʸiʔĩ
2.34	marriage, wedding	taʔa čaʔ kaha kʷilʸoʔo
2.341	divorce	kulā tiʔĩ; šnũ tiʔĩ
2.35	father	sti
2.36	mother	hʸaʔã
2.37	parents	neʔ kula ʔnã
2.38	married man	yu nu mhʷi kʷilʸoʔo
2.39	married woman	kunaʔã nu mhʷi kʷilʸoʔo
2.41	son	sɲeʔ
2.42	daughter	sɲeʔ
2.43	offspring (son or daughter)	sɲeʔ
2.44	brother	taʔa; taʔa kiʔʸu
2.444	older brother	taʔa
2.445	younger brother	ta?a
2.45	sister	taʔa; taʔa kunaʔã
2.454	older sister	taʔa; nukulala
2.455	younger sister	taʔa nu kuneʔ la
2.456	sibling	taʔa nu ska ti sti; ska ti hʸaʔã
2.458	twins	nu ngula tukʷa
2.46	grandfather	sti kula; sti steʔ
2.461	old man	yu kula; sti kula
2.47	grandmother	hʸaʔã kula; hʸaʔã steʔ
2.471	old woman	neʔ kula
2.48	grandson	sɲeʔ steʔ
2.49	granddaughter	sɲeʔ steʔ
2.51	uncle	[tiyu] taʔa
2.511	mother's brother	nu kiʔʸu taʔa hʸaʔã
2.512	father's brother	nu kiʔʸu taʔa sti
2.52	aunt	[tiya] taʔa
2.521	mother's sister	nu kunaʔã taʔa hʸaʔã
2.522	father's sister	nu kunaʔã taʔa sti
2.53	nephew	nu kiʔʸu sɲeʔ taʔa
2.54	niece	nu kunaʔã sɲeʔ taʔa
2.55	cousin	taʔa
2.56	ancestors	sti kula; ntẽ nu ngʷasʔni
2.57	descendants	ntẽ nu ndʸoʔo
2.61	father-in-law (of a man)	sti lā
2.611	father-in-law (of a woman)	sti lā
2.62	mother-in-law (of a man)	hʸaʔã lā
2.621	mother-in-law (of a woman)	hʸa?ã lā
2.63	son-in-law (of a man)	sɲeʔ lā
2.631	son-in-law (of a woman)	sɲeʔ lā
2.64	daughter-in-law (of a man)	kunaʔã ši
2.641	daughter-in-law (of a woman)	kunaʔã š
2.71	stepfather	sti naʔã
2.72	stepmother	hʸaʔã naʔã
2.73	stepson	--
2.74	stepdaughter	--
2.75	orphan	nu šuwe tiʔi
2.76	widow	kunaʔã nu nganũ ska ti
2.77	widower	kiʔʸu nu nganũ ska ti
2.81	relatives, kinsmen	neʔ taʔa; taʔa ti hʸuʔ
2.82	family	taʔa
2.91	I	nãʔ
2.92	you (singular)	nuʔʷĩ
2.93	he/she/it	yu; neʔ; iʔ; ni; ã
2.94	we	
2.941	we (inclusive)	nã
2.942	we (exclusive)	wa
2.95	you (plural)	wã
2.96	they	neʔ; yu
3.11	animal	ʔni
3.12	male (adj)	
3.13	female (adj)	
3.15	livestock	ʔni skũʔ
3.16	pasture	loʔō kī
3.18	herdsman	ntẽ nu ndiʔĩ kʷã ʔni
3.19	stable, stall	tʸi wta; tʸi kʷiyu
3.2	cattle (bovine)	kuta ~ wta
3.21	bull	['toru]
3.22	ox	[wta msu]
3.23	cow	[wta]
3.24	calf	č'keru ~ š'keru
3.25	sheep	slʸaʔ
3.26	ram	slʸaʔ (tā̃)
3.28	ewe	slʸaʔ (kuteʔ)
3.29	lamb	slʸaʔ kuneʔ
3.32	boar	kuweʔ kišĩʔ
3.34	sow	kuweʔ tyiʔ
3.35	pig	kuweʔ
3.36	goat	['čivu] kuteʔ
