entry_id	trans_english	Chipaya_Phonemic
1.1	world	
1.21	earth, land	yoḳa
1.212	earth=ground, soil	yoḳa
1.213	dust	ṣ̌ḳeti
1.214	mud	lxoki
1.215	sand	pʰila
1.22	mountain, hill	kuru
1.222	cliff, precipice	
1.23	plain, field	šḳala
1.24	valley	
1.25	island	
1.26	mainland	
1.27	shore	
1.28	cave	
1.31	water	ḳʰaš
1.32	sea	
1.322	calm (of sea)	šexḳ-
1.323	rough (of sea)	
1.324	foam	č̣ˀutu
1.329	ocean	
1.33	lake	x̣oči
1.34	gulf, bay	
1.341	lagoon	
1.342	reef	
1.343	headland, point	
1.35	wave	lxoḳxi
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	puxu
1.362	whirlpool	
1.37	spring, well	pʰoma; tux
1.38	swamp	
1.39	waterfall	
1.41	woods, forest	munti-naka
1.42	tree (cf 08.600)	munti
1.43	wood	para
1.44	stone, rock	č̣ara; maš
1.45	earthquake	
1.51	sky	arax̣pača; pača (?)
1.52	sun	tʰuɲi
1.53	moon	xiiš
1.54	star	wara-wara
1.55	lightning	lʸiwx lʸiwxɲi
1.56	thunder	xorxorɲi
1.57	lightning (as striking)	
1.58	storm	pʰursanti tʰami
1.59	rainbow	kumari
1.61	light (noun)	kx̣ana
1.62	darkness	ṣumči
1.63	shade, shadow	šiwš
1.64	dew	pʰewi
1.71	air	kera
1.72	wind	tʰami
1.73	cloud	c̷xiri
1.74	fog	
1.75	rain (noun)	čixɲi
1.76	snow (noun)	ḳʰatɲi
1.77	ice	uyi
1.78	weather	
1.81	fire	ux
1.82	flame (noun)	
1.83	smoke (noun)	ṣ̌ḳeti
1.84	ashes	ḳʰup
1.841	embers	ux parasa
1.851	burn (vb trans)	tan-ḳat-; tʰap-š
1.852	burn (vb intrans)	tʰap-š
1.86	light, kindle, ignite	pek-š; ux peḳ-š
1.861	extinguish	
1.87	match (noun)	
1.88	firewood	ṣ̌up
1.89	charcoal	
2.1	person, human being	ṣ̌oɲi
2.21	man (vs. woman)	luktaḳa; ṣ̌oɲi
2.22	woman	maataḳa; ṣ̌on
2.23	male	ker-; keru
2.24	female	lxata
2.25	boy	lukmaxč
2.251	young man (adolescent)	pˀišu
2.26	girl	uš
2.261	young woman (adolescent)	pˀiš; tur; tura
2.27	child	lukmaxč
2.28	infant, baby	čula
2.31	husband	luko; luktaḳa
2.32	wife	tʰun
2.33	marry	šal-š
2.34	marriage, wedding	šalš pʰixšta
2.341	divorce	xalxtaš
2.35	father	exp
2.36	mother	mama; maa
2.37	parents	maa-exp
2.38	married man	luktaḳa
2.39	married woman	tʰun
2.41	son	maxč
2.42	daughter	maxt
2.43	offspring (son or daughter)	mati
2.44	brother	xila
2.444	older brother	xila
2.445	younger brother	laxk
2.45	sister	kulʸaka
2.454	older sister	
2.455	younger sister	laxk
2.456	sibling	
2.458	twins	pača
2.46	grandfather	matɲilʸa
2.461	old man	čawk-; čawkʷa
2.47	grandmother	matilʸa
2.471	old woman	čawkʷa; matilʸa
2.48	grandson	
2.49	granddaughter	
2.51	uncle	tulu
2.511	mother's brother	
2.512	father's brother	
2.52	aunt	ipala; upli; malaḳa
2.521	mother's sister	
2.522	father's sister	
2.53	nephew	
2.54	niece	
2.55	cousin	
2.56	ancestors	
2.57	descendants	
2.61	father-in-law (of a man)	axmuš exp
2.611	father-in-law (of a woman)	ḳʰiɲi
2.62	mother-in-law (of a man)	axmuš maa
2.621	mother-in-law (of a woman)	
2.63	son-in-law (of a man)	waši
2.631	son-in-law (of a woman)	
2.64	daughter-in-law (of a man)	
2.641	daughter-in-law (of a woman)	
2.71	stepfather	wiri exp
2.72	stepmother	wiri maa
2.73	stepson	
2.74	stepdaughter	
2.75	orphan	axara
2.76	widow	ṣ̌ew
2.77	widower	ṣ̌ewa
2.81	relatives, kinsmen	[parinti]
2.82	family	[xamilʸa]
2.91	I	werx; wexr-ki
2.92	you (singular)	am
2.93	he/she/it	tii; nii; naa
2.94	we	
2.941	we (inclusive)	uč̣um
2.942	we (exclusive)	wexr-naka
2.95	you (plural)	anč̣ʰuk
2.96	they	ninaka
3.11	animal	
3.12	male (adj)	ker-
3.13	female (adj)	lxat-
3.15	livestock	
3.16	pasture	axk-; x̣oṣ̌a
3.18	herdsman	awatiri
3.19	stable, stall	
3.2	cattle (bovine)	
3.21	bull	
3.22	ox	
3.23	cow	[waka]
3.24	calf	
3.25	sheep	[uuša]
3.26	ram	
3.28	ewe	
3.29	lamb	
3.32	boar	
3.34	sow	
3.35	pig	ḳiri; kˀami
3.36	goat	
3.37	he-goat	
3.38	kid	
3.41	horse (equine)	[kawalʸu]
3.42	stallion	
3.44	mare	
3.45	foal, colt	
3.46	ass, donkey	
3.47	mule	
3.5	fowl	
3.52	cock, rooster	ker-walʸpa
3.54	hen	lxat walʸpa
3.55	chicken	walʸpa
3.56	goose	
3.57	duck	ḳaša
3.58	nest	tʰura
3.581	bird	weṣ̌la
3.582	seagull	
3.583	heron	
3.584	eagle	[akila]
3.585	hawk	ṣ̌ḳara; mamani
3.586	vulture	
3.591	bat	čiɲa
3.592	parrot	[loru]
3.593	crow	
3.594	dove	
3.596	owl	ḳoṣ̌ka
3.61	dog	paḳu
3.614	rabbit	
3.62	cat	[miši]
3.622	opossum	
3.63	mouse, rat	ačiku; ačuku
3.65	fish	čˀiš; c̷ˀirḳa
3.652	fin (dorsal)	
3.653	fishscale	
3.654	gill	
3.655	shell	
3.661	shark	
3.662	porpoise, dolphin	
3.663	whale	
3.664	stingray	
3.665	freshwater eel	
3.71	wolf	
3.72	lion	
3.73	bear	
3.74	fox	ḳiti
3.75	deer	
3.76	monkey	
3.77	elephant	
3.78	camel	
3.81	insect	
3.811	louse	sami
3.812	nit (louse egg)	sḳora
3.813	flea	
3.814	centipede	
3.815	scorpion	yeḳˀačuŋkʰa
3.816	cockroach	
3.817	ant	kˀišimiri
3.818	spider	kalʸa-kalʸa
3.819	spider web	
3.82	bee	
3.821	beeswax	
3.822	beehive	
3.823	wasp	ux-ux-ɲi
3.83	fly	lorakana
3.831	sandfly (midge), gnat	smoya
3.832	mosquito	
3.84	worm	
3.85	snake	šḳora
3.91	firefly	
3.92	butterfly	pilpinti
3.93	grasshopper	
3.94	snail	
3.95	frog	škiča
