entry_id	trans_english	Chácobo_Phonemic
1.1	world	mai
1.21	earth, land	mai
1.212	earth=ground, soil	mai
1.213	dust	mišpo
1.214	mud	mac̷a
1.215	sand	maṣ̌ɨnɨ; mišpo
1.22	mountain, hill	mai-tɨmači
1.222	cliff, precipice	kɨ-mapo
1.23	plain, field	ṣ̌aβaka
1.24	valley	--
1.25	island	tɨmisko
1.26	mainland	
1.27	shore	kɨ-so-
1.28	cave	kini
1.31	water	hɨ-nɨ
1.32	sea	--
1.322	calm (of sea)	
1.323	rough (of sea)	
1.324	foam	βakoṣ̌
1.329	ocean	--
1.33	lake	ia-nɨ
1.34	gulf, bay	
1.341	lagoon	katoro
1.342	reef	
1.343	headland, point	
1.35	wave	čoka;
1.352	tide	--
1.353	lowtide	--
1.354	hightide	--
1.36	river, stream, brook	ani
1.362	whirlpool	
1.37	spring, well	katoro
1.38	swamp	miwa-no
1.39	waterfall	
1.41	woods, forest	niʔi
1.42	tree (cf 08.600)	hiwi
1.43	wood	hiwi
1.44	stone, rock	
1.45	earthquake	
1.51	sky	nai-pa
1.52	sun	βari
1.53	moon	oṣ̌ɨ
1.54	star	wištima
1.55	lightning	kanapa; βara-
1.56	thunder	tɨrɨ-ʔaina
1.57	lightning (as striking)	
1.58	storm	
1.59	rainbow	naβaβaʔi
1.61	light (noun)	wɨana
1.62	darkness	βakiši
1.63	shade, shadow	tɨ-βakiši
1.64	dew	niβiči
1.71	air	ko'ʔini
1.72	wind	yošini
1.73	cloud	c̷ɨmo
1.74	fog	koro
1.75	rain (noun)	oi
1.76	snow (noun)	--
1.77	ice	
1.78	weather	
1.81	fire	čiʔi
1.82	flame (noun)	čiʔi hana
1.83	smoke (noun)	koʔini
1.84	ashes	čiʔi-mišpo
1.841	embers	rɨṣ̌kɨnɨ
1.851	burn (vb trans)	mɨṣ̌a-
1.852	burn (vb intrans)	mɨṣ̌o-
1.86	light, kindle, ignite	c̷ami-; c̷ama
1.861	extinguish	noka-; noka-wa-
1.87	match (noun)	čiʔi c̷amati
1.88	firewood	karo
1.89	charcoal	c̷istɨ mišni
2.1	person, human being	noʔiria
2.21	man (vs. woman)	honi
2.22	woman	yoṣ̌a
2.23	male	βɨnɨ
2.24	female	awi-ni
2.25	boy	honi pistia
2.251	young man (adolescent)	honi βakɨ
2.26	girl	yoṣ̌a pistia
2.261	young woman (adolescent)	βɨčo
2.27	child	ṣ̌oko-βo; βakɨ
2.28	infant, baby	βakɨ pistia
2.31	husband	βɨnɨ
2.32	wife	awi-ni
2.33	marry	oto-
2.34	marriage, wedding	
2.341	divorce	nia-
2.35	father	papa; ɨpa
2.36	mother	haʔiwa
2.37	parents	hawɨna-βo
2.38	married man	awi ya kato
2.39	married woman	βɨnɨ ya kato
2.41	son	βakɨ; βakɨ noma
2.42	daughter	haʔini
2.43	offspring (son or daughter)	
2.44	brother	noma
2.444	older brother	ɨpa
2.445	younger brother	poi maṣ̌ko
2.45	sister	yoṣ̌a-kato
2.454	older sister	rɨkɨmɨ
2.455	younger sister	noma
2.456	sibling	
2.458	twins	
2.46	grandfather	čaʔi-ta
2.461	old man	honi siri
2.47	grandmother	ɨwati
2.471	old woman	yoṣ̌a siri
2.48	grandson	ɨβaβa
2.49	granddaughter	ɨβaβa
2.51	uncle	ɨpaisa
2.511	mother's brother	koko
2.512	father's brother	ɨpaisa
2.52	aunt	yaya
2.521	mother's sister	mama
2.522	father's sister	yaya
2.53	nephew	piʔaka
2.54	niece	piʔaka
2.55	cousin	
2.56	ancestors	rɨkɨ-βo
2.57	descendants	
2.61	father-in-law (of a man)	raisi
2.611	father-in-law (of a woman)	
2.62	mother-in-law (of a man)	raisi
2.621	mother-in-law (of a woman)	
2.63	son-in-law (of a man)	raisi
2.631	son-in-law (of a woman)	raisi
2.64	daughter-in-law (of a man)	
2.641	daughter-in-law (of a woman)	
2.71	stepfather	hato haɨpa
2.72	stepmother	hato haɨwa
2.73	stepson	hato šinama
2.74	stepdaughter	hato šinama
2.75	orphan	yoma
2.76	widow	βɨnɨ imanišɨa yoṣ̌a
2.77	widower	awi
2.81	relatives, kinsmen	himi-βo
2.82	family	hawɨna-βo
2.91	I	ɨ; ɨa
2.92	you (singular)	mi-a
2.93	he/she/it	ha-a
2.94	we	no ~ no-a
2.941	we (inclusive)	
2.942	we (exclusive)	
2.95	you (plural)	ka-
2.96	they	ka-; hato
3.11	animal	yo'ʔina
3.12	male (adj)	βɨnɨ
3.13	female (adj)	awini
3.15	livestock	
3.16	pasture	
3.18	herdsman	
3.19	stable, stall	
3.2	cattle (bovine)	
3.21	bull	
3.22	ox	[wɨyɨ]
3.23	cow	
3.24	calf	
3.25	sheep	
3.26	ram	
3.28	ewe	
3.29	lamb	
3.32	boar	yawa
3.34	sow	
3.35	pig	hono
3.36	goat	
3.37	he-goat	
