entry_id	trans_english	Colorado_Phonemic
1.1	world	to
1.21	earth, land	to
1.212	earth=ground, soil	to
1.213	dust	luʰ'ku; to po'yo
1.214	mud	mu'ˀdu; piʰ'pa
1.215	sand	'c̷alã
1.22	mountain, hill	ˀdu
1.222	cliff, precipice	wa
1.23	plain, field	la'yũ to; ʔu'rã to
1.24	valley	'kõti
1.25	island	piʰ'sa
1.26	mainland	
1.27	shore	pi Φiʰ'ki
1.28	cave	Φo'ro
1.31	water	pi
1.32	sea	[lamar]i
1.322	calm (of sea)	se; ʔowo'wo
1.323	rough (of sea)	(laʰc̷a) la-no
1.324	foam	puʰ'pu
1.329	ocean	--
1.33	lake	wa pi-pi-'lu
1.34	gulf, bay	pi te'yũ-ka
1.341	lagoon	'pi-pi-'lu
1.342	reef	--
1.343	headland, point	--
1.35	wave	'laʰc̷a
1.352	tide	--
1.353	lowtide	--
1.354	hightide	--
1.36	river, stream, brook	pi
1.362	whirlpool	le'wesa
1.37	spring, well	pi Φo'ro
1.38	swamp	mu'ˀdu
1.39	waterfall	pi pa'ru
1.41	woods, forest	he'lẽ
1.42	tree (cf 08.600)	c̷i'ˀde
1.43	wood	c̷i'ˀde
1.44	stone, rock	su
1.45	earthquake	to we-no
1.51	sky	yo kiˀdo
1.52	sun	yo
1.53	moon	pe
1.54	star	c̷a'ˀbo
1.55	lightning	'kũta 'pĩda
1.56	thunder	'kũta
1.57	lightning (as striking)	'kũta 'pĩda
1.58	storm	wa su'wa
1.59	rainbow	'suyũ
1.61	light (noun)	c̷e-no
1.62	darkness	ne'mẽ
1.63	shade, shadow	ʔoʰ'ko-pĩc̷u
1.64	dew	
1.71	air	haʰ'sa
1.72	wind	wu
1.73	cloud	po'yo
1.74	fog	po'yo
1.75	rain (noun)	su'wa
1.76	snow (noun)	--
1.77	ice	--
1.78	weather	
1.81	fire	nĩ
1.82	flame (noun)	pĩˀda
1.83	smoke (noun)	po'yo
1.84	ashes	'nĩ-Φu
1.841	embers	nĩ ka'la
1.851	burn (vb trans)	lu-no; nĩ-po-no
1.852	burn (vb intrans)	ni'ya-no
1.86	light, kindle, ignite	tu'li-no; nĩ kari-no
1.861	extinguish	pi'ya-ri-no
1.87	match (noun)	--
1.88	firewood	te
1.89	charcoal	nĩ ka'la
2.1	person, human being	'c̷aʰc̷i
2.21	man (vs. woman)	ʔu'nila
2.22	woman	'so-na
2.23	male	ʔu'nila
2.24	female	'so-na
2.25	boy	ʔu'nila na
2.251	young man (adolescent)	nala'lã ʔu'nila
2.26	girl	'so-na na
2.261	young woman (adolescent)	nala'lã 'so-na
2.27	child	na
2.28	infant, baby	c̷oʰc̷o na
2.31	husband	ʔu'nila
2.32	wife	'so-na
2.33	marry	[kasa]'la-ʔi-no
2.34	marriage, wedding	--
2.341	divorce	--
2.35	father	ʔaʰ'pa
2.36	mother	ʔa'yã
2.37	parents	ʔa'yã-la
2.38	married man	
2.39	married woman	
2.41	son	'naʔo
2.42	daughter	'nama
2.43	offspring (son or daughter)	na
2.44	brother	ʔaʰ'ko; 'kayã
2.444	older brother	--
2.445	younger brother	--
2.45	sister	so-ʰ'ki; mi'yã
2.454	older sister	--
2.455	younger sister	--
2.456	sibling	--
2.458	twins	
2.46	grandfather	'taʰta
2.461	old man	ʔo'nika ~ ʔu'nika
2.47	grandmother	'mama
2.471	old woman	si'nuka
2.48	grandson	
2.49	granddaughter	
2.51	uncle	mãpi
2.511	mother's brother	mãpi
2.512	father's brother	mãpi
2.52	aunt	mã'ku
2.521	mother's sister	mã'ku
2.522	father's sister	mã'ku
2.53	nephew	
2.54	niece	
2.55	cousin	
2.56	ancestors	maʰ'tu 'taʰta-la
2.57	descendants	ʔali'ka-la
2.61	father-in-law (of a man)	
2.611	father-in-law (of a woman)	
2.62	mother-in-law (of a man)	
2.621	mother-in-law (of a woman)	
2.63	son-in-law (of a man)	ki'ya
2.631	son-in-law (of a woman)	ki'ya
2.64	daughter-in-law (of a man)	'na-so
2.641	daughter-in-law (of a woman)	'na-so
2.71	stepfather	
2.72	stepmother	
2.73	stepson	
2.74	stepdaughter	
2.75	orphan	ʔaʰ'pa iʰ'tõ na
2.76	widow	puya-mĩ sona
2.77	widower	puya-mĩ c̷aʰc̷i
2.81	relatives, kinsmen	[familia]
2.82	family	[familia]
2.91	I	la; c̷iʰ'ke
2.92	you (singular)	nu
2.93	he/she/it	ya
2.94	we	c̷iʰki-'la
2.941	we (inclusive)	--
2.942	we (exclusive)	--
2.95	you (plural)	nu-'la
2.96	they	ya-'la
3.11	animal	[animal]
3.12	male (adj)	ʔu'nila
3.13	female (adj)	so-na
3.15	livestock	--
3.16	pasture	
3.18	herdsman	
3.19	stable, stall	koʰ'tõla
3.2	cattle (bovine)	[wa'la]
3.21	bull	ʔunila [wa'la]
3.22	ox	
3.23	cow	[wa'la]
3.24	calf	[wa'la] na
3.25	sheep	[ʔoʰ'pisa]
3.26	ram	--
3.28	ewe	--
3.29	lamb	--
3.32	boar	'para; me'le
3.34	sow	
3.35	pig	[kuʰ'či]
3.36	goat	['čiˀbo]
3.37	he-goat	
3.38	kid	
3.41	horse (equine)	['kalu]
3.42	stallion	--
3.44	mare	--
3.45	foal, colt	[kalu] na
3.46	ass, donkey	[buřo]
3.47	mule	[mula]
3.5	fowl	
3.52	cock, rooster	'walpa ʔaʰ'paka
3.54	hen	'walpa
3.55	chicken	'walpa
3.56	goose	--
3.57	duck	
3.58	nest	taʰ'sẽ
3.581	bird	'piʰc̷u
3.582	seagull	
3.583	heron	
3.584	eagle	'parĩki
3.585	hawk	holi'yo
3.586	vulture	'baro
3.591	bat	'suʰpã
3.592	parrot	'waʰtu
3.593	crow	
3.594	dove	
3.596	owl	ˀbo'ˀbo
3.61	dog	su'su
3.614	rabbit	[ko'no]
3.62	cat	meʰ'se
3.622	opossum	ˀboʰ'pi
3.63	mouse, rat	ʔi'yu; c̷o'we
3.65	fish	waʰc̷a
3.652	fin (dorsal)	pã-pe
3.653	fishscale	'liki
3.654	gill	'sãkahka
3.655	shell	'kiˀdo
3.661	shark	--
3.662	porpoise, dolphin	--
3.663	whale	'wilinki
3.664	stingray	
3.665	freshwater eel	ˀdin'pa
3.71	wolf	
3.72	lion	'lu-kela
3.73	bear	pa'ya
3.74	fox	--
3.75	deer	ma'na
3.76	monkey	kã'to; we'le
3.77	elephant	--
3.78	camel	--
3.81	insect	
3.811	louse	mu; seʰ'ka
3.812	nit (louse egg)	
3.813	flea	c̷iʰ'pĩ
3.814	centipede	man'ma pi'ni
3.815	scorpion	te'pĩ
