entry_id	trans_english	Elamite_Phonemic
1.1	world	
1.21	earth, land	
1.212	earth=ground, soil	muru-: OE mu-ru-it; ME, NE, AchE mu-ru-un
1.213	dust	ME su-uk-ma
1.214	mud	
1.215	sand	
1.22	mountain, hill	ME am-ni
1.222	cliff, precipice	
1.23	plain, field	
1.24	valley	
1.25	island	
1.26	mainland	
1.27	shore	AchE šà-ri-ut
1.28	cave	NE du-ráš
1.31	water	zul: ME zu-ul
1.32	sea	AchE kam
1.322	calm (of sea)	
1.323	rough (of sea)	
1.324	foam	
1.329	ocean	
1.33	lake	
1.34	gulf, bay	
1.341	lagoon	
1.342	reef	
1.343	headland, point	
1.35	wave	
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	
1.362	whirlpool	
1.37	spring, well	OE zu-ul.la-li
1.38	swamp	
1.39	waterfall	
1.41	woods, forest	
1.42	tree (cf 08.600)	husa: NE, AchE hu-sa; ME hu-sa-a
1.43	wood	NE hu-h-qat; NE hu-uk; ME, NE, AchE ma-lu
1.44	stone, rock	AchE har; NE ú-h-um-ma
1.45	earthquake	
1.51	sky	
1.52	sun	ME na-h-hu-un-te; OE nahiti = na-hi-ti; OE na-hu-te
1.53	moon	OE na-ap[-ir(?)]; NE na-pir
1.54	star	NE mar-du(-ú)
1.55	lightning	luk: OE, ME lu-uk
1.56	thunder	
1.57	lightning (as striking)	
1.58	storm	
1.59	rainbow	OE, ME, NE ma-an-za-at
1.61	light (noun)	hun: OE, ME hu-un; ME hu-ni-in
1.62	darkness	
1.63	shade, shadow	NE šad-da-ku
1.64	dew	
1.71	air	OE si-me-in
1.72	wind	
1.73	cloud	
1.74	fog	
1.75	rain (noun)	NE te-ip
1.76	snow (noun)	
1.77	ice	
1.78	weather	
1.81	fire	lim: ME li-im
1.82	flame (noun)	
1.83	smoke (noun)	
1.84	ashes	
1.841	embers	
1.851	burn (vb trans)	
1.852	burn (vb intrans)	lim-/ lum-: ME li-im-ma-áš-pi; li-im-ma-ak; ME lu-mu-un-ra
1.86	light, kindle, ignite	
1.861	extinguish	
1.87	match (noun)	
1.88	firewood	
1.89	charcoal	
2.1	person, human being	
2.21	man (vs. woman)	bali: ME ba-li-be; AchE ru-h, ru-ú
2.22	woman	
2.23	male	AchE ba-li-na
2.24	female	ME mu-h-ti-ir-ri; NE mu-h-ti-be; AchE mu-tur
2.25	boy	
2.251	young man (adolescent)	AchE pu-hu
2.26	girl	
2.261	young woman (adolescent)	AchE pu-h(u)
2.27	child	OE pu-hi-e; AchE ma-ul(-la)/ -li
2.28	infant, baby	zin: AchE zí-in
2.31	husband	
2.32	wife	AchE ir-ti-ri; ME ri-tu; NE ri-ti; ME ru-tu; NE ru-tú; AchE mu-tar, mu-ti
2.33	marry	
2.34	marriage, wedding	
2.341	divorce	
2.35	father	atta: OE, NE, AchE ad-da; ME at-ta
2.36	mother	amma: OE, ME, NE, AchE am-ma
2.37	parents	
2.38	married man	
2.39	married woman	
2.41	son	OE pu-hu; ME, AchE ru-hu; šak: ME, NE ša-ak; AchE šá-ak, šá-ag-gi
2.42	daughter	pak: ME pa-ak
2.43	offspring (son or daughter)	puhu: ME, NE, AchE pu-hu
2.44	brother	ME i-gi
2.444	older brother	
2.445	younger brother	
2.45	sister	šutu: ME, NE šu-tú
2.454	older sister	
2.455	younger sister	
2.456	sibling	
2.458	twins	
2.46	grandfather	
2.461	old man	
2.47	grandmother	
2.471	old woman	
2.48	grandson	NE ru-hu.šá-ak-ri
2.49	granddaughter	
2.51	uncle	eri: OE e-ri-ri
2.511	mother's brother	
2.512	father's brother	
2.52	aunt	
2.521	mother's sister	
2.522	father's sister	
2.53	nephew	
2.54	niece	
2.55	cousin	iza: OE i-za
2.56	ancestors	
2.57	descendants	
2.61	father-in-law (of a man)	
2.611	father-in-law (of a woman)	
2.62	mother-in-law (of a man)	
2.621	mother-in-law (of a woman)	
2.63	son-in-law (of a man)	
2.631	son-in-law (of a woman)	AchE iš-ti-ri
2.64	daughter-in-law (of a man)	
2.641	daughter-in-law (of a woman)	
2.71	stepfather	
2.72	stepmother	
2.73	stepson	
2.74	stepdaughter	
2.75	orphan	
2.76	widow	
2.77	widower	
2.81	relatives, kinsmen	OE, ME a-a-ni-ip; ME a-a-ni-ri
2.82	family	
2.91	I	OE u; OE, ME ù
2.92	you (singular)	ME ni; ME, NE, AchE nu
2.93	he/she/it	
2.94	we	
2.941	we (inclusive)	
2.942	we (exclusive)	OE ni-ka; NE, AchE nu-ku
2.95	you (plural)	AchE nu-mi
2.96	they	
3.11	animal	kun: NE ku-un
3.12	male (adj)	
3.13	female (adj)	
3.15	livestock	ME, NE, AchE áš; AchE ki-ti
3.16	pasture	ahiš: NE a-h-iš; AchE ki-bat
3.18	herdsman	AchE ba-at (?)-ir; NE ku-dúr
3.19	stable, stall	
3.2	cattle (bovine)	kutu: NE ku-tu
3.21	bull	
3.22	ox	ME pu-up-hi-in
3.23	cow	
3.24	calf	tila: AchE ti-la
3.25	sheep	hidu: ME, AchE hi-du
3.26	ram	AchE ráp-du; ráp-tam
3.28	ewe	
3.29	lamb	kari: AchE qa-ri, qa-ri-ri
3.32	boar	
3.34	sow	
3.35	pig	NE pap-pi
3.36	goat	kipšu/ kupši: AchE ki-ip-ši/-šu, ku-ip-šu; NE šá-h-ši-ik-me-me
3.37	he-goat	kumaš: ME, NE ku-maš
3.38	kid	pitu: AchE pi-tú/tu
3.41	horse (equine)	lakpilan: NE lak-pi-la-an
3.42	stallion	
3.44	mare	
3.45	foal, colt	dud(d)u: AchE du-du, du-ud-du
3.46	ass, donkey	AchE du-ip; (i)tranku: AchE it-ra-an-ku; AchE ši-ši
3.47	mule	paha: AchE pa-ha
3.5	fowl	zamama: AchE za-ma-ma
3.52	cock, rooster	
3.54	hen	rum: ME ru-um
3.55	chicken	
3.56	goose	AchE hi-pu-ur, ip-pu-ur
3.57	duck	AchE šu-da-ba(-h)
