entry_id	trans_english	Ese_Ejja_Huarayo_Phonemic
1.1	world	meši
1.21	earth, land	meši
1.212	earth=ground, soil	meši
1.213	dust	kia-poi
1.214	mud	našapa
1.215	sand	meši hahi
1.22	mountain, hill	ebawa
1.222	cliff, precipice	epawa; ekwewewe
1.23	plain, field	weni-weni
1.24	valley	
1.25	island	e-doxoxa
1.26	mainland	
1.27	shore	
1.28	cave	e-doxo
1.31	water	e-'na
1.32	sea	
1.322	calm (of sea)	
1.323	rough (of sea)	
1.324	foam	wapa
1.329	ocean	
1.33	lake	bai
1.34	gulf, bay	
1.341	lagoon	bai-sisi
1.342	reef	
1.343	headland, point	
1.35	wave	e-na-šoxo
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	e-'na
1.362	whirlpool	baeti
1.37	spring, well	taa
1.38	swamp	na-šapa-wawa-wawa
1.39	waterfall	e-taa-sisi
1.41	woods, forest	e-bio
1.42	tree (cf 08.600)	akwi
1.43	wood	
1.44	stone, rock	saso
1.45	earthquake	
1.51	sky	eya
1.52	sun	e-šeti
1.53	moon	baʔi
1.54	star	čiče
1.55	lightning	poxexe
1.56	thunder	kwehi
1.57	lightning (as striking)	ka'aa
1.58	storm	ena-ʔai
1.59	rainbow	ešixe
1.61	light (noun)	e-dedo-xi
1.62	darkness	e-dedo-xi ča'ma
1.63	shade, shadow	e-šawa
1.64	dew	e-šioo
1.71	air	beni
1.72	wind	beni
1.73	cloud	bo
1.74	fog	
1.75	rain (noun)	e-'na
1.76	snow (noun)	
1.77	ice	
1.78	weather	
1.81	fire	kwaki
1.82	flame (noun)	
1.83	smoke (noun)	wičača
1.84	ashes	powi
1.841	embers	
1.851	burn (vb trans)	kwakwa-kwe
1.852	burn (vb intrans)	hihi-kwe
1.86	light, kindle, ignite	kwa'ki-kwakwa-kwe
1.861	extinguish	čio-kwe
1.87	match (noun)	čikwi
1.88	firewood	kwaki
1.89	charcoal	kwaki-koxa-ša
2.1	person, human being	ese exa; dexa
2.21	man (vs. woman)	dexa
2.22	woman	e-pona
2.23	male	
2.24	female	
2.25	boy	dexa šoi
2.251	young man (adolescent)	
2.26	girl	dexa pahi
2.261	young woman (adolescent)	epona e-šoi
2.27	child	dexa sisi; čawa
2.28	infant, baby	e-bakwa
2.31	husband	e-yawe
2.32	wife	e-wana-se
2.33	marry	wana-kwe
2.34	marriage, wedding	
2.341	divorce	
2.35	father	kaka; iča
2.36	mother	nai
2.37	parents	
2.38	married man	e-yawe
2.39	married woman	e-wana-se
2.41	son	bakwa dexa
2.42	daughter	bakwa-'se
2.43	offspring (son or daughter)	
2.44	brother	doe
2.444	older brother	nono
2.445	younger brother	čawa
2.45	sister	xoʔi
2.454	older sister	'ʔaʔia-se
2.455	younger sister	šewe
2.456	sibling	
2.458	twins	beka-'ha
2.46	grandfather	baba
2.461	old man	e-čii
2.47	grandmother	ʔano
2.471	old woman	e-pona-čii
2.48	grandson	osekwa
2.49	granddaughter	osekwa
2.51	uncle	kaka; iča
2.511	mother's brother	toto
2.512	father's brother	kaka; iča
2.52	aunt	nai
2.521	mother's sister	nai
2.522	father's sister	nene
2.53	nephew	čawa
2.54	niece	šewe
2.55	cousin	nono
2.56	ancestors	ese-exa ečii-kiana
2.57	descendants	
2.61	father-in-law (of a man)	
2.611	father-in-law (of a woman)	
2.62	mother-in-law (of a man)	
2.621	mother-in-law (of a woman)	
2.63	son-in-law (of a man)	
2.631	son-in-law (of a woman)	
2.64	daughter-in-law (of a man)	
2.641	daughter-in-law (of a woman)	
2.71	stepfather	
2.72	stepmother	šana-se
2.73	stepson	
2.74	stepdaughter	
2.75	orphan	xia-xi-'ma
2.76	widow	e-yawe e-mano-ʔio
2.77	widower	e-wana-se e-mano-ʔio
2.81	relatives, kinsmen	ese-exa
2.82	family	
2.91	I	e-ya; e-ya-ya
2.92	you (singular)	mi-ya; mi-ya-ya
2.93	he/she/it	o-ya; o-ya-ya
2.94	we	e-kwana; e-kwana-ya
2.941	we (inclusive)	e-se-ha
2.942	we (exclusive)	
2.95	you (plural)	mi-kiana; mi-kiana-ya
2.96	they	o-kwana-ya; o-'kwana-ya
3.11	animal	
3.12	male (adj)	
3.13	female (adj)	
3.15	livestock	
3.16	pasture	beni
3.18	herdsman	
3.19	stable, stall	
3.2	cattle (bovine)	
3.21	bull	
3.22	ox	
3.23	cow	ana-ʔai
3.24	calf	
3.25	sheep	
3.26	ram	
3.28	ewe	
3.29	lamb	
