entry_id	trans_english	Guaraní_Phonemic
1.1	world	arapɨ
1.21	earth, land	ɨvɨ-ape
1.212	earth=ground, soil	ɨvɨ
1.213	dust	ɨvɨ-tiᵐbo
1.214	mud	ɲaɨʔũ; tuǰu
1.215	sand	ɨvɨ-kuʔi
1.22	mountain, hill	ɨvɨ-tɨ
1.222	cliff, precipice	ɨvɨ-ʔã
1.23	plain, field	ǰoǰa; ɲu
1.24	valley	ɨvɨ-tɨ-paʔũ
1.25	island	ɨ-paʔũ; ɲu-paʔũ
1.26	mainland	ɨvɨ ɣʷasu; ɨvɨ-vusu
1.27	shore	t-eᵐbeʔɨ; ɨ-reᵐbeʔɨ
1.28	cave	ita-kua
1.31	water	ɨ
1.32	sea	para
1.322	calm (of sea)	pɨʔaɣʷapɨ; ɨvɨ-tuporeʔɨ̃
1.323	rough (of sea)	kuču
1.324	foam	t-ɨ'ǰui
1.329	ocean	para-ɣʷasu
1.33	lake	ɨreⁿda; ɨpa
1.34	gulf, bay	ɨʔapɨte
1.341	lagoon	ɨrupa; ɨ-noʔõ
1.342	reef	ita ɨpeɣʷa
1.343	headland, point	ɨvɨ-akã
1.35	wave	ɨ-puʔã; ɨ-apeno
1.352	tide	para-sɨrɨ
1.353	lowtide	paraɣʷeǰɨ
1.354	hightide	para ǰupi
1.36	river, stream, brook	ɨ-sɨrɨ
1.362	whirlpool	ǰepɨvu; ɨ-ǰere
1.37	spring, well	ɨ-kua; ɨvu; ɨvɨ-kua; ɨ-kua
1.38	swamp	ɨvɨʔɨ; karuɣʷa
1.39	waterfall	ɨ-ǰeʔaha; ɨ-tu
1.41	woods, forest	kaʔa-ɣʷɨ
1.42	tree (cf 08.600)	ɨvɨra; ɨvɨra-'mata
1.43	wood	ɨvɨra
1.44	stone, rock	ita
1.45	earthquake	ɨvɨ-rɨ'rɨi
1.51	sky	ɨ'vaɣa
1.52	sun	kuarahɨ
1.53	moon	ǰasɨ
1.54	star	ᵐbɨǰa
1.55	lightning	aratiri
1.56	thunder	sunu
1.57	lightning (as striking)	ara-vera
1.58	storm	ara-počɨ; ara-vai
1.59	rainbow	'ǰɨiva; 'ǰui
1.61	light (noun)	tesape; t-eⁿdɨ
1.62	darkness	pɨtũ
1.63	shade, shadow	kuarahɨʔã; ã
1.64	dew	ɨsapɨ
1.71	air	ɨvɨtu; pɨtu
1.72	wind	ɨvɨtu
1.73	cloud	arai
1.74	fog	t-ata-tina; araipɨtu
1.75	rain (noun)	ama
1.76	snow (noun)	amaŋuʔiroʔɨ; ɨrɨpɨʔa
1.77	ice	ɨatã; ɨ-rɨpɨʔa
1.78	weather	'ara
1.81	fire	t-ata
1.82	flame (noun)	t-ata-r-eⁿdɨ
1.83	smoke (noun)	t-ata'tĩ; tiᵐbo
1.84	ashes	taniᵐbu
1.841	embers	t-ata-pɨ̃i
1.851	burn (vb trans)	'kai; h-apɨ
1.852	burn (vb intrans)	h-eⁿdɨ
1.86	light, kindle, ignite	mɨaⁿdɨ; mɨeⁿdɨ; ǰatapɨ
1.861	extinguish	ᵐboɣʷe
1.87	match (noun)	t-ata-meʔẽha
1.88	firewood	ǰepeʔa
1.89	charcoal	t-ata-'pɨ̃i
2.1	person, human being	ava; 'mava; tekove
2.21	man (vs. woman)	ava; kuiᵐbaʔe
2.22	woman	kuɲa
2.23	male	kuiᵐbaʔe
2.24	female	kuɲa
