entry_id	trans_english	Ignaciano_Phonemic
1.1	world	apakeʔe
1.21	earth, land	'matehi; apakeʔe
1.212	earth=ground, soil	apakeʔe
1.213	dust	tiripupaʔi
1.214	mud	ti'urahi
1.215	sand	tawaparu
1.22	mountain, hill	mari; masiʔi
1.222	cliff, precipice	tačausi
1.23	plain, field	'wamaʔi
1.24	valley	
1.25	island	ti'urupuʔi
1.26	mainland	
1.27	shore	apačara
1.28	cave	tapena
1.31	water	une
1.32	sea	--
1.322	calm (of sea)	
1.323	rough (of sea)	
1.324	foam	tarisasa
1.329	ocean	--
1.33	lake	'kakiure
1.34	gulf, bay	
1.341	lagoon	'kakiure
1.342	reef	
1.343	headland, point	
1.35	wave	'tepakuka
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	kahakure
1.362	whirlpool	
1.37	spring, well	sekaku; eke
1.38	swamp	yamama
1.39	waterfall	
1.41	woods, forest	simena
1.42	tree (cf 08.600)	yukuki
1.43	wood	yukuki
1.44	stone, rock	mari; 'mari-haʔi
1.45	earthquake	
1.51	sky	anuma
1.52	sun	sače
1.53	moon	kahe
1.54	star	harairiki
1.55	lightning	'terameka; emarere
1.56	thunder	tirureka
1.57	lightning (as striking)	emarere
1.58	storm	kawayupewa
1.59	rainbow	aʔe
1.61	light (noun)	-'mikauča; tiharaʔi
1.62	darkness	timapiku
1.63	shade, shadow	-'awiča
1.64	dew	iyaru
1.71	air	
1.72	wind	'tekatikawa
1.73	cloud	'ukahi
1.74	fog	iyaru
1.75	rain (noun)	takiwa-rama
1.76	snow (noun)	--
1.77	ice	
1.78	weather	
1.81	fire	yuku; -yuku-ne
1.82	flame (noun)	
1.83	smoke (noun)	kihare
1.84	ashes	c̷imapa
1.841	embers	emaniki
1.851	burn (vb trans)	-kamuruka; -'ihu-ča
1.852	burn (vb intrans)	-muru
1.86	light, kindle, ignite	-'apahuaka; -kamuruaka
1.861	extinguish	-kaemaʔa
1.87	match (noun)	[pahuela]
1.88	firewood	'nereruka; ti'ahiki
1.89	charcoal	-'mamu; emaniki
2.1	person, human being	ačane; ačane-ana
2.21	man (vs. woman)	ahaira; ačane
2.22	woman	esena
2.23	male	ahaira
2.24	female	esena
2.25	boy	amaperu
2.251	young man (adolescent)	amaperu; šuima
2.26	girl	amaperu
2.261	young woman (adolescent)	amaperu; šipu
2.27	child	amuya
2.28	infant, baby	amuya; alauču
2.31	husband	-ima; -ima-re
2.32	wife	'yena-re; -yena
2.33	marry	-kaparape; -'i'taučawa
2.34	marriage, wedding	'nikakare; nawirakaka
2.341	divorce	-'inahikaka
2.35	father	tikačiča; -iya; 'iyare
2.36	mother	-'ena; meme
2.37	parents	
2.38	married man	
2.39	married woman	
2.41	son	ema -čiča; eɲi -čiča
2.42	daughter	esu -čiča
2.43	offspring (son or daughter)	
2.44	brother	-parape
2.444	older brother	'naečawimuri
2.445	younger brother	'natimuri
2.45	sister	-parape
2.454	older sister	-'etira; tira
2.455	younger sister	-ati; ati
2.456	sibling	-parape
2.458	twins	čame
2.46	grandfather	-'ačuka; aču
2.461	old man	ičawika
2.47	grandmother	c̷ec̷e; -ac̷e
2.471	old woman	ičawika
2.48	grandson	-'amari
2.49	granddaughter	-'amari
2.51	uncle	-'ekuka; -'ekuka-raʔa
2.511	mother's brother	
2.512	father's brother	
2.52	aunt	-'apenaru; -aka
2.521	mother's sister	
2.522	father's sister	
2.53	nephew	-čehi; -'anewa
2.54	niece	-čehi; -'anewa
2.55	cousin	-čehi
2.56	ancestors	-'iyanaweanaini
2.57	descendants	-'amari'ekene
2.61	father-in-law (of a man)	-'imačuka
2.611	father-in-law (of a woman)	-'imačuka
2.62	mother-in-law (of a man)	-'imase
2.621	mother-in-law (of a woman)	-'imase
2.63	son-in-law (of a man)	-čina; čina-re
2.631	son-in-law (of a woman)	-čina; čina-re
2.64	daughter-in-law (of a man)	činenaka; -činena
2.641	daughter-in-law (of a woman)	činenaka; -činena
2.71	stepfather	-'iyaʔaruwa
2.72	stepmother	-'enaʔaruwa
2.73	stepson	
2.74	stepdaughter	
2.75	orphan	wača
2.76	widow	-'epenaima; 'maimaru
2.77	widower	-'epena'yena
2.81	relatives, kinsmen	-haneana
2.82	family	amaperuana
2.91	I	'nu-ti
2.92	you (singular)	'pi-ti
2.93	he/she/it	'e-ma; 'e-ɲi
2.94	we	'wi-ti
2.941	we (inclusive)	
2.942	we (exclusive)	
2.95	you (plural)	'e-ti; 'etiana
2.96	they	'e-na
3.11	animal	'sarare
3.12	male (adj)	
3.13	female (adj)	
3.15	livestock	
3.16	pasture	
3.18	herdsman	
