entry_id	trans_english	Itonama_Phonemic
1.1	world	
1.21	earth, land	a-lɨpɨ
1.212	earth=ground, soil	tʸanisoʔte
1.213	dust	
1.214	mud	rododo
1.215	sand	a-lɨpɨ kowowoʔna
1.22	mountain, hill	
1.222	cliff, precipice	
1.23	plain, field	pačasno
1.24	valley	
1.25	island	
1.26	mainland	
1.27	shore	oh-niwakakano
1.28	cave	
1.31	water	wanuʔwe
1.32	sea	
1.322	calm (of sea)	
1.323	rough (of sea)	
1.324	foam	
1.329	ocean	
1.33	lake	kapime
1.34	gulf, bay	
1.341	lagoon	kapime
1.342	reef	
1.343	headland, point	
1.35	wave	
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	u-wu; sululu
1.362	whirlpool	
1.37	spring, well	o-molo; kawakˀaʔne
1.38	swamp	
1.39	waterfall	
1.41	woods, forest	pačasno
1.42	tree (cf 08.600)	a-bɨte
1.43	wood	
1.44	stone, rock	u-pala
1.45	earthquake	
1.51	sky	uh-nano
1.52	sun	wapačˀa
1.53	moon	u-ʔtʸahka-ʔkaʔka
1.54	star	o-kičˀi
1.55	lightning	o-weʔla
1.56	thunder	puyululu
1.57	lightning (as striking)	waspala
1.58	storm	o-nopi
1.59	rainbow	iskoberara
1.61	light (noun)	u-wayo
1.62	darkness	tʸuhrehna
1.63	shade, shadow	oh-bo-la
1.64	dew	ɨ-nadɨ
1.71	air	
1.72	wind	ponohwe
1.73	cloud	o-nela
1.74	fog	wakutʸa
1.75	rain (noun)	i-tʸe; uduhna
1.76	snow (noun)	
1.77	ice	
1.78	weather	čamani
1.81	fire	u-bari
1.82	flame (noun)	
1.83	smoke (noun)	u-ku; puyuʔne
1.84	ashes	koropo
1.841	embers	u-bari
1.851	burn (vb trans)	i-lahna; i-tʸusne
1.852	burn (vb intrans)	a-čɨraʔna
1.86	light, kindle, ignite	i-lahna; palahna
1.861	extinguish	
1.87	match (noun)	
1.88	firewood	u-bari
1.89	charcoal	u-ruswa
2.1	person, human being	u-buwa
2.21	man (vs. woman)	u-mu
2.22	woman	wabɨʔka
2.23	male	
2.24	female	
2.25	boy	tˀiyaya
2.251	young man (adolescent)	
2.26	girl	tˀiyayaʔtʸa
2.261	young woman (adolescent)	
2.27	child	ahmay-ʔye; oh-kˀiʔye
2.28	infant, baby	
2.31	husband	
2.32	wife	ah-mapɨʔka
2.33	marry	
2.34	marriage, wedding	
2.341	divorce	
2.35	father	ahme-mayeʔne
2.36	mother	a-noʔka; dihneʔte
2.37	parents	
2.38	married man	mapɨʔčaʔke
2.39	married woman	
2.41	son	ahm-eʔe; oh-se
2.42	daughter	ahm-eʔka; oh-seʔka
2.43	offspring (son or daughter)	
2.44	brother	ahmi-ʔyasa
2.444	older brother	
