entry_id	trans_english	Li_of_Baoding_Phonemic
1.1	world	ti.2 ka:i.2; van.1 ta.3
1.21	earth, land	van.1
1.212	earth=ground, soil	van.1
1.213	dust	fu:ŋ.3
1.214	mud	ple:k.7
1.215	sand	phau.2; phou.2
1.22	mountain, hill	gaŋ.1; hwou.3
1.222	cliff, precipice	ru:k.7 put.7
1.23	plain, field	gi:n.1
1.24	valley	van.1 tho:i.1
1.25	island	kho:ŋ.1 hwou.3
1.26	mainland	da:u.3
1.27	shore	teɨ.1 van.1
1.28	cave	ŋa:i:2 nom.3
1.31	water	chu:ŋ.3
1.32	sea	nom.3
1.322	calm (of sea)	la:ŋ.3
1.323	rough (of sea)	ik.7 thi:u.1
1.324	foam	łu:t.7
1.329	ocean	la:ŋ.3
1.33	lake	hju:k.7
1.34	gulf, bay	hju:k.7
1.341	lagoon	ko:ŋ.1
1.342	reef	hju:k.7 hwa:n.3
1.343	headland, point	łi:n.3 phok.2
1.35	wave	kho:ŋ.1 nom.3; hu:ŋ.1 la:ŋ.1
1.352	tide	bo.2 la:ŋ.2
1.353	lowtide	ha:i.3 chi:u.3
1.354	hightide	do:i.2 chi:u.3
1.36	river, stream, brook	ka:u.2 chi:u.3
1.362	whirlpool	nom.3 kai.1
1.37	spring, well	nom.3 pha:t́.7
1.38	swamp	nom.3 caŋ.1; nom.3 chu:ŋ.3
1.39	waterfall	vɨn.3
1.41	woods, forest	nom.3 ri:ŋ.3
1.42	tree (cf 08.600)	da:u.3 lo:k.7
1.43	wood	khɨ:ŋ.2 chai.1
1.44	stone, rock	chai.1
1.45	earthquake	chi:n.1
1.51	sky	chi:n.1 re:p.9
1.52	sun	teɨ.1 fa.3
1.53	moon	cha.1 hwan.1
1.54	star	ńa:n.1
1.55	lightning	ra:u.1
1.56	thunder	łip.7
1.57	lightning (as striking)	ńa:m.3; ʔom.1
1.58	storm	ńa:m.3 ro:ŋ.1
1.59	rainbow	łip.7
1.61	light (noun)	łɨ:ŋ.1
1.62	darkness	li.1 lo:k.7
1.63	shade, shadow	kop.7; hwiu.1 ra:u.1; cɨ.2 hjau.3
1.64	dew	nom.3 ło:ŋ.3
1.71	air	hwiu.1; hwo:t.7
1.72	wind	de:k.7 fa.3
1.73	cloud	hwo:n.1 ka:u.3
1.74	fog	fun.1
1.75	rain (noun)	beŋ.2
1.76	snow (noun)	teń.2
1.77	ice	fei.1
1.78	weather	ła:u.1 fei.1
1.81	fire	hwo:n.1
1.82	flame (noun)	cɨ.2 tau.3
1.83	smoke (noun)	tho:n.1 fei.1
1.84	ashes	chui.3
1.841	embers	thaŋ.1
1.851	burn (vb trans)	mou.1 fei.1
1.852	burn (vb intrans)	cop.7 fei.1
1.86	light, kindle, ignite	chua.2
1.861	extinguish	kun.3
1.87	match (noun)	ʔu.2 ʔa:u.1; ʔa:u.1
1.88	firewood	pha.3 ma:n.1
1.89	charcoal	pai.3 khau.2
2.1	person, human being	pha.3 ma:n.1
2.21	man (vs. woman)	pai.3 khau.2
2.22	woman	łɨ:k.7 pha.3 ma:n.1
2.23	male	łɨ:k.7 lik.7
2.24	female	łɨ:k.7 pai.3 khau.2
2.25	boy	łɨ:k.7 ʔu:ŋ.1
2.251	young man (adolescent)	łɨ:k.7 laɨ.2
2.26	girl	łɨ:k.7 ʔerp.2 mai.1
2.261	young woman (adolescent)	tho:ŋ.3 ploŋ.3; pha.3 ma:n.1
2.27	child	tho:ŋ.3 dun.1; pai.3 khau.2
2.28	infant, baby	peɨ.1 tho:ŋ.3; deɨ.1 tho:ŋ.3
2.31	husband	hun.2 ʔin.2
2.32	wife	ʔai.3 tho:ŋ.3
2.33	marry	pa.11; pha.3 za.1
2.34	marriage, wedding	miə.11; pai.3 za.1
2.341	divorce	pa.11 miə.11; pai.3 pha.3
2.35	father	pha.3 ma:n.1
2.36	mother	pai.3 khau.2
2.37	parents	łɨ:k.7 pha.3 ma:n.1
2.38	married man	łɨ:k.7 pai.3 khau.2
2.39	married woman	phɨ:n.1 dui.3; łɨ:k.7, phɨ:n.1 plɨ:k.7
2.41	son	łau.3 gu:ŋ.1
2.42	daughter	łau.3; ńo:ŋ.3
2.43	offspring (son or daughter)	gu:ŋ.1
2.44	brother	hun.1 haɨ.3
2.444	older brother	khaɨ.3; haɨ.3
2.445	younger brother	gu:ŋ.1; łɨ:k.7gu:ŋ.1; pai.3 gu:ŋ.1
2.45	sister	łau.3 gu:ŋ.1 hun.1 haɨ.3
2.454	older sister	łɨ:k.7 rop.7 rou.2
2.455	younger sister	phou.3
2.456	sibling	ʔa:u.1 za.1
2.458	twins	caɨ.3
2.46	grandfather	pai.3 ʔa:u.1 za.1
2.461	old man	łɨ:k.7 fou.3; łɨ:k.7 zaɨ.3
2.47	grandmother	łɨ:k.7 cha.3; łɨ:k.7 na.3
2.471	old woman	foi.2; chai.3
2.48	grandson	chai.3
2.49	granddaughter	chai.3
2.51	uncle	pei.1; ki:n.1
2.511	mother's brother	ki:n.1
2.512	father's brother	ki:n.1
2.52	aunt	łɨ:k.7 tai.3; łɨ:k.7 ŋi:n.1
2.521	mother's sister	łɨ:k.7 tai.3; łɨ:k.7 ŋi:n.1
2.522	father's sister	pha.3 łau.7 pha.3gu:ŋ.1; pai.3 khaɨ.7 pai.3 gu:ŋ.1
2.53	nephew	phut.7 phou.3
2.54	niece	phɨ:n.1 dui.3; phɨ:n.1 plɨ:k.7
2.55	cousin	pha.3 to:ŋ.1
2.56	ancestors	pai.3to:ŋ.1
2.57	descendants	łeɨ.1
2.61	father-in-law (of a man)	łeɨ.1
