entry_id	trans_english	Maca_Phonemic
1.1	world	seheʔ (m.)
1.21	earth, land	seheʔ (m.)
1.212	earth=ground, soil	seheʔ (m.)
1.213	dust	ɬʔeḳhip (m.)
1.214	mud	oɬoḳˀoy (m.)
1.215	sand	isaχ (m.)
1.22	mountain, hill	utek (f.)
1.222	cliff, precipice	kiimixuʔ (m.)
1.23	plain, field	ɬʔexinḳa-wet (m.)
1.24	valley	
1.25	island	
1.26	mainland	
1.27	shore	ɬotkoyek (m.)
1.28	cave	kumuʔ (m.)
1.31	water	iweli (m.)
1.32	sea	ḳi iweli
1.322	calm (of sea)	yim kaʔ haḳḳiʔ
1.323	rough (of sea)	mulpham naʔ haḳḳiʔ
1.324	foam	ɬʔihufaχ (m.)
1.329	ocean	--
1.33	lake	
1.34	gulf, bay	
1.341	lagoon	imileʔ (f.)
1.342	reef	--
1.343	headland, point	ɬa-pas (m.)
1.35	wave	
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	haḳḳiʔ (m.)
1.362	whirlpool	feyeykinheʔ (f.)
1.37	spring, well	ɬʔiwet (m); wesitaχ (f.); tixkiʔ
1.38	swamp	eɬipiʔi (m.)
1.39	waterfall	
1.41	woods, forest	ɬeneʔ (m.)
1.42	tree (cf 08.600)	naxkak (f.)
1.43	wood	naxak (m.)
1.44	stone, rock	ute (f.)
1.45	earthquake	seheʔ wapxaʔ
1.51	sky	was (m.)
1.52	sun	xunuʔ (f.)
1.53	moon	xuwel (f.)
1.54	star	footekiʔ (f.)
1.55	lightning	tethelun
1.56	thunder	texen (m.)
1.57	lightning (as striking)	texen
1.58	storm	tˀunixikˀi naʔ piɬey
1.59	rainbow	tikˀelaχ (f.)
1.61	light (noun)	nalkii; kooxo (f/m.)
1.62	darkness	noʔkii
1.63	shade, shadow	ɬeḳˀeneɬeyaχ (m.)
1.64	dew	iyec̷ (m.)
1.71	air	-uɬaχ (m.)
1.72	wind	tˀunikˀi (m.)
1.73	cloud	wasiʔ (f.)
1.74	fog	xunkhay (m.)
1.75	rain (noun)	piɬey (m.)
1.76	snow (noun)	ɬʔifiwaχ (m.)
1.77	ice	ɬʔifiwaχ (m.)
1.78	weather	lahac̷ix (m.)
1.81	fire	fet (m.)
1.82	flame (noun)	
1.83	smoke (noun)	ɬowḳˀol (m.)
1.84	ashes	loʔ (m.)
1.841	embers	
1.851	burn (vb trans)	-eɬxuʔ
1.852	burn (vb intrans)	-wuxkin; -tuxxem
1.86	light, kindle, ignite	-ɬaniʔ
1.861	extinguish	-omhet
1.87	match (noun)	seχ (m.)
1.88	firewood	naxak (m.)
1.89	charcoal	ɬofolol (m.)
2.1	person, human being	
2.21	man (vs. woman)	xukhew (m.)
2.22	woman	efu (f.)
2.23	male	ɬec̷ux (m.)
2.24	female	ɬewefu (f.)
2.25	boy	xutxanaχ (m.)
2.251	young man (adolescent)	xutxanaχ (m.)
2.26	girl	inanyiʔ (f.)
2.261	young woman (adolescent)	inanyiʔ
2.27	child	ome-ɬas (m.)
2.28	infant, baby	inkˀa nekfikˀi
2.31	husband	-iwheyeʔ ~ -ewheyeʔ
2.32	wife	-iwheyeʔ ~ -ewheyeʔ
2.33	marry	-ewheyey
2.34	marriage, wedding	
2.341	divorce	-weḳle
2.35	father	-tata (m.)
2.36	mother	-nene (f.)
2.37	parents	
2.38	married man	iwheyeɬ naʔ xukhew
2.39	married woman	iwheyeɬeʔ neʔ efu
2.41	son	-as (m.)
2.42	daughter	-asiʔ (f.)
2.43	offspring (son or daughter)	-lic̷
2.44	brother	
2.444	older brother	-mac̷ (m.)
2.445	younger brother	-kˀinix (m.)
2.45	sister	
2.454	older sister	-kutiʔ (f.)
2.455	younger sister	-kˀinχaʔ (f.)
2.456	sibling	
2.458	twins	wec̷xuk-xiʔ
2.46	grandfather	ket (m.)
2.461	old man	kˀuc̷aχ (m.)
2.47	grandmother	ket-iʔ (f.)
2.471	old woman	kˀuc̷heʔ (f.)
2.48	grandson	-uk (m.)
2.49	granddaughter	-uk-iʔ (f.)
2.51	uncle	-itxok ~ -otxok (m.)
2.511	mother's brother	
2.512	father's brother	
2.52	aunt	-aχteɬ (f.)
2.521	mother's sister	
2.522	father's sister	
2.53	nephew	-ḳaas (m.)
2.54	niece	-ḳaas-iʔ (f.)
2.55	cousin	-ilpik ~ -elpik (m.)
2.56	ancestors	ɬa-wam-hitsikˀi
2.57	descendants	
2.61	father-in-law (of a man)	-ḳewket (m.)
2.611	father-in-law (of a woman)	-ḳewket (m.)
2.62	mother-in-law (of a man)	-ḳewket-iʔ (f.)
2.621	mother-in-law (of a woman)	-ḳewket-iʔ (f.)
2.63	son-in-law (of a man)	-feluʔ (m.)
2.631	son-in-law (of a woman)	-feluʔ (m.)
2.64	daughter-in-law (of a man)	-felic̷ (f.)
2.641	daughter-in-law (of a woman)	-felic̷ (f.)
2.71	stepfather	-unhec̷ (m.)
2.72	stepmother	-unhec̷-eʔ (f.)
2.73	stepson	-asix (m.)
2.74	stepdaughter	-asiʔix (f.)
2.75	orphan	aftil (m.)
2.76	widow	wikihaleʔ (f.)
2.77	widower	wikiyaχ (m.)
2.81	relatives, kinsmen	
2.82	family	-lic̷
2.91	I	y-akhaʔ
2.92	you (singular)	akhaʔ
2.93	he/she/it	-akhaʔ-an
2.94	we	--
2.941	we (inclusive)	inekhewel (m.); inekhewelkiʔ (f.)
2.942	we (exclusive)	yekheweliɬ (m/f)
2.95	you (plural)	ekhewel-iɬ
2.96	they	ec̷iween
3.11	animal	inḳamet (m.)
3.12	male (adj)	ɬec̷ux (m.)
3.13	female (adj)	ɬewefu (f.)
3.15	livestock	
3.16	pasture	xupˀelket (f.)
3.18	herdsman	yexeɬ neʔ koc̷ˀetec̷
3.19	stable, stall	-ḳec̷itaχ (m.)
3.2	cattle (bovine)	
3.21	bull	[tolo]
3.22	ox	koyoyoy-iwoʔ
3.23	cow	[waka]
3.24	calf	[waka]-ɬas
3.25	sheep	
3.26	ram	
3.28	ewe	koc̷ˀetaχ (f.)
3.29	lamb	koc̷ˀetaχ-ɬas
3.32	boar	taf (m.)
3.34	sow	
3.35	pig	taf-itaχ (m.)
3.36	goat	koc̷ˀeteykaʔ (f.)
3.37	he-goat	
3.38	kid	koc̷ˀeteyka-ɬas
3.41	horse (equine)	tiptip (m.)
3.42	stallion	tiptip ɬec̷ux
3.44	mare	tiptip ɬew-efu
3.45	foal, colt	tiptip-ɬas
3.46	ass, donkey	matikkataχ (m.)
3.47	mule	matikkatekiʔ (f.)
3.5	fowl	xunwat (m.)
3.52	cock, rooster	taʔaʔaʔ ɬec̷ux (m.)
3.54	hen	taʔaʔaʔ (f.)
3.55	chicken	taʔaʔaʔ-ɬas
3.56	goose	xokheyitaχ (m.)
3.57	duck	xokheyaχ (m.)
3.58	nest	ɬup (m.)
3.581	bird	xunwat (m.)
3.582	seagull	
3.583	heron	ḳˀoχ-ḳˀoχ (m.)
3.584	eagle	nexulayaχ (m.)
3.585	hawk	miyo (m.)
3.586	vulture	sinxenaχ (m.)
3.591	bat	xayaʔ (f.)
3.592	parrot	eheʔ (f.)
3.593	crow	opowi (f.)
3.594	dove	ofoʔ (m.)
3.596	owl	ḳˀolopopo (m.)
3.61	dog	nunax (m.)
3.614	rabbit	niyaxtiʔ (f.)
3.62	cat	tenuk (m.)
3.622	opossum	
3.63	mouse, rat	c̷ˀus-c̷ˀus (f.)
3.65	fish	sehec̷ (m.)
3.652	fin (dorsal)	ɬeftic̷xeʔ
3.653	fishscale	sehec̷ ɬʔaxic̷
3.654	gill	
3.655	shell	nuthetiʔ (f.)
3.661	shark	--
3.662	porpoise, dolphin	--
3.663	whale	--
3.664	stingray	kˀeyeykiʔ (f.)
3.665	freshwater eel	uc̷i (m.)
3.71	wolf	wowo (m.)
3.72	lion	athil (m.)
3.73	bear	--
3.74	fox	exenel (m.)
3.75	deer	melel (m.)
3.76	monkey	afinaχ (m.)
3.77	elephant	--
3.78	camel	--
3.81	insect	asɬenheʔ (f.)
3.811	louse	(-)iiɬeʔ (m.)
3.812	nit (louse egg)	ɬihiʔ (f.)
3.813	flea	c̷xip (m.)
3.814	centipede	oloc̷-ɬokoy-ey (m.)
3.815	scorpion	naḳfinet (m.)
3.816	cockroach	ikˀawhic̷il (m.)
3.817	ant	lefʔef (m.)
3.818	spider	siwalaχ (f.)
3.819	spider web	
3.82	bee	
3.821	beeswax	neḳfeyenhet (m.)
3.822	beehive	
3.823	wasp	
3.83	fly	wexc̷iwowey (m.)
3.831	sandfly (midge), gnat	amhiʔ (f.)
3.832	mosquito	asɬenheʔ (f.); witḳiɬinkeleʔ (f.)
3.84	worm	ḳˀoy-ḳˀoḳˀoy (m.)
3.85	snake	ḳˀoy-ḳˀoy (m.)
3.91	firefly	xumḳˀec̷ (f.)
3.92	butterfly	fol-fol (m.)
3.93	grasshopper	kˀis (m.)
3.94	snail	lok (f.)
3.95	frog	sʔam-sʔam (f.)
3.96	lizard	ḳafitinheʔ (f.)
3.97	crocodile, alligator	nayaɬenex (m.)
3.98	turtle	pˀataχ (f.); soḳotitaχ (f.)
4.11	body	-ax (f.)
4.12	skin, hide	-ax (f.)
4.13	flesh	-esen (m.)
4.14	hair (head)	-iwkuxux ~ -ewkuxux
4.142	beard	-apxusi
4.144	body hair	-iwkuxux ~ -ewkuxux
4.145	pubic hair	
4.146	dandruff	
4.15	blood	-athic̷ (f.)
4.151	vein, artery	-asat (m.)
4.16	bone	-inu ~ -enu (m.)
4.162	rib	-weɬiʔ (m.)
4.17	horn	ɬekec̷ (f.)
4.18	tail	ɬahac̷xiʔ (f.)
4.19	back	-anu (m.)
4.191	spine	-inu ~ -enu (m.)
4.2	head	-xiɬaʔ (m.)
4.201	side of head, temple	
4.202	skull	
4.203	brain	-ixkitiɬaʔ ~ -exkitiɬaʔ (m.)
4.204	face	-xus (m.)
4.205	forehead	-itkoyek ~ -otkoyek (m.)
4.207	jaw	
4.208	cheek	-kukiʔ (f.)
4.209	chin	-ḳepˀiyek (m.)
4.21	eye	-toʔ (f.)
4.212	eyebrow	-itkosiʔ ~ -otkosiʔ (f.)
4.213	eyelid	
4.214	eyelash	-tec̷iʔ (f.)
4.215	blink	-(e)ḳˀuc̷-ḳˀuc̷itaχ
4.22	ear	-ikfiʔ ~ -ekfiʔ (f.)
4.221	earlobe	-ilasxiʔ (f.)
4.222	earwax	-kec̷ikˀo (m.)
4.23	nose	-inex ~ -enex (m.)
4.231	nostril	-inxeyic̷ ~ -enxeyic̷ (m.)
4.232	mucus (nasal)	-inxeyic̷ ~ -enxeyic̷ (m.)
4.24	mouth	-exiʔ (m.)
4.241	beak	ɬa-pas (m.)
4.25	lip	-pas (m.)
4.26	tongue	-lepep (m.)
4.27	tooth	-kˀunhetiʔ (f.)
4.271	gums	
4.272	molartooth	kˀunheti tewey texem
4.28	neck	-wonxeʔ (m.)
4.281	nape of neck	-waḳhatakiʔ (f.)
4.29	throat	-ḳaweχ (m.)
4.3	shoulder	-iwkˀeyey ~ -ewkˀeyey (f.)
4.301	shoulderblade	-woc̷eyey (m.)
4.302	collarbone	
4.31	arm	-koy (m.)
4.312	armpit	-ilxiʔ ~ -elxiʔ (f.)
4.32	elbow	-nokiʔ (f.)
4.321	wrist	
4.33	hand	-koy (m.)
4.331	palm of hand	kˀeweʔ -koy
4.34	finger	-yaḳsiʔ (f.)
4.342	thumb	-ḳaɬʔahalkiʔ
4.344	fingernail	-ḳofol (f.)
4.345	claw	
4.35	leg	-ḳanaxak (m.)
4.351	thigh	-kumkenet (f.)
4.352	calf of leg	-ḳekxiʔ (m.)
4.36	knee	-aḳhuc̷ (f.)
4.37	foot	-fʔiʔ (m.)
4.371	ankle	-fonxeʔ (f.)
4.372	heel	-ḳoḳˀo (m.)
4.374	footprint	-oc̷hiwxokiˀ (f.)
