entry_id	trans_english	Mansi_Phonemic
1.1	world	tor̃um
1.21	earth, land	ma
1.212	earth=ground, soil	ma
1.213	dust	por̃s
1.214	mud	paŋk
1.215	sand	seɣ
1.22	mountain, hill	nʸor̃; suma
1.222	cliff, precipice	kʸer̃as
1.23	plain, field	xar̃akan; tepkan
1.24	valley	xar̃a
1.25	island	tump
1.26	mainland	ma
1.27	shore	wʸit wata
1.28	cave	- -
1.31	water	wʸit
1.32	sea	sʸar̃sʸ
1.322	calm (of sea)	tawant
1.323	rough (of sea)	xumpaŋ
1.324	foam	nʸer̃
1.329	ocean	sʸar̃sʸ
1.33	lake	tur̃
1.34	gulf, bay	lox
1.341	lagoon	- -
1.342	reef	- -
1.343	headland, point	mʸesɨɣ
1.35	wave	xump
1.352	tide	wʸit ontane; wʸit yola mʸinne
1.353	lowtide	wʸit yola mʸinne
1.354	hightide	wʸit ontane
1.36	river, stream, brook	as ~ ya; posal; soym
1.362	whirlpool	- -
1.37	spring, well	soym
1.38	swamp	nʸar̃; kʸeliɣ
1.39	waterfall	- -
1.41	woods, forest	wor̃
1.42	tree (cf 08.600)	yiw
1.43	wood	yiw
1.44	stone, rock	axwtas; kʸer̃as
1.45	earthquake	- -
1.51	sky	tor̃umxar̃ʸi
1.52	sun	xotal
1.53	moon	etpos ~ yoŋxup
1.54	star	xus
1.55	lightning	sʸaxl salɨl
1.56	thunder	sʸaxl kur̃ɣane suy
1.57	lightning (as striking)	sʸaxl salɨl
1.58	storm	tor̃um
1.59	rainbow	nʸulɨ kʸis
1.61	light (noun)	pos
1.62	darkness	tur̃man
1.63	shade, shadow	isxor̃
1.64	dew	etwʸit
1.71	air	lɨlɨep
1.72	wind	wot
1.73	cloud	tul
1.74	fog	seŋkw
1.75	rain (noun)	r̃akw
1.76	snow (noun)	tuyt
1.77	ice	yaŋk
1.78	weather	tor̃um
1.81	fire	nay ~ ulʸa
1.82	flame (noun)	nay nʸelum ~ ulʸa nʸelum
1.83	smoke (noun)	posɨm
1.84	ashes	xulʸum
1.841	embers	lum
1.851	burn (vb trans)	kotar̃aŋkwʸe
1.852	burn (vb intrans)	teŋkwʸe
1.86	light, kindle, ignite	pʸelamtaŋkwʸe; kosamtaŋkwʸe
1.861	extinguish	xar̃ɨɣtaŋkwʸe
1.87	match (noun)	sʸer̃anka
1.88	firewood	nayiw ~ ulʸiw
1.89	charcoal	lotx
