entry_id	trans_english	Marquesan_Phonemic
1.1	world	ao-maáma; e ao nei
1.21	earth, land	épo; one
1.212	earth=ground, soil	tohua; henua
1.213	dust	épo; épo éhu; kau
1.214	mud	épo; épo koákoá; épo paápaá i taó
1.215	sand	one
1.22	mountain, hill	uta; ivi; tuaivi
1.222	cliff, precipice	pauma; ópata; pauma meniaka
1.23	plain, field	vahi pakahakaha; vahi paáhaáha; e uta
1.24	valley	kaávai; vava henua
1.25	island	motu; mota fenua
1.26	mainland	motu nui; fenua nui
1.27	shore	hiku o te tai; one; vaávaá; vakavaka
1.28	cave	ana; ana hohonu
1.31	water	vai
1.32	sea	tai; tai pi
1.322	calm (of sea)	
1.323	rough (of sea)	koukou a ia
1.324	foam	puapua; épo; ímu
1.329	ocean	moana; tai nui
1.33	lake	vai óto ~ vai koto
1.34	gulf, bay	fana; (hana); hanaka; e ava puta
1.341	lagoon	
1.342	reef	motu keá io he tai; tai hati ~ tai fati; koutu; papa koutu
1.343	headland, point	
1.35	wave	kaú (naú); peáu tai
1.352	tide	tai pi; tai heke
1.353	lowtide	tai heke atu
1.354	hightide	
1.36	river, stream, brook	vai tahe; kaávai; vai tahe
1.362	whirlpool	vai kaviívií
1.37	spring, well	puna; tumu
1.38	swamp	vai paápaá tao
1.39	waterfall	kahi vai; e vaikahi; e kahi
1.41	woods, forest	taha teita nui
1.42	tree (cf 08.600)	tumu ákau; tumu kaáu
1.43	wood	taha teita nui; kaáu; ákau
1.44	stone, rock	keá; tukií, kiíkií
1.45	earthquake	ú ote henua
1.51	sky	áni; áki
1.52	sun	oumati
1.53	moon	mahina (meama)
1.54	star	fetu ~ hetu; e mata fetu
1.55	lightning	uiá
1.56	thunder	fatutuí; hatutií; pohe; utu moe áki
1.57	lightning (as striking)	
1.58	storm	úa taki te hatutií
1.59	rainbow	anu-anua
1.61	light (noun)	maáma; maámaáma
1.62	darkness	panu; potako
1.63	shade, shadow	maú
1.64	dew	hau
1.71	air	e tohua; e auta metaki; e ao; e ata áni
1.72	wind	metaki; metani; metaki oko
1.73	cloud	ao
1.74	fog	kohu topa; kohu
1.75	rain (noun)	uá
1.76	snow (noun)	
1.77	ice	
1.78	weather	
1.81	fire	ahi
1.82	flame (noun)	uá; ahi
1.83	smoke (noun)	auahi
1.84	ashes	éhuahi; kehu ahi
1.841	embers	ánahu puiú
1.851	burn (vb trans)	tutu
1.852	burn (vb intrans)	
1.86	light, kindle, ignite	haá uá; uá
1.861	extinguish	tinai; kukumi
1.87	match (noun)	kaáu ahi
1.88	firewood	vehie
1.89	charcoal	ánahu (e ákahu); ánahu takapu
2.1	person, human being	énana; énata
2.21	man (vs. woman)	énata (e énana); kenana
2.22	woman	vehíne
2.23	male	
2.24	female	vehine
2.25	boy	tamaóa
2.251	young man (adolescent)	e mahai
2.26	girl	moí; pahoé
2.261	young woman (adolescent)	e pokoéhu
2.27	child	tama; tama óa; toiti (e poiti) (e toiki)
2.28	infant, baby	
2.31	husband	vahana; áhana (e vahana)
2.32	wife	vehine
2.33	marry	haánoho me te vahana; haá noho me te vehine
2.34	marriage, wedding	tuia
2.341	divorce	titií í te vahana
2.35	father	motua
2.36	mother	kui
2.37	parents	huaá; haétoa; huaá motua; huaá kui
2.38	married man	
2.39	married woman	
2.41	son	tama óa; tama; tama hamua
2.42	daughter	moí; pahoé
2.43	offspring (son or daughter)	
2.44	brother	tuaána; teina; tuname
2.444	older brother	tuaána; e tuakana
2.445	younger brother	e teina
2.45	sister	tuehine; tuaána; teina
2.454	older sister	e tuaána
2.455	younger sister	
2.456	sibling	
2.458	twins	mahana (mahaka); tahi o áua kopu
2.46	grandfather	tupuna; ahana
2.461	old man	koóúa
2.47	grandmother	tupuna; vehine
2.471	old woman	vehine pakahio; paáhio (paáfio)
2.48	grandson	moupuna; poupuna
2.49	granddaughter	poupuna (moupuna)
2.51	uncle	motua teina; motua tunane
2.511	mother's brother	
2.512	father's brother	
2.52	aunt	kui teina
2.521	mother's sister	
2.522	father's sister	
2.53	nephew	iámutu
2.54	niece	moí; iamutu
2.55	cousin	
2.56	ancestors	tupuna; e tai í áó; í áó
2.57	descendants	marée; tai heke
2.61	father-in-law (of a man)	
2.611	father-in-law (of a woman)	
2.62	mother-in-law (of a man)	
2.621	mother-in-law (of a woman)	motunoai vehine (e motukoai vehine)
2.63	son-in-law (of a man)	
2.631	son-in-law (of a woman)	
2.64	daughter-in-law (of a man)	hunona vehine (e hukona vehine; e huóna vehine)
2.641	daughter-in-law (of a woman)	
2.71	stepfather	motunoai (e motukoai)
2.72	stepmother	
2.73	stepson	e hunona (e hukona)
2.74	stepdaughter	
2.75	orphan	tama motua koé; me te kui koé
2.76	widow	
2.77	widower	popi; puouhou
2.81	relatives, kinsmen	huaá
2.82	family	haétoa
2.91	I	au; ú
2.92	you (singular)	óe; koe
2.93	he/she/it	ia
2.94	we	
2.941	we (inclusive)	taúa; tatou
2.942	we (exclusive)	maúa; matou
2.95	you (plural)	ótou
2.96	they	
3.11	animal	e puaá; e puaka
3.12	male (adj)	
3.13	female (adj)	
3.15	livestock	puaá; e áhui puaá
3.16	pasture	
3.18	herdsman	e énata tiaí [hipa]; e tiaí puaá
3.19	stable, stall	
3.2	cattle (bovine)	
3.21	bull	
3.22	ox	e pifaá áhana (e piha vahana) hakiuka
3.23	cow	
3.24	calf	
3.25	sheep	
3.26	ram	[hipa] áhana; e [hipa] toa
3.28	ewe	[hipa] vehine; e [hipa] uha
3.29	lamb	punua [hipa]
3.32	boar	
3.34	sow	
3.35	pig	
3.36	goat	keukeu (e menemene)
3.37	he-goat	e keukeu toa; e keukeu áhana (e menemene toa)
3.38	kid	punua keukeu e punua menemene
3.41	horse (equine)	puaka pií énata
3.42	stallion	
3.44	mare	
3.45	foal, colt	
3.46	ass, donkey	
3.47	mule	
3.5	fowl	
3.52	cock, rooster	
3.54	hen	
3.55	chicken	
3.56	goose	
3.57	duck	ákavaí; korokoro ánavaí; kanikani
3.58	nest	
3.581	bird	úpe
3.582	seagull	
3.583	heron	
3.584	eagle	
3.585	hawk	
3.586	vulture	
3.591	bat	
3.592	parrot	
3.593	crow	
3.594	dove	
3.596	owl	
3.61	dog	peto; nuhe
3.614	rabbit	
3.62	cat	potu
3.622	opossum	
3.63	mouse, rat	kioé
3.65	fish	iá
3.652	fin (dorsal)	
3.653	fishscale	
