entry_id	trans_english	Mulam_Phonemic
1.1	world	mən.1 ti.6
1.21	earth, land	ti.6
1.212	earth=ground, soil	na:m.6
1.213	dust	cən.2
1.214	mud	na:m.6 mjap.7
1.215	sand	sa.1
1.22	mountain, hill	pɣa.1
1.222	cliff, precipice	tən.1 mət.8
1.23	plain, field	lɛ.5
1.24	valley	ta.5 fjen.5
1.25	island	tɔ.2
1.26	mainland	ta:u.3
1.27	shore	u.1 ńan.3
1.28	cave	ka:m.1
1.31	water	nam.4
1.32	sea	hai.3
1.322	calm (of sea)	hu.2
1.323	rough (of sea)	lam.1
1.324	foam	ko.3 nja.1
1.329	ocean	pɔ.5 la:ŋ.4
1.33	lake	nja.1 (river); nja.1 niŋ.5 (stream)
1.34	gulf, bay	nam.4 cön.6
1.341	lagoon	man.5 (spring); pɛ.3 (well)
1.342	reef	pjan.5 mai.4
1.343	headland, point	mai.4
1.35	wave	mai.4 pat.7
1.352	tide	tui.2
1.353	lowtide	tui.2 kwa:t.8
1.354	hightide	ti.4 cən.4
1.36	river, stream, brook	mən.1
1.362	whirlpool	tat.7
1.37	spring, well	ka:ŋ.1 njen.2
1.38	swamp	la:k.8 mat.7
1.39	waterfall	lap.8 liŋ.6
1.41	woods, forest	la:k.8 pɣa.3
1.42	tree (cf 08.600)	la:k.8 pɣa.3 tin.3
1.43	wood	lap.8 liŋ.6
1.44	stone, rock	tɔk.7 kwən.1 lo.4
1.45	earthquake	lɔŋ.2
1.51	sky	tat.7
1.52	sun	lap.7
1.53	moon	lam.1; hɨm.5; tuŋ.6 pa:n.4
1.54	star	nam.4 ńö.2
1.55	lightning	lam.2
1.56	thunder	lam.2
1.57	lightning (as striking)	kwa.3
1.58	storm	u.4
1.59	rainbow	kwan.1
1.61	light (noun)	nui.1
1.62	darkness	nui.1
1.63	shade, shadow	la:k.8 pa:k.8
1.64	dew	mən.1 ci.5
1.71	air	fi.1
1.72	wind	fi.1 ma.2
1.73	cloud	fi.1 kwan.1
1.74	fog	pu.1
1.75	rain (noun)	fi.1 siŋ.6; fi.1 kɔ.1
1.76	snow (noun)	ta:u.3
1.77	ice	ta:u.3
1.78	weather	tɔ.4 fi.1; tjem.4 fi.1
1.81	fire	lap.7 fi.1
1.82	flame (noun)	cə.6 hɔ.3
1.83	smoke (noun)	kwi.1
1.84	ashes	tha:n.5
1.841	embers	śan.1
1.851	burn (vb trans)	ti.6 kɔŋ.1
1.852	burn (vb intrans)	ti.6 pwa.2
1.86	light, kindle, ignite	ti.6 kɔŋ.1
1.861	extinguish	ti.6 pwa.2; la:k.8 ʔja:k.7
1.87	match (noun)	la:k.8 te.5
1.88	firewood	hau.5 sɛŋ.1
1.89	charcoal	la:k.8 ʔja:k.7
2.1	person, human being	la:k.8 ʔja:k.7 lo.4
2.21	man (vs. woman)	la:k.8 te.5
2.22	woman	la:k.8 te.5 ŋe.3
2.23	male	kɣa:u.4
2.24	female	ma:i.4
2.25	boy	ćet.7 hwan.1
2.251	young man (adolescent)	li.2 kwan.1
2.26	girl	pu.4
2.261	young woman (adolescent)	ni.4
2.27	child	pu.4 ni.4
2.28	infant, baby	la:k.8
2.31	husband	la:k.8 ʔja:k.7
2.32	wife	la:k.8; la:k.8 khɣa:n.1
2.33	marry	pai.4 nuŋ.4
2.34	marriage, wedding	fa:i.4
2.341	divorce	nuŋ.4
2.35	father	cɛ.2 nuŋ.4
2.36	mother	cɛ.2
2.37	parents	nuŋ.4
