entry_id	trans_english	Panare_Phonemic
1.1	world	ano
1.21	earth, land	ano
1.212	earth=ground, soil	ano
1.213	dust	ano ičik
1.214	mud	pasakun
1.215	sand	mičin
1.22	mountain, hill	iʔ
1.222	cliff, precipice	iʔ tan
1.23	plain, field	wanaʔ
1.24	valley	iʔ n-anahtə-hpə
1.25	island	
1.26	mainland	ano
1.27	shore	mah-pana
1.28	cave	toʔ yahtan
1.31	water	tɨna
1.32	sea	tɨna yɨm
1.322	calm (of sea)	
1.323	rough (of sea)	tɨna w-as-amɨ-hpə kakəʔ
1.324	foam	t-yakoe
1.329	ocean	tɨna yɨm
1.33	lake	tɨna yɨm
1.34	gulf, bay	tɨna wɨsɨʔkə
1.341	lagoon	[rauna] pe mən
1.342	reef	--
1.343	headland, point	--
1.35	wave	tɨna w-as-amɨ-hpə kakəʔ
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	tɨna
1.362	whirlpool	
1.37	spring, well	tɨna w-at-ankapəh-sa
1.38	swamp	yɨkuhpə
1.39	waterfall	t-yɨputuʔ
1.41	woods, forest	ihča (/ih-ya/)
1.42	tree (cf 08.600)	iye
1.43	wood	iye
1.44	stone, rock	toʔ
1.45	earthquake	ano sɨrɨnma-toʔ
1.51	sky	kaʔ
1.52	sun	ehčerekun
1.53	moon	wanə
1.54	star	kaʔ yakɨn
1.55	lightning	t-učeɲama-k
1.56	thunder	kanoʔ pərən
1.57	lightning (as striking)	-učeɲama-
1.58	storm	kanoʔ
1.59	rainbow	amana t-yači
1.61	light (noun)	y-uwiyu-n
1.62	darkness	kawaame
1.63	shade, shadow	tyuuna
1.64	dew	kityo
1.71	air	aipe n-a-sɨn
1.72	wind	tyapapači
1.73	cloud	keʔɲato
1.74	fog	kanoʔ ičik
1.75	rain (noun)	kanoʔ
1.76	snow (noun)	tɨʔnatəke mən
1.77	ice	tɨʔnatəke mən
1.78	weather	
1.81	fire	wahto
1.82	flame (noun)	wahto y-o-n
1.83	smoke (noun)	wahto ičik
1.84	ashes	tukəənə
1.841	embers	wahto
1.851	burn (vb trans)	-uka-
1.852	burn (vb intrans)	aʔ (-tɨ, -ti); yuwaatɨn
1.86	light, kindle, ignite	-ɨputuhtə-
1.861	extinguish	-oɲehka-
1.87	match (noun)	wahto
1.88	firewood	wahto
1.89	charcoal	karamatə
2.1	person, human being	eʔɲapa
2.21	man (vs. woman)	apok
2.22	woman	wɨnkɨk
2.23	male	apok
2.24	female	wɨnkɨk
2.25	boy	apok ken
2.251	young man (adolescent)	tyikon, apok
2.26	girl	wɨnkɨk ken
2.261	young woman (adolescent)	tyikon, wɨnkɨk
2.27	child	-ken
2.28	infant, baby	namča
2.31	husband	tamu-n
2.32	wife	pɨk
2.33	marry	-ɨtamuh-ta-
2.34	marriage, wedding	tamu-n yantoʔ
2.341	divorce	tamu-n pɨnka-
2.35	father	yɨm
2.36	mother	y-anə; -anə
2.37	parents	iʔyaka-e
2.38	married man	tɨ-pɨ-ken
2.39	married woman	tɨ-tamu-ken
2.41	son	-əwan
2.42	daughter	-yɨnsɨn
2.43	offspring (son or daughter)	nken
2.44	brother	-yako; -pin
2.444	older brother	--
2.445	younger brother	--
2.45	sister	-ɲasuk; -yako
2.454	older sister	--
2.455	younger sister	--
2.456	sibling	iʔyakae
2.458	twins	[moročo] pe
2.46	grandfather	-əʔnahpən
2.461	old man	wačon pe mənək
2.47	grandmother	-nok; wačon
2.471	old woman	wačon pe mənək
2.48	grandson	
2.49	granddaughter	
2.51	uncle	--
2.511	mother's brother	-y-awo-n
2.512	father's brother	yɨm yako
2.52	aunt	--
2.521	mother's sister	-anə yako
2.522	father's sister	-waʔɲaiʔɲe
2.53	nephew	--
2.54	niece	--
2.55	cousin	-yako; -pin; -ɲasuk
2.56	ancestors	iʔyaka-e pɨ
2.57	descendants	ken ken watanka-pəh-sa
2.61	father-in-law (of a man)	-pɨk čɨm
2.611	father-in-law (of a woman)	-tamun yɨm
2.62	mother-in-law (of a man)	-pɨk čanə
2.621	mother-in-law (of a woman)	-tamun yanə
2.63	son-in-law (of a man)	paamɨyɨm, tyɨnsɨn tamun
2.631	son-in-law (of a woman)	nken tamun
2.64	daughter-in-law (of a man)	
2.641	daughter-in-law (of a woman)	
2.71	stepfather	
2.72	stepmother	
2.73	stepson	
2.74	stepdaughter	
2.75	orphan	namča čenka-sa
2.76	widow	wɨnkɨk čenka-sa
2.77	widower	apok čenka-sa
2.81	relatives, kinsmen	iʔyaka-e
2.82	family	iʔyaka-e
2.91	I	yu
2.92	you (singular)	amən
2.93	he/she/it	mək; mukuh
2.94	we	--
2.941	we (inclusive)	yuto-kon; weʔɲəkon
2.942	we (exclusive)	ana
2.95	you (plural)	aɲimonton
2.96	they	kamonton
3.11	animal	nəʔna
3.12	male (adj)	apok
3.13	female (adj)	wɨnkɨk
3.15	livestock	tato yɨkɨ
3.16	pasture	wanaʔ yɨpun
3.18	herdsman	tato yɨkɨ čenpa-ɲe
3.19	stable, stall	tato yɨkɨ yɨwɨk
3.2	cattle (bovine)	[paʔka]
3.21	bull	[toro]
3.22	ox	--
3.23	cow	[paʔka]
3.24	calf	[paʔka] nken
3.25	sheep	[oweha]
3.26	ram	
3.28	ewe	
3.29	lamb	
3.32	boar	
3.34	sow	
3.35	pig	[kučiɲa]
3.36	goat	[čiwa]
3.37	he-goat	
3.38	kid	
3.41	horse (equine)	[kawaare]
3.42	stallion	
3.44	mare	
3.45	foal, colt	
3.46	ass, donkey	
3.47	mule	[mura]
3.5	fowl	tunko
3.52	cock, rooster	paraaru
3.54	hen	paraaru
3.55	chicken	paraaru
3.56	goose	--
3.57	duck	mičiči
3.58	nest	-po
3.581	bird	tunko
3.582	seagull	
3.583	heron	waraka
3.584	eagle	yɨmuk
3.585	hawk	yɨmuk
3.586	vulture	yɨmuk
3.591	bat	ɲinke
3.592	parrot	ara
3.593	crow	
3.594	dove	tuwuk
3.596	owl	mɨrɨkɨ
3.61	dog	kərənəpən
3.614	rabbit	
3.62	cat	[miči]
3.622	opossum	awanke
3.63	mouse, rat	tɨnka
3.65	fish	kana
3.652	fin (dorsal)	-y-arako-e
3.653	fishscale	-puhpə
3.654	gill	y-ɨntasɨkorʸo-e
3.655	shell	-puhpə
3.661	shark	--
3.662	porpoise, dolphin	
3.663	whale	--
3.664	stingray	pankeik
3.665	freshwater eel	kariɲa
3.71	wolf	--
3.72	lion	--
3.73	bear	--
3.74	fox	yoroko
3.75	deer	wɨiki
3.76	monkey	kuhkuk
3.77	elephant	--
3.78	camel	--
3.81	insect	nəʔna
3.811	louse	sɨhpən
3.812	nit (louse egg)	sɨhpən
3.813	flea	səhpən
3.814	centipede	tyimeipe
3.815	scorpion	kayooka
3.816	cockroach	kɨrɨsa
3.817	ant	anətə
3.818	spider	ankaya
3.819	spider web	ankaya meik
3.82	bee	akamo
3.821	beeswax	
3.822	beehive	akamo po
3.823	wasp	akamo
3.83	fly	tyuwinke
3.831	sandfly (midge), gnat	wɨnkə
3.832	mosquito	masak
3.84	worm	winiči
3.85	snake	ake
3.91	firefly	ompəkə
3.92	butterfly	kočapin
3.93	grasshopper	kɨrɨsa
3.94	snail	waʔka
3.95	frog	kɨɨwo
3.96	lizard	onkomin
3.97	crocodile, alligator	onwe
3.98	turtle	yaʔra
4.11	body	arʸe
4.12	skin, hide	-pi-hpə
4.13	flesh	-puʔ
4.14	hair (head)	-iʔ-pok
4.142	beard	tansi pok
4.144	body hair	
4.145	pubic hair	yɨnəsɨ pok
4.146	dandruff	
4.15	blood	meičuʔ
4.151	vein, artery	-yowaɲeik
4.16	bone	-yəhpə
4.162	rib	-yoorʸo-e yəhpə
4.17	horn	(...) pana səkən
4.18	tail	-yɨtɨkɨn
4.19	back	-mpae
4.191	spine	
4.2	head	-pu-n
4.201	side of head, temple	menya
4.202	skull	-pu-n yəhpə
4.203	brain	-pu-n y-aarɨ
4.204	face	-petya-
4.205	forehead	-yɨ-menya
4.207	jaw	petya yəhpə
4.208	cheek	-petya-
4.209	chin	-y-amu-n
4.21	eye	o; -y-o-n
4.212	eyebrow	onči poh-to
4.213	eyelid	o pihpə
4.214	eyelash	onči poh-to
4.215	blink	yosomarʸeka-
4.22	ear	-pana-
4.221	earlobe	pana y-irityu-n
4.222	earwax	pana yakɨn weik
4.23	nose	-əəwa-
4.231	nostril	-əəwan y-ahta-n
4.232	mucus (nasal)	tyəwarɨčakun
4.24	mouth	ta; -ənta-
4.241	beak	ta; -ənta-
4.25	lip	ihpi
4.26	tongue	-iɲo-
4.27	tooth	yə-
4.271	gums	yə-n yapo
4.272	molartooth	yə-n tosenpe mən
4.28	neck	-pɨmɨ-
4.281	nape of neck	-pɨmɨ
4.29	throat	-waaru-
4.3	shoulder	-mata-
4.301	shoulderblade	mata-n yəhpə
4.302	collarbone	-karahpə-
4.31	arm	-y-apə-
4.312	armpit	-y-ata
4.32	elbow	-piriči-
4.321	wrist	-eɲa-n y-araku-
4.33	hand	-eɲa-
4.331	palm of hand	-eɲa y-awa
4.34	finger	-eɲa-n yɨ-pu-n
4.342	thumb	-eɲan yɨpun yɨm pe mən
4.344	fingernail	-eɲa-n yɨ-pu-n y-o-n
4.345	claw	-ihta yɨpun
4.35	leg	
4.351	thigh	-peik; peih-tyo
4.352	calf of leg	-y-uhsu-n
4.36	knee	-čeʔmu-
4.37	foot	pata; y-ihta-
4.371	ankle	-əʔraʔmu-
4.372	heel	pata-n y-ɨmu-n
4.374	footprint	ihta-hpə
4.38	toe	pata yɨ-pu-n
4.392	wing	-apə
4.393	feather	-iʔ-pok
4.4	chest	-kupu-
4.41	breast (of woman)	mak
4.412	nipple, teat	mah pɨtun
4.42	udder	mak
4.43	navel	-ponwa
4.44	heart	iɲə; t-yawa
4.441	lung	-kupu-; -y-awaaso-
4.45	liver	-y-inki-
4.451	kidney	tyeʔyah pəko
4.452	spleen	
4.46	stomach	pače; -pačeik
4.461	intestines, guts	pače; -pačeik
4.462	waist	pačein wan
4.463	hip	-y-aʔmata-n
4.464	buttocks	-unwa-n
4.47	womb	pačein wa-n
4.49	testicle	-yɨmu-n
4.492	penis	wə; yukɨn
4.51	breathe, breath	-yači-
4.52	yawn, gape	-ɨn-ta-pima
4.521	hiccough	čoʔ kaik mən
4.53	cough	čɨčɨsɨkɨ
4.54	sneeze	-usɨwɨčiʔka-
4.55	perspire	-ɨnkamahta-
4.56	spit	y-ɨtyaku-n yama-
4.57	vomit	-uwəčiɲompətɨ-n
4.58	bite	-ɨnə-n
4.59	lick	-ɨkaema-
4.591	dribble	əntarečuka-
4.61	sleep	-okuetyi-n
4.612	snore	-ɨkaranapu-n (-mi, -mɨ)
4.62	dream	-učepətɨ-n
4.63	wake up	-uwəhta-ma-n
4.64	break wind	-əh-pačei-ka
4.65	urinate	asuhta-n
4.66	defecate	aika
4.67	have sexual intercourse	yɨkun; yoʔ-; yosoʔ
4.68	shiver	atəətapa-
4.69	bathe	y-okupin (akuiʔ-)
4.71	beget (of father)	y-apoo-n
4.72	born (to be)	-apataka-n
4.73	pregnant	anɨme
4.732	conceive	-ɨmuʔra-ta
4.74	live, living, life	onkono; onkono-pe
4.75	die, dead	y-usuka-n
4.751	drowned	as-ɨɨwahpa-
4.76	kill	-uwə-
4.77	corpse	(object) + usuka-sa
4.78	bury (the dead)	-ɨmunta-
4.79	grave, tomb	t-yaka eʔɲapa munta-toʔ
4.81	strong, mighty, powerful	sɨɨrɨ-pe
4.82	weak	sɨɨrɨ-pe ehke
4.83	well, health	korʸa; korʸa-pe
4.84	sick, sickness	
4.841	fever	-puruwə-n
4.842	goiter	awo
4.843	cold (catarrh)	tamunko
4.85	wound, sore	čoori
4.852	bruise	wəhs-awa-hpə
4.853	swelling	tohpanse
4.854	itch	sɨhsɨh-pe
4.855	blister	eɲesuketya-
4.856	boil (noun)	tuke
4.857	pus	y-uʔmunku-n
4.858	scar	
4.86	cure, heal	-ɨ[kurah]-tə-
4.87	physician	[watora]
4.88	medicine, drug	tuʔɲen
4.89	poison	awa-tə
4.91	tired, weary	pɨrɨ-hpə
4.912	rest	
4.92	lazy	anuhki-pe
4.93	bald	--
4.94	lame	kasah-pe yutən
4.95	deaf	etya-poʔ-ka
4.96	mute	t-oromaen-ke ehke
4.97	blind	a-ɲi-tyə wehke
4.98	intoxicated	t-ɨkɨrɨɨ-se
4.99	naked, bare	korʸea
5.11	eat	yu-č-erema-n
5.12	food	č-erema-n-toʔ
5.121	cooked	y-əʔməh-sa
5.122	raw	oka
5.123	ripe	tyukin
5.124	green, unripe	oka
5.125	rotten	y-usuka-sa
5.13	drink	nɨkorooman
5.14	hunger	tinkehpən
5.141	famine	wehke č-erema-n-toʔ wehtyoʔ
