entry_id	trans_english	Persian_Phonemic
1.1	world	[donyɑ]; ǰæhɑn
1.21	earth, land	zæmin
1.212	earth=ground, soil	xɑk; zæmin
1.213	dust	gærd; xɑk
1.214	mud	gel
1.215	sand	rig; šen
1.22	mountain, hill	kuh; teppe
1.222	cliff, precipice	pært-gɑh; tæxte-sæng
1.23	plain, field	dæšt
1.24	valley	dærre
1.25	island	[ǰæzire]
1.26	mainland	[qɑre]
1.27	shore	kenɑr; kerɑne; [sahel]
1.28	cave	[ḡɑr; mæḡɑre]
1.31	water	ɑb
1.32	sea	dæryɑ; [bæhr]
1.322	calm (of sea)	ɑrɑm
1.323	rough (of sea)	[motælɑtem]
1.324	foam	kæf
1.329	ocean	[oqyɑnus]
1.33	lake	dæryɑče; [kul]
1.34	gulf, bay	[xæliǰ]
1.341	lagoon	
1.342	reef	
1.343	headland, point	dæmɑḡe
1.35	wave	[mowǰ]
1.352	tide	[ǰæzr-o-mædd]
1.353	lowtide	[ǰæzr-e kɑmel]
1.354	hightide	[mædd-e kɑmel]
1.36	river, stream, brook	rud; rud-xɑne; dæryo
1.362	whirlpool	gerd-ɑb
1.37	spring, well	češme; čɑh
1.38	swamp	mord-ɑb; [bɑtlɑq ~ bætlɑq]
1.39	waterfall	ɑb-šɑr
1.41	woods, forest	ǰængæl
1.42	tree (cf 08.600)	deræxt ~ dæræxt
1.43	wood	čub
1.44	stone, rock	sæng
1.45	earthquake	[zelzele]
1.51	sky	ɑsmɑn
1.52	sun	ɑftɑb; xoršid
1.53	moon	mɑh
1.54	star	setɑre
1.55	lightning	[bærq]
1.56	thunder	[ræʔd]
1.57	lightning (as striking)	ɑzæræxš; [sɑʔeqe]
1.58	storm	[tufɑn]
1.59	rainbow	rængin-kæmɑn
1.61	light (noun)	rowšænɑʔi; [nur]
1.62	darkness	tɑriki
1.63	shade, shadow	sɑye
1.64	dew	šæbnæm; žɑle
1.71	air	[hævɑ]; bɑd
1.72	wind	bɑd
1.73	cloud	æbr
1.74	fog	meh
1.75	rain (noun)	bɑrɑn
1.76	snow (noun)	bærf
1.77	ice	yæx
1.78	weather	[hævɑ]; ɑb-o-hævɑ
1.81	fire	ɑteš ~ ɑtæš; ɑzær
1.82	flame (noun)	[šoʔle]
1.83	smoke (noun)	dud
1.84	ashes	xɑkestær
1.841	embers	æxgær
1.851	burn (vb trans)	suxtæn; suz-
1.852	burn (vb intrans)	suzɑn-
1.86	light, kindle, ignite	æfruxt-/ æfruz-; rowšæn //kærdæn//
1.861	extinguish	xɑmuš-kærdæn
1.87	match (noun)	[kebrit]
1.88	firewood	hizom
1.89	charcoal	zoḡɑl-e čub
2.1	person, human being	ɑdæm; kæs
2.21	man (vs. woman)	mærd
2.22	woman	zæn
2.23	male	nær
2.24	female	mɑde
