entry_id	trans_english	Qawasqar_Phonemic
1.1	world	
1.21	earth, land	wes
1.212	earth=ground, soil	xaley-tḳal
1.213	dust	papas-ḳʰar
1.214	mud	papˀe
1.215	sand	ḳyepc̷aḳs
1.22	mountain, hill	arḳa-ḳʰar
1.222	cliff, precipice	aḳsalc̷ewe
1.23	plain, field	arḳa-ḳalaḳs
1.24	valley	
1.25	island	xale-ḳʰar
1.26	mainland	wes-erlay
1.27	shore	wes-ya
1.28	cave	c̷ˀayes-alowe
1.31	water	c̷efa-lay
1.32	sea	c̷ams
1.322	calm (of sea)	eyta-ḳsta
1.323	rough (of sea)	
1.324	foam	ma
1.329	ocean	
1.33	lake	c̷efa-lay-tḳal
1.34	gulf, bay	sapar
1.341	lagoon	c̷efa-lay-tḳal
1.342	reef	c̷elas-ḳʰar
1.343	headland, point	
1.35	wave	yerḳỵarya
1.352	tide	
1.353	lowtide	afseḳta; afsoḳta (?)
1.354	hightide	xayeḳta
1.36	river, stream, brook	c̷efa-lay erlay
1.362	whirlpool	c̷eḳwolas
1.37	spring, well	c̷efa-lay ḳawaḳsa
1.38	swamp	papˀe
1.39	waterfall	
1.41	woods, forest	arḳʰatawan
1.42	tree (cf 08.600)	ḳʰar
1.43	wood	
1.44	stone, rock	ḳyesaw
1.45	earthquake	
1.51	sky	arḳa-c̷ewe
1.52	sun	aswal-ḳ-seles
1.53	moon	yeḳaptsewe-ḳ-seles
1.54	star	c̷elesewe
1.55	lightning	
1.56	thunder	aryor
1.57	lightning (as striking)	ḳyoyes
1.58	storm	
1.59	rainbow	aḳyepena
1.61	light (noun)	ḳyoyes-ḳʰar
1.62	darkness	aḳyawe
1.63	shade, shadow	ḳʰawes
1.64	dew	
1.71	air	
1.72	wind	safḳyas
1.73	cloud	arḳa-yeta
1.74	fog	ayxer
1.75	rain (noun)	aperḳs
1.76	snow (noun)	asewe
1.77	ice	yeterya
1.78	weather	
1.81	fire	afc̷ˀar
1.82	flame (noun)	ḳyoyareḳ
1.83	smoke (noun)	ayeḳyo
1.84	ashes	aymaḳʰar
1.841	embers	ḳstatel
1.851	burn (vb trans)	aw-af-na
1.852	burn (vb intrans)	
1.86	light, kindle, ignite	tˀeḳya
1.861	extinguish	ḳayes
1.87	match (noun)	yeḳstat
1.88	firewood	afc̷ˀar
1.89	charcoal	
2.1	person, human being	ḳawas-ḳʰar
2.21	man (vs. woman)	aḳsenes
2.22	woman	esatap
2.23	male	areḳ
2.24	female	waleḳ
2.25	boy	
2.251	young man (adolescent)	erḳsa
2.26	girl	ḳawesḳʰar-seles
2.261	young woman (adolescent)	
2.27	child	eyxyol
2.28	infant, baby	
2.31	husband	areḳ
2.32	wife	aftsoḳ
2.33	marry	
2.34	marriage, wedding	
2.341	divorce	
2.35	father	c̷ewal
2.36	mother	c̷ap
2.37	parents	
2.38	married man	
2.39	married woman	
2.41	son	eyxyol
2.42	daughter	eyxyol-seles
2.43	offspring (son or daughter)	eyxyol
2.44	brother	taḳsoḳte
2.444	older brother	yerḳeperḳ
2.445	younger brother	are
2.45	sister	taḳsoḳte-seles
2.454	older sister	c̷ewelḳer
2.455	younger sister	are-seles
2.456	sibling	
2.458	twins	
2.46	grandfather	yersas
2.461	old man	oyḳep-ḳʰar
2.47	grandmother	ḳyewo-seles
2.471	old woman	xoyḳo-las
2.48	grandson	seḳwayoḳ
2.49	granddaughter	seḳwayoḳ-seles
2.51	uncle	
2.511	mother's brother	
2.512	father's brother	yerwotaḳ
2.52	aunt	soterḳ
2.521	mother's sister	
2.522	father's sister	yerwotaḳ
2.53	nephew	eyxyol-yerwasḳay
2.54	niece	
2.55	cousin	yerwasḳe
2.56	ancestors	
2.57	descendants	
2.61	father-in-law (of a man)	tarḳeyep
2.611	father-in-law (of a woman)	
2.62	mother-in-law (of a man)	tayxar-seles
2.621	mother-in-law (of a woman)	
2.63	son-in-law (of a man)	
2.631	son-in-law (of a woman)	
2.64	daughter-in-law (of a man)	
2.641	daughter-in-law (of a woman)	
2.71	stepfather	wareḳsens
2.72	stepmother	wareḳsen-seles
2.73	stepson	
2.74	stepdaughter	
2.75	orphan	
2.76	widow	
2.77	widower	
2.81	relatives, kinsmen	yeḳyareḳ
2.82	family	yeḳyareḳ
2.91	I	c̷e
2.92	you (singular)	c̷aw
2.93	he/she/it	c̷aw
2.94	we	c̷e
2.941	we (inclusive)	
2.942	we (exclusive)	
2.95	you (plural)	c̷aw
2.96	they	c̷aw
3.11	animal	
3.12	male (adj)	areḳ
3.13	female (adj)	waleḳ
3.15	livestock	
3.16	pasture	
3.18	herdsman	
3.19	stable, stall	
3.2	cattle (bovine)	
3.21	bull	
3.22	ox	
3.23	cow	[waḳya]
3.24	calf	
3.25	sheep	[wese]
3.26	ram	
3.28	ewe	
3.29	lamb	
3.32	boar	
3.34	sow	
3.35	pig	
3.36	goat	
3.37	he-goat	
3.38	kid	
3.41	horse (equine)	[orase]
3.42	stallion	
3.44	mare	
3.45	foal, colt	
3.46	ass, donkey	
3.47	mule	
3.5	fowl	
3.52	cock, rooster	
3.54	hen	xaḳawaḳa
3.55	chicken	
3.56	goose	
3.57	duck	ḳayep
3.58	nest	ey-tḳal
3.581	bird	ḳayesḳa
3.582	seagull	ḳaḳayes
3.583	heron	c̷ˀaḳʰa
3.584	eagle	c̷eyes
3.585	hawk	
3.586	vulture	aḳorasap
3.591	bat	atoloc̷alaḳya
3.592	parrot	parpar
3.593	crow	
3.594	dove	
3.596	owl	ḳoḳoles
3.61	dog	ḳyoro
3.614	rabbit	
3.62	cat	ḳeyeto
3.622	opossum	
3.63	mouse, rat	atḳasap
3.65	fish	yawc̷en
3.652	fin (dorsal)	eḳarte
3.653	fishscale	ḳse
3.654	gill	afḳyal
3.655	shell	ḳʰar
3.661	shark	
3.662	porpoise, dolphin	saḳstar
3.663	whale	apela
3.664	stingray	
3.665	freshwater eel	
3.71	wolf	
3.72	lion	--
3.73	bear	
3.74	fox	ḳyonc̷ar
3.75	deer	yeḳc̷al
3.76	monkey	
3.77	elephant	--
3.78	camel	--
3.81	insect	
3.811	louse	yeḳstawes
3.812	nit (louse egg)	
3.813	flea	
3.814	centipede	
3.815	scorpion	
3.816	cockroach	
3.817	ant	
3.818	spider	ḳac̷ayema
3.819	spider web	
3.82	bee	
3.821	beeswax	
3.822	beehive	
3.823	wasp	
3.83	fly	ḳyematela
3.831	sandfly (midge), gnat	
3.832	mosquito	ḳyematela
3.84	worm	ḳc̷eryaap
3.85	snake	terḳoyasoḳ
3.91	firefly	
3.92	butterfly	c̷eḳelstaḳʰo
3.93	grasshopper	ḳʰaserpe-ḳʰar
3.94	snail	taḳˀoyawes
3.95	frog	ataḳtele
3.96	lizard	
3.97	crocodile, alligator	
3.98	turtle	
4.11	body	
4.12	skin, hide	ḳawes
4.13	flesh	
4.14	hair (head)	eyoḳ
4.142	beard	af-eyoḳ
4.144	body hair	ḳawes-eyoḳ
4.145	pubic hair	
4.146	dandruff	
4.15	blood	ḳstanḳse
4.151	vein, artery	ḳstanḳse-ḳwar
4.16	bone	ḳʰar
4.162	rib	arḳsar-ḳte
4.17	horn	aḳter
4.18	tail	ḳso
4.19	back	taḳʰay-ḳte
4.191	spine	c̷anerḳwop
4.2	head	tes-ḳʰar
4.201	side of head, temple	
4.202	skull	
4.203	brain	ḳayec̷ewor
4.204	face	tes-tḳal
4.205	forehead	tes-tes
4.207	jaw	af-ḳʰar
4.208	cheek	ḳsec̷epe
4.209	chin	af-ḳʰar
4.21	eye	tes
4.212	eyebrow	tes-eyoḳ
4.213	eyelid	tes-ḳawes
4.214	eyelash	tes-atal-eyoḳ
4.215	blink	
4.22	ear	ḳyawe
4.221	earlobe	
4.222	earwax	ḳyawe-ḳstay-tˀole
4.23	nose	nows
4.231	nostril	nows-ḳstay
4.232	mucus (nasal)	
4.24	mouth	af-ḳstay
4.241	beak	
4.25	lip	af-sere
4.26	tongue	ḳalaḳtes
4.27	tooth	sereḳte
4.271	gums	ḳarḳs ḳosese
4.272	molartooth	
4.28	neck	ḳyelef-ḳʰar
4.281	nape of neck	ḳyasen-ḳyot
4.29	throat	ḳawora
4.3	shoulder	taḳʰon
4.301	shoulderblade	
4.302	collarbone	ḳˀeles-ḳʰar
4.31	arm	terwa-ḳʰar
4.312	armpit	xanḳstay
4.32	elbow	apaay
4.321	wrist	terwa-stal
4.33	hand	terwa
4.331	palm of hand	terwa-c̷ewe
4.34	finger	arḳsen
4.342	thumb	atʰeles-atʰeles-o-xar
4.344	fingernail	ḳsteyes-ḳʰar
4.345	claw	ḳsteyes-ḳʰar
4.35	leg	ḳʰat
4.351	thigh	ḳʰat-serpe
4.352	calf of leg	ḳʰat-ḳʰar
4.36	knee	tˀeltal
4.37	foot	ḳʰat
4.371	ankle	ḳʰat-ḳʰar
4.372	heel	ḳatse
4.374	footprint	ḳsepso-ḳoc̷er
4.38	toe	tows-arḳsens
4.392	wing	terwa
4.393	feather	c̷apas
4.4	chest	ḳyep-ḳʰar
4.41	breast (of woman)	c̷exyaw
4.412	nipple, teat	c̷exyaw
4.42	udder	
4.43	navel	ḳc̷ˀenes
4.44	heart	c̷enaḳs
4.441	lung	paroḳs
4.45	liver	atʰaḳ
4.451	kidney	ḳerḳstama
4.452	spleen	
4.46	stomach	aḳyaw
4.461	intestines, guts	ḳyoc̷-ḳtel
4.462	waist	ḳyot-estal
4.463	hip	yeḳas
4.464	buttocks	
4.47	womb	c̷eftsamaḳ
4.49	testicle	yaaḳto
4.492	penis	xayaso
4.51	breathe, breath	aws
4.52	yawn, gape	ḳaḳareḳs
4.521	hiccough	c̷ˀelaḳs
4.53	cough	yerḳsa
4.54	sneeze	arḳstems
4.55	perspire	selḳwaser
4.56	spit	fteyes
4.57	vomit	laal
4.58	bite	c̷aḳˀawes
4.59	lick	melc̷as
4.591	dribble	
4.61	sleep	tḳame
4.612	snore	ḳsene-ḳtserḳsta
4.62	dream	aseḳsor
4.63	wake up	
4.64	break wind	ḳermaseya
4.65	urinate	ḳsḳar
4.66	defecate	ḳˀyeyeḳ
4.67	have sexual intercourse	areyo
4.68	shiver	ac̷ernaḳ
4.69	bathe	yepayxen
4.71	beget (of father)	
4.72	born (to be)	
4.73	pregnant	ayxyol-ḳwar
4.732	conceive	
4.74	live, living, life	ḳsḳyal
4.75	die, dead	yexanar
4.751	drowned	paḳtas
4.76	kill	ḳaar
4.77	corpse	
4.78	bury (the dead)	ḳawaḳso
4.79	grave, tomb	ḳeyer-ḳstay
4.81	strong, mighty, powerful	c̷ˀeleḳs
4.82	weak	
4.83	well, health	af-ḳyawel-na
4.84	sick, sickness	af
4.841	fever	
4.842	goiter	
4.843	cold (catarrh)	
4.85	wound, sore	erso
4.852	bruise	
4.853	swelling	
4.854	itch	
4.855	blister	
4.856	boil (noun)	
4.857	pus	
4.858	scar	setḳap-c̷oyo
4.86	cure, heal	
4.87	physician	[teḳtor]
4.88	medicine, drug	c̷ese-ḳʰar
4.89	poison	
4.91	tired, weary	ḳʰarḳʰap
4.912	rest	yepana
4.92	lazy	serḳsḳwena
4.93	bald	
4.94	lame	ḳasc̷el
4.95	deaf	ḳyawe-ḳyawel
4.96	mute	
4.97	blind	tas-ḳyawel
4.98	intoxicated	ḳyepʰas-na
4.99	naked, bare	teyesḳes
5.11	eat	yefa-yes
5.12	food	yefa-yes
5.121	cooked	awasḳe-so
5.122	raw	es
5.123	ripe	ac̷aas
5.124	green, unripe	ac̷a-ḳseḳer
5.125	rotten	aḳs-na
5.13	drink	c̷efa-lay
5.14	hunger	ḳyewas
5.141	famine	
5.15	thirst	c̷efa-ḳayna
5.16	suck	c̷eptsas
5.18	chew	yefa-tawan
5.181	swallow	aḳstaraḳso
5.19	choke	
5.21	cook	awas
5.22	boil (vb)	malmas
5.23	roast, fry	
5.24	bake	
5.25	oven	
5.26	pot, cooking vessel	peyḳyo-ḳʰar
5.27	kettle	
5.28	pan	
5.31	dish	yefayes-tḳal
5.32	plate	
5.33	bowl	
5.34	pitcher, jug	ḳyanes-ḳʰar
5.35	cup, drinking vessel	
5.36	saucer	
5.37	spoon	yefayes-ḳʰar
5.38	knife	afsasḳe
5.39	fork	
5.391	tongs	
5.41	meal (a)	
5.42	breakfast	papesḳa
5.43	lunch	
5.44	dinner	
5.45	supper	
5.46	peel	ḳseyes
5.47	sieve, strain	
5.48	scrape	c̷eftse-lay
5.49	stir, mix	
5.51	bread	tasensḳa
5.53	dough	
5.54	knead	panepes
5.55	meal, flour	tasensḳa
5.56	crush, grind	ḳsḳerḳye-na
5.57	mill	
5.58	mortar	
5.59	pestle	
5.61	meat	c̷ewalc̷eḳ
5.63	sausage	--
5.64	soup, broth	
5.65	vegetables	
5.66	bean	[porota]
5.7	potato	ḳwena
5.71	fruit	
5.712	bunch	
5.75	fig	--
5.76	grape	--
5.77	nut	
5.78	olive	--
5.79	oil	ḳarnaḳar
5.791	grease, fat	
5.81	salt	c̷ams
5.82	pepper	aḳoḳstayesḳa
5.821	chili pepper	
5.84	honey	
5.85	sugar	yenc̷epas-ḳa
5.86	milk (noun)	ḳʰarxase
5.87	milk (vb)	
5.88	cheese	waḳapsḳa
5.89	butter	ḳenḳʰar
5.9	beverage, drink	aḳc̷oḳar-afxar
5.91	mead	
5.92	wine	afxar
5.93	beer	
5.94	fermented drink	
5.97	egg	yese
5.971	egg yolk	tˀanowas
6.11	put on (clothes)	
6.12	clothing, clothes	awelḳa
6.13	tailor	--
6.21	cloth	
6.22	wool	
6.23	linen, flax	--
6.24	cotton	
6.25	silk	--
6.27	felt	--
6.28	fur	
6.29	leather	
6.31	spin	
6.32	spindle	
6.33	weave	yeta
6.34	loom	
6.35	sew	aḳapas
6.36	needle	aḳapas-ḳʰar
6.37	awl	wasḳala
6.38	thread	
6.39	dye	
6.41	cloak	yewala
6.411	poncho	
6.42	woman's dress	
6.43	coat	
6.44	shirt	ḳawes-eḳse
6.45	collar	
6.46	skirt	
6.461	grass-skirt	
6.48	trousers	ḳʰat-peyḳe
6.49	stocking, sock	ḳʰat-yare
6.51	shoe	[c̷eḳwor]
6.52	boot	[wota]
6.54	shoemaker, cobbler	--
6.55	hat, cap	yeneḳ
6.57	belt, girdle	ḳyerḳyena
6.58	glove	
6.59	veil	--
6.61	pocket	xapalo
6.62	button	yeḳena-ḳʰar
6.63	pin	
6.71	ornament, adornment	
6.72	jewel	--
6.73	ring (for finger)	
6.74	bracelet	
6.75	necklace	ḳamaseyar
6.76	bead	
6.77	earring	
6.78	headband, headdress	
6.79	tattoo	
6.81	handkerchief, rag	
6.82	towel	
6.91	comb	yeḳseḳena-ḳʰar
6.92	brush	sewes-ḳʰar
6.921	braid	
6.93	razor	afsayoḳ-c̷efc̷as-ḳʰar
6.94	ointment	
6.95	soap	aḳwas-ḳʰar
6.96	mirror	leyes-ḳʰar
7.11	dwell, live	
7.12	house	at
7.13	hut	at
7.131	garden-house	
7.14	tent	
7.15	yard, court	
7.16	men's house	
7.17	cookhouse	
7.18	meeting house	yenc̷exawa
7.21	room	
7.22	door, gate	ḳstap
7.221	doorpost, jamb	
7.23	lock (noun)	
7.231	latch, door-bolt	
7.24	key	
7.25	window	ḳstaleḳsa
7.26	floor	ḳsemna-ḳo-tḳal
7.27	wall	at-ḳaleḳ-el
7.31	fireplace	aftsar-tḳal
7.32	stove	afc̷ar-ḳwal
7.33	chimney	ḳowepe-ḳʰar
7.37	ladder	taryo-ḳʰar
7.42	bed	talay-xo-tḳal
7.421	pillow	
7.422	blanket	laaḳs
7.43	chair	pap-o-tḳal
7.44	table	yefa-yes-tḳal
7.45	lamp, torch	ḳyoyes-ḳʰar
7.46	candle	ḳyoyes-ḳʰar
7.47	shelf	
7.48	trough	
7.51	roof	estes-tḳal
7.52	thatch	
7.53	ridgepole	
7.54	rafter	
7.55	beam	
7.56	post, pole	
7.57	board	seyane-ḳʰar
7.58	arch	--
7.61	mason	--
7.62	brick	--
7.63	mortar	--
7.64	adobe	--
8.11	farmer	--
8.12	field (for cultivation)	
8.13	garden	
8.15	cultivate, till	
8.16	fence	yec̷etḳana
8.17	ditch	
8.21	plow	
8.212	furrow	
8.22	dig	ḳawe-lay
8.23	spade	
8.24	shovel	
8.25	hoe	
8.26	fork	
8.27	rake	
8.31	sow	
8.311	seed	yec̷ˀoy
8.32	mow, reap	
8.33	sickle, scythe	
8.34	thresh	
8.35	threshing-floor	
8.41	crop, harvest	
8.42	grain (barley, oats etc)	
8.43	wheat	
8.44	barley	
8.45	rye	
8.46	oats	
8.47	maize, corn	
8.48	rice	c̷eryapsḳa
8.51	grass	c̷apḳstas
8.52	hay	--
8.53	plant (noun)	ḳawoḳyena
8.531	plant (vb)	
8.54	root	wes-pel
8.55	branch	ḳc̷eyḳe
8.56	leaf	ḳse
8.57	flower	yeḳstas
8.6	tree	ḳʰar
8.61	oak	yerḳseḳenoḳar
8.62	beech	
8.63	birch	
8.64	pine	
8.65	fir	
8.66	acorn	
8.67	vine	
8.68	tobacco	tˀelḳs
8.69	smoke (tobacco)	c̷efas
8.691	pipe	tˀalḳs-ḳʰar
8.72	tree stump	
8.73	tree trunk	
8.74	forked branch	
8.75	bark	ḳʰar-ḳawes
8.76	sap	ḳʰen
8.81	palm tree	
8.82	coconut	
8.83	citrus fruit	
8.84	banana tree	
8.85	banyan	--
8.91	sweet potato	
8.912	yam	
8.92	tapioca, manioc, cassava	
8.93	gourd	
8.931	pumpkin, squash	
8.94	bamboo	
8.941	sugar cane	
8.96	fish poison (root)	
8.97	nettle	aw-asap
8.98	mushroom	arḳyawe
9.11	do, make	yeta
9.12	work	altal
9.14	bend	
9.15	fold	
