entry_id	trans_english	Russian_Phonemic
1.1	world	mir; svet
1.21	earth, land	zemlja
1.212	earth=ground, soil	počva
1.213	dust	pyl
1.214	mud	grjaz
1.215	sand	pesok
1.22	mountain, hill	gora; cholm, xolm
1.222	cliff, precipice	skala
1.23	plain, field	ravnina; pole
1.24	valley	dolina
1.25	island	ostrov
1.26	mainland	materik
1.27	shore	bereg; poberež ́je
1.28	cave	pečera
1.31	water	voda
1.32	sea	more
1.322	calm (of sea)	zatiš ́je
1.323	rough (of sea)	burnoe more
1.324	foam	pena
1.329	ocean	okean
1.33	lake	ozero
1.34	gulf, bay	zaliv
1.341	lagoon	laguna
1.342	reef	rif
1.343	headland, point	mys
1.35	wave	volna (val)
1.352	tide	morskoj priliv i otliv
1.353	lowtide	nizšaja točka otliva
1.354	hightide	vysšaja točka priliva
1.36	river, stream, brook	reka; potok; ručej
1.362	whirlpool	vodovorot
1.37	spring, well	ključ; rodnik; istočnik; kolodec
1.38	swamp	boloto
1.39	waterfall	vodopad
1.41	woods, forest	les
1.42	tree (cf 08.600)	derevo
1.43	wood	derevo
1.44	stone, rock	kamen
1.45	earthquake	zemle trjasenie
1.51	sky	nebo
1.52	sun	solnce
1.53	moon	luna (mesjac)
1.54	star	zvezda
1.55	lightning	molnija
1.56	thunder	grom
1.57	lightning (as striking)	molnija
1.58	storm	burja
1.59	rainbow	raduga
1.61	light (noun)	svet
1.62	darkness	temnota; t ́ma; mrak
1.63	shade, shadow	ten ́
1.64	dew	rosa
1.71	air	vozdux
1.72	wind	veter
1.73	cloud	oblako; tuča
1.74	fog	tuman; mgla
1.75	rain (noun)	dožd
1.76	snow (noun)	sneg
1.77	ice	led
1.78	weather	pogoda
1.81	fire	ogon
1.82	flame (noun)	plamja
1.83	smoke (noun)	dym
1.84	ashes	pepel
1.841	embers	poslednie krasnye ugol ́ki
1.851	burn (vb trans)	žeč
1.852	burn (vb intrans)	goret
1.86	light, kindle, ignite	zažeč
1.861	extinguish	tušit ́; gasit
1.87	match (noun)	spička
1.88	firewood	drova
1.89	charcoal	drevesnyj ugal
2.1	person, human being	čelovek
2.21	man (vs. woman)	mužčina
2.22	woman	ženščina
2.23	male	mužskoj
2.24	female	ženskij
2.25	boy	mal ́čik
2.251	young man (adolescent)	junoša; podrostok
2.26	girl	devočka
2.261	young woman (adolescent)	devuška
2.27	child	rebenok (deti)
2.28	infant, baby	mladenec
2.31	husband	muž; suprug
2.32	wife	žena; supruga
2.33	marry	ženit ́sja; vyiti za muž
2.34	marriage, wedding	brak; supružestvo; ženit ́ba; zamužestvo; svad ́ba
2.341	divorce	razvod
2.35	father	otec
2.36	mother	mat
2.37	parents	roditeli
2.38	married man	
2.39	married woman	
2.41	son	syn
2.42	daughter	doč
2.43	offspring (son or daughter)	
2.44	brother	brat
2.444	older brother	staršij brat
2.445	younger brother	mladšij brat
2.45	sister	sestra
2.454	older sister	staršaja sestra
2.455	younger sister	mladšaja sestra
2.456	sibling	brat/ sestra
2.458	twins	bliznecy
2.46	grandfather	deduška; ded
2.461	old man	starik
2.47	grandmother	babuška
2.471	old woman	staruxa (baba)
2.48	grandson	vnuk
2.49	granddaughter	vnučka
2.51	uncle	djadja
2.511	mother's brother	djadja; mamin brat
2.512	father's brother	djadja; otcov brat
2.52	aunt	(tetka) t ́otja
2.521	mother's sister	t ́otja; mamina sestra
2.522	father's sister	t ́otja; otcova sestra
2.53	nephew	plemjannik
2.54	niece	plemjannica
2.55	cousin	dvojurodnyj brat; dvojurodnaja sestra
2.56	ancestors	predki
2.57	descendants	potomki
2.61	father-in-law (of a man)	test
2.611	father-in-law (of a woman)	svëkor
2.62	mother-in-law (of a man)	tešča
2.621	mother-in-law (of a woman)	svekrov
2.63	son-in-law (of a man)	zjat
2.631	son-in-law (of a woman)	zjat
2.64	daughter-in-law (of a man)	snoxa; nevestka
2.641	daughter-in-law (of a woman)	žena syna
2.71	stepfather	otčim
2.72	stepmother	mačexa
2.73	stepson	pasynok
2.74	stepdaughter	padčerica
2.75	orphan	sirota
2.76	widow	vdova
2.77	widower	vdovec
2.81	relatives, kinsmen	rodnyje
2.82	family	sem ́ja
2.91	I	ja
2.92	you (singular)	ty
2.93	he/she/it	on; ona; ono
2.94	we	my
2.941	we (inclusive)	my
2.942	we (exclusive)	my
2.95	you (plural)	vy
2.96	they	oni
3.11	animal	životnoe; zver
3.12	male (adj)	samec
3.13	female (adj)	samka
3.15	livestock	skot
3.16	pasture	pastbišče
3.18	herdsman	pastux
3.19	stable, stall	xlev; stojlo
3.2	cattle (bovine)	skot
3.21	bull	byk
3.22	ox	vol
3.23	cow	korova
3.24	calf	telënok
3.25	sheep	ovca
3.26	ram	baran
3.28	ewe	ovca
3.29	lamb	jagnënok
3.32	boar	borov
3.34	sow	svin ́ja
3.35	pig	porosënok
3.36	goat	koza
3.37	he-goat	kozël
3.38	kid	kozlënok
3.41	horse (equine)	lošad ́(kon ́)
