entry_id	trans_english	Sanapaná_Dialect_Enlhet_Phonemic
1.1	world	neŋeleeywomakɬaʔ; as naaɬpop
1.21	earth, land	ɬoopʔaktek; amyep
1.212	earth=ground, soil	ɬoopʔaktek; naaɬpop
1.213	dust	aanek; akpaʔanma (ɬoopʔaktek)
1.214	mud	yelpaʔ
1.215	sand	ɬoopʔaktek; ɬoopʔaktek aŋkooʔ; ɬoopʔaktek aanek
1.22	mountain, hill	eŋkeɬe; mataymoŋ
1.222	cliff, precipice	--
1.23	plain, field	amyep
1.24	valley	alwaataʔ
1.25	island	--
1.26	mainland	--
1.27	shore	neyaawaʔatsamˀ; nekha waʔatsamˀ
1.28	cave	maaɬek; maaɬek aɬaŋkok; aʔaɬwa
1.31	water	yeŋmen; ayeŋmenek
1.32	sea	waʔatsamˀ
1.322	calm (of sea)	mepke yennamaam; akwanmaykekɬaʔ aɬkahayaamˀ; apwanmaykekɬa peyaamˀ
1.323	rough (of sea)	
1.324	foam	akyaʔmopoyˀ
1.329	ocean	waʔatsamˀ
1.33	lake	awaʔɬok; yaŋkomeɬ; saaŋa; paŋkaɬwa; waʔatsamˀ-aktoŋ
1.34	gulf, bay	
1.341	lagoon	awaʔɬok; yaŋkomeɬ; waʔatsamˀ-aktoŋ
1.342	reef	--
1.343	headland, point	--
1.35	wave	alyaʔyahayaamˀ
1.352	tide	--
1.353	lowtide	--
1.354	hightide	--
1.36	river, stream, brook	waʔatsamˀ; waʔatsamˀ-aktoŋ
1.362	whirlpool	akyeeyhaam yeŋmen
1.37	spring, well	yaamelket; akyeheŋwaykamɬa yeŋmen
1.38	swamp	awaʔɬok
1.39	waterfall	--
1.41	woods, forest	naɬmaʔ
1.42	tree (cf 08.600)	yaamet; yaamet awhak
1.43	wood	yaamet; yaamet ayseksek
1.44	stone, rock	mataymoŋ; yamʔaateɬ; apyawʔa
1.45	earthquake	akyawhaykamˀ ɬoopʔaktek
1.51	sky	neeten
1.52	sun	aknemˀ
1.53	moon	peltenˀ
1.54	star	apyawʔa
1.55	lightning	kelyenmayaamˀ; anaata
1.56	thunder	keɬteŋyaweyaamˀ
1.57	lightning (as striking)	aamay ˀpaŋkaʔaok kelyenmayaamˀ
1.58	storm	yaatepeyaamˀ; yaamsammaɬkaʔ; allektaaɬkamˀ
1.59	rainbow	pomhet
1.61	light (noun)	ayetsayʔoo ɬmaʔ; ayaapoŋmateem
1.62	darkness	haɬ aɬmaʔ; akyaʔteeskama ɬmaʔ; yaʔteeskama ɬmaʔ
1.63	shade, shadow	peskeska
1.64	dew	yaʔalya
1.71	air	ayennamaam
1.72	wind	aɬkahayaamˀ; peyaamˀ
1.73	cloud	yephopayˀ
1.74	fog	teeyamˀ-eeten
1.75	rain (noun)	akmaamayˀ
1.76	snow (noun)	--
1.77	ice	yeŋmen appok; peyaamˀ appok
1.78	weather	--
1.81	fire	taaɬa
1.82	flame (noun)	taaɬa aɬkok; alaywoom
1.83	smoke (noun)	eeten; akpaʔanma
1.84	ashes	taahap
1.841	embers	aateɬ
1.851	burn (vb trans)	neŋwatnama
1.852	burn (vb intrans)	akmeesma
1.86	light, kindle, ignite	neŋwatnama; neŋaapoŋmaatkeskama
1.861	extinguish	nensapoonkeskama; neŋmaskooskama
1.87	match (noun)	taaɬa aktek; taaɬeksawhommaɬkaʔ
1.88	firewood	aɬpoŋha
1.89	charcoal	aateɬ
2.1	person, human being	enɬet
2.21	man (vs. woman)	enɬet; kennaawoʔ
2.22	woman	kelwaanaʔa
2.23	male	kennaawoʔ
2.24	female	kelwaan
2.25	boy	sekaʔa; sekaʔ apketkok; waapaʔtaʔaok; apketkeetsek
