entry_id	trans_english	Selknam_Phonemic
1.1	world	
1.21	earth, land	harwn
1.212	earth=ground, soil	harwn
1.213	dust	te
1.214	mud	tˀàʔ
1.215	sand	šinn; teri
1.22	mountain, hill	kˀoyin
1.222	cliff, precipice	tˀàʔrṣn; ḳˀ-è-atrs
1.23	plain, field	pˀ-è-àri
1.24	valley	ḳˀàhr
1.25	island	tohrè
1.26	mainland	
1.27	shore	č-è-awr; tˀalʔ
1.28	cave	yahxi
1.31	water	čòhwn
1.32	sea	kˀohx
1.322	calm (of sea)	
1.323	rough (of sea)	
1.324	foam	wer
1.329	ocean	kˀohx
1.33	lake	čòhwn
1.34	gulf, bay	
1.341	lagoon	waynx
1.342	reef	hòʔy
1.343	headland, point	hòʔy
1.35	wave	weʔy
1.352	tide	
1.353	lowtide	hàpè
1.354	hightide	henwe
1.36	river, stream, brook	šikèʔn
1.362	whirlpool	kˀ-è-očerin
1.37	spring, well	ḳˀà
1.38	swamp	ḳˀàtn
1.39	waterfall	k-warn
1.41	woods, forest	hèrṣḳn
1.42	tree (cf 08.600)	winči
1.43	wood	winči
1.44	stone, rock	yahr
1.45	earthquake	
1.51	sky	šoʔn
1.52	sun	k-re-nn
1.53	moon	k-re-èn
1.54	star	telu
1.55	lightning	
1.56	thunder	ʔoneri
1.57	lightning (as striking)	axipè-
1.58	storm	t-è-awn; yuneèn
1.59	rainbow	čalpi
1.61	light (noun)	enuḳ
1.62	darkness	tˀèh
1.63	shade, shadow	
1.64	dew	
1.71	air	
1.72	wind	šinu
1.73	cloud	šoʔn ša
1.74	fog	pàhl ʔay
1.75	rain (noun)	čalwn
1.76	snow (noun)	xòhš
1.77	ice	ṣètr
1.78	weather	òlpi
1.81	fire	xàhwḳˀ-n
1.82	flame (noun)	čalwetn
1.83	smoke (noun)	teʔn
1.84	ashes	ʔ-è-apl
1.841	embers	kar
1.851	burn (vb trans)	m-tˀàʔtˀè
1.852	burn (vb intrans)	yelwetè; wòmke
1.86	light, kindle, ignite	ṣ-čèxè
1.861	extinguish	m-šoxè
1.87	match (noun)	
1.88	firewood	xàhwḳˀ
1.89	charcoal	kar
2.1	person, human being	čonn
2.21	man (vs. woman)	čonn
2.22	woman	naʔ
2.23	male	hoʔr
2.24	female	čèyuwn
2.25	boy	
2.251	young man (adolescent)	maʔrṣ
2.26	girl	
2.261	young woman (adolescent)	maʔrṣ-i
2.27	child	tˀelḳn
2.28	infant, baby	h-aʔwlčè-n
2.31	husband	ṣè
2.32	wife	naʔ
2.33	marry	košn
2.34	marriage, wedding	
2.341	divorce	
2.35	father	ʔàynn
2.36	mother	ahm
2.37	parents	ʔòn ʔàynn
2.38	married man	
2.39	married woman	
2.41	son	lalʔ
2.42	daughter	tˀamn
2.43	offspring (son or daughter)	nam
2.44	brother	ḳayin
2.444	older brother	ohrek
2.445	younger brother	aʔč
2.45	sister	nahḳn
2.454	older sister	ohrḳan
2.455	younger sister	aʔn
2.456	sibling	
2.458	twins	
2.46	grandfather	hòu
2.461	old man	tanuʔ
2.47	grandmother	hòn
2.471	old woman	tanuʔ apˀn
2.48	grandson	arèmḳ-r
2.49	granddaughter	arèmḳ-r
2.51	uncle	
2.511	mother's brother	čèʔ
2.512	father's brother	poʔtˀ
2.52	aunt	
2.521	mother's sister	poʔn
2.522	father's sister	ḳˀàn
2.53	nephew	ʔanenḳˀ
2.54	niece	ʔanxin
2.55	cousin	ḳayin
2.56	ancestors	howenn
2.57	descendants	nam
2.61	father-in-law (of a man)	ḳˀaunkenn
2.611	father-in-law (of a woman)	ḳˀaunkenn
2.62	mother-in-law (of a man)	arèmḳ-ṣ-n
2.621	mother-in-law (of a woman)	arèmḳ-ṣ-n
2.63	son-in-law (of a man)	ḳˀaunkenn
2.631	son-in-law (of a woman)	ḳˀaunkenn
2.64	daughter-in-law (of a man)	arèmḳ-ṣ-n
2.641	daughter-in-law (of a woman)	arèmḳ-ṣ-n
2.71	stepfather	
2.72	stepmother	
2.73	stepson	
2.74	stepdaughter	
2.75	orphan	harne lòʔtˀ
2.76	widow	m-arnuw
2.77	widower	m-arnuw
2.81	relatives, kinsmen	ḳàr-i
2.82	family	ḳàr-i
2.91	I	y-ah
2.92	you (singular)	m-ah
2.93	he/she/it	
2.94	we	y-ko-ah-y
2.941	we (inclusive)	
2.942	we (exclusive)	
2.95	you (plural)	m-ah-y
2.96	they	
3.11	animal	
3.12	male (adj)	
3.13	female (adj)	
3.15	livestock	šèmi en
3.16	pasture	tˀohr-n
3.18	herdsman	
3.19	stable, stall	
3.2	cattle (bovine)	
3.21	bull	
3.22	ox	
3.23	cow	
3.24	calf	
3.25	sheep	
3.26	ram	
3.28	ewe	
3.29	lamb	
3.32	boar	
3.34	sow	
3.35	pig	
3.36	goat	
3.37	he-goat	
3.38	kid	
3.41	horse (equine)	
3.42	stallion	
3.44	mare	
3.45	foal, colt	
3.46	ass, donkey	
3.47	mule	
3.5	fowl	čači
3.52	cock, rooster	
3.54	hen	
3.55	chicken	
3.56	goose	
3.57	duck	ḳàhn, tˀàʔri, haʔtˀu
3.58	nest	ʔàhwi
3.581	bird	čači
3.582	seagull	koleʔn
3.583	heron	inuḳ ḳˀoḳˀ
3.584	eagle	ḳehx
3.585	hawk	č-è-etl
3.586	vulture	kˀòyin-ti; ḳˀèl ḳayin
3.591	bat	oḳˀlštaʔn
3.592	parrot	kˀerpr
3.593	crow	kˀeleln; k-leʔw
3.594	dove	hèu-ṣàʔ-tˀe-n
3.596	owl	k-sankˀòhn; š-è-ètˀ(u); k-loṣtmn
3.61	dog	wisnʔ; šàhlki
3.614	rabbit	
3.62	cat	
3.622	opossum	
3.63	mouse, rat	k-yàtin
3.65	fish	tapl
3.652	fin (dorsal)	ḳˀeyin
3.653	fishscale	kapr-tè
3.654	gill	
3.655	shell	halpˀ
3.661	shark	k-samnḳˀ wisnʔ
3.662	porpoise, dolphin	
3.663	whale	očn
3.664	stingray	
3.665	freshwater eel	tˀahpi
3.71	wolf	
3.72	lion	
3.73	bear	
3.74	fox	wàhṣ
3.75	deer	
3.76	monkey	
3.77	elephant	
3.78	camel	
3.81	insect	
3.811	louse	haʔpn
3.812	nit (louse egg)	
3.813	flea	
3.814	centipede	
3.815	scorpion	
3.816	cockroach	k-horitm
3.817	ant	
3.818	spider	čin pax-tè-n
3.819	spider web	
3.82	bee	
3.821	beeswax	
3.822	beehive	
3.823	wasp	pòhsan
3.83	fly	
3.831	sandfly (midge), gnat	
3.832	mosquito	teʔl
3.84	worm	č-è-apl
3.85	snake	
