entry_id	trans_english	Serbo-Croatian_Phonemic
1.1	world	sv(ij)et
1.21	earth, land	zemlja
1.212	earth=ground, soil	zemlja, tlo
1.213	dust	prah, prašina
1.214	mud	blato
1.215	sand	p(ij)esak
1.22	mountain, hill	planina, brdo, brežuljak; br(ij)eg
1.222	cliff, precipice	litica, st(ij)ena
1.23	plain, field	ravan; ravnica; polje
1.24	valley	dolina, dol
1.25	island	ostrvo, otok
1.26	mainland	kopno, zemlja
1.27	shore	obala; žal; primorje
1.28	cave	pećina, jama
1.31	water	voda
1.32	sea	more
1.322	calm (of sea)	tih, miran
1.323	rough (of sea)	uzburkan
1.324	foam	p(j)ena
1.329	ocean	okean/ ocean
1.33	lake	jezero
1.34	gulf, bay	zaliv
1.341	lagoon	[laguna]
1.342	reef	greben
1.343	headland, point	rt
1.35	wave	talas/ val
1.352	tide	morska m(ij)ena
1.353	lowtide	oseka
1.354	hightide	plima
1.36	river, stream, brook	r(ij)eka
1.362	whirlpool	vrtlog, kovitlac, vir
1.37	spring, well	izvor; vrelo; studenac
1.38	swamp	močvara, bara
1.39	waterfall	vodopad, slap
1.41	woods, forest	šuma, gaj, gora
1.42	tree (cf 08.600)	drvo
1.43	wood	drvo
1.44	stone, rock	kamen; st(ij)ena
1.45	earthquake	zemljotres/ potres
1.51	sky	nebo
1.52	sun	sunce
1.53	moon	m(j)esec
1.54	star	zv(ij)ezda
1.55	lightning	munja
1.56	thunder	grmljavina, grom
1.57	lightning (as striking)	grom
1.58	storm	oluja, bura
1.59	rainbow	duga
1.61	light (noun)	sv(ij)etlo, sv(j)etlost
1.62	darkness	mrak, tama, tmina
1.63	shade, shadow	s(j)en, s(j)ena, s(j)enka; hladovina
1.64	dew	rosa
1.71	air	vazduh/ zrak
1.72	wind	v(j)etar
1.73	cloud	oblak
1.74	fog	magla
1.75	rain (noun)	kiša
1.76	snow (noun)	sn(ij)eg
1.77	ice	led
1.78	weather	vr(ij)eme
1.81	fire	vatra
1.82	flame (noun)	plamen
1.83	smoke (noun)	dim
1.84	ashes	pepeo
1.841	embers	žar, žeravica
1.851	burn (vb trans)	paliti, gor(j)eti
1.852	burn (vb intrans)	gor(j)eti
1.86	light, kindle, ignite	paliti
1.861	extinguish	gasiti
1.87	match (noun)	šibica/ žigica
1.88	firewood	drva
1.89	charcoal	drveni ugljen, drveni ugalj
2.1	person, human being	čov(j)ek; ljudsko biće; osoba
2.21	man (vs. woman)	muškarac, čov(j)ek
2.22	woman	žena
2.23	male	muški
2.24	female	ženski
2.25	boy	d(j)ečak
2.251	young man (adolescent)	mladić. momak
2.26	girl	d(je)vojčica
2.261	young woman (adolescent)	d(j)evojka
2.27	child	d(ij)ete
2.28	infant, baby	beba, odojče
2.31	husband	muž, suprug
2.32	wife	žena, supruga
2.33	marry	oženiti se; udati se
2.34	marriage, wedding	brak; ženidba; udaja; v(j)enčanje; svadba
2.341	divorce	razvesti se ~ razvoditi se; razvod
2.35	father	otac
2.36	mother	mati, majka
2.37	parents	roditelji
2.38	married man	oženjen čov(j)ek
2.39	married woman	udata žena
2.41	son	sin
2.42	daughter	kći
2.43	offspring (son or daughter)	d(ij)ete; izdanak; čedo
2.44	brother	brat
2.444	older brother	stariji brat
2.445	younger brother	mladji brat
2.45	sister	sestra
2.454	older sister	starija sestra
2.455	younger sister	mladja sestra
2.456	sibling	
2.458	twins	blizanci
2.46	grandfather	deda, djed
2.461	old man	starac
2.47	grandmother	baka, baba
2.471	old woman	starica, baba, baka
2.48	grandson	unuk
2.49	granddaughter	unuka
2.51	uncle	stric; ujak; tetak
2.511	mother's brother	ujak
2.512	father's brother	stric
2.52	aunt	tetka; strina; ujna
2.521	mother's sister	tetka
2.522	father's sister	tetka
2.53	nephew	nećak; sinovac, bratanac, bratić; sestrić
2.54	niece	nećaka, nećakinja; sinovica, bratanica; sestričina
2.55	cousin	brat od strica (brat od tetke, brat od ujaka) ~ sestra od strica (sestra od tetke, sestra od ujaka); bratučed ~ bratučeda; rodjak ~ rodjaka, rodjakinja, rodica
2.56	ancestors	preci
2.57	descendants	potomci
2.61	father-in-law (of a man)	tast/ punac
2.611	father-in-law (of a woman)	svekar
2.62	mother-in-law (of a man)	tašta/ punica
2.621	mother-in-law (of a woman)	svekrva
2.63	son-in-law (of a man)	zet
2.631	son-in-law (of a woman)	zet
2.64	daughter-in-law (of a man)	snaha, snaja
2.641	daughter-in-law (of a woman)	snaha, snaja
2.71	stepfather	očuh
2.72	stepmother	maćeha
2.73	stepson	pastorak
2.74	stepdaughter	pastorka
2.75	orphan	siroče
2.76	widow	udovica, udova
2.77	widower	udovac
2.81	relatives, kinsmen	rodjaci, rodbina
2.82	family	porodica/ obitelj
2.91	I	ja
2.92	you (singular)	ti
2.93	he/she/it	on/ ona/ ono
2.94	we	mi
2.941	we (inclusive)	mi
2.942	we (exclusive)	mi
2.95	you (plural)	vi
2.96	they	oni/ one/ ona
3.11	animal	životinja; zv(ij)er
3.12	male (adj)	muški
3.13	female (adj)	ženski
3.15	livestock	stoka; marva
3.16	pasture	pasti
3.18	herdsman	pastir; čoban
3.19	stable, stall	staja; štala
3.2	cattle (bovine)	goveda, krave
3.21	bull	bik
3.22	ox	vo/ vol
3.23	cow	krava
3.24	calf	tele
3.25	sheep	ovca
3.26	ram	ovan
3.28	ewe	ovca
3.29	lamb	jagnje
3.32	boar	vepar, nerast
3.34	sow	krmača, svinja
3.35	pig	svinja; prase
3.36	goat	koza
3.37	he-goat	jarac
3.38	kid	jare; kozlić
3.41	horse (equine)	konj
3.42	stallion	ždr(ij)ebac
3.44	mare	kobila
3.45	foal, colt	ždr(ij)ebe
3.46	ass, donkey	magarac, osao
3.47	mule	mula; mazga
3.5	fowl	živina, perad; ptica
3.52	cock, rooster	p(ij)etao, kokot
3.54	hen	kokoška, kokoš
3.55	chicken	kokoška, kokoš; pile
3.56	goose	guska
3.57	duck	patka, plovka
3.58	nest	gn(ij)ezdo
3.581	bird	ptica
3.582	seagull	galeb
3.583	heron	čaplja
3.584	eagle	orao
3.585	hawk	jastreb
3.586	vulture	strvinar, lešinar
3.591	bat	sl(ij)epi miš, šišmiš
3.592	parrot	papagaj
3.593	crow	vrana
3.594	dove	golub
3.596	owl	sova, buljina
3.61	dog	pas
3.614	rabbit	zec
3.62	cat	mačka
3.622	opossum	[oposum]
3.63	mouse, rat	miš; pacov/ štakor
3.65	fish	riba
3.652	fin (dorsal)	peraje (ledjno)
3.653	fishscale	krljušt
3.654	gill	škrga
3.655	shell	školjka
3.661	shark	ajkula, morski pas
3.662	porpoise, dolphin	delfin
3.663	whale	kit
3.664	stingray	[raja]
3.665	freshwater eel	slatkovodna jegulja
3.71	wolf	vuk
3.72	lion	lav
3.73	bear	medv(j)ed
3.74	fox	lisica
3.75	deer	srna; jelen
3.76	monkey	majmun
3.77	elephant	slon
3.78	camel	kamila, deva, grbadeva
3.81	insect	insekt
3.811	louse	vaš, uš, vaška
3.812	nit (louse egg)	gnjida
3.813	flea	buha, buva
3.814	centipede	stonoga
3.815	scorpion	škorpija
3.816	cockroach	bubašvaba
3.817	ant	mrav
3.818	spider	pauk
3.819	spider web	paučina
3.82	bee	pčela
3.821	beeswax	saće
3.822	beehive	košnica
3.823	wasp	osa
3.83	fly	muha, muva
3.831	sandfly (midge), gnat	mušica p(j)eskara; mušica
3.832	mosquito	komarac
3.84	worm	crv
3.85	snake	zmija
3.91	firefly	svitac
3.92	butterfly	leptir
3.93	grasshopper	skakavac
3.94	snail	puž
3.95	frog	žaba
3.96	lizard	gušter
3.97	crocodile, alligator	krokodil; aligator
3.98	turtle	kornjača
4.11	body	t(ij)elo
4.12	skin, hide	koža
4.13	flesh	meso
4.14	hair (head)	kosa; dlaka, vlas
4.142	beard	brada
4.144	body hair	dlaka
4.145	pubic hair	dlaka
4.146	dandruff	perut
4.15	blood	krv
4.151	vein, artery	vena
4.16	bone	kost
4.162	rib	rebro
4.17	horn	rog
4.18	tail	rep
4.19	back	ledja
4.191	spine	kičma
4.2	head	glava
4.201	side of head, temple	slepoočnica/ sljepoočnica/ sljepoočica
4.202	skull	lobanja
4.203	brain	mozak
4.204	face	lice
4.205	forehead	čelo
4.207	jaw	vilica, čeljust
4.208	cheek	obraz
4.209	chin	podbradak, brada
4.21	eye	oko
4.212	eyebrow	obrva
4.213	eyelid	kapak
4.214	eyelash	trepavica
4.215	blink	trepnuti; trepet
4.22	ear	uho, uvo
4.221	earlobe	
4.222	earwax	ušna mast, ušni vosak
4.23	nose	nos
4.231	nostril	nozdrva
4.232	mucus (nasal)	sluz, bale, slina
4.24	mouth	usta
4.241	beak	kljun
4.25	lip	usna
4.26	tongue	jezik
4.27	tooth	zub
4.271	gums	desni
4.272	molartooth	umnjak
4.28	neck	vrat (šija)
4.281	nape of neck	potiljak
4.29	throat	grlo
4.3	shoulder	rame
4.301	shoulderblade	lopatica
4.302	collarbone	ključnjača, ključna kost
4.31	arm	ruka
4.312	armpit	pazuho
4.32	elbow	lakat
4.321	wrist	ručni zglob; ručni gležanj
4.33	hand	ruka, šaka
4.331	palm of hand	dlan
4.34	finger	prst
4.342	thumb	palac
4.344	fingernail	nokat
4.345	claw	kandža
4.35	leg	noga
4.351	thigh	butina, but, stegno, bedro
4.352	calf of leg	list
4.36	knee	koleno/ koljeno
4.37	foot	stopalo
4.371	ankle	gležanj
4.372	heel	peta
4.374	footprint	otisak stopala
4.38	toe	prst
4.392	wing	krilo
4.393	feather	pero
4.4	chest	prsa; grudi
4.41	breast (of woman)	sisa, dojka, grudi
4.412	nipple, teat	bradavica
4.42	udder	vime
4.43	navel	pupak
4.44	heart	srce
4.441	lung	pluća
4.45	liver	jetra; džigerica
4.451	kidney	bubreg
4.452	spleen	slezina
4.46	stomach	trbuh, stomak; želudac
4.461	intestines, guts	cr(ij)evo
4.462	waist	struk
4.463	hip	kuk
4.464	buttocks	zadnjica, tur, dupe, guz
4.47	womb	materica
4.49	testicle	mudo, jaje
4.492	penis	[penis], kurac
4.51	breathe, breath	disati
4.52	yawn, gape	z(ij)evati
4.521	hiccough	štucati
4.53	cough	kašljati
4.54	sneeze	kihati
4.55	perspire	znojiti se
4.56	spit	pljuvati
4.57	vomit	povraćati, bljuvati
4.58	bite	gristi, ujesti
4.59	lick	lizati
4.591	dribble	balaviti
4.61	sleep	spavati
4.612	snore	hrkati
4.62	dream	sanjati
4.63	wake up	(pro)buditi se; probuditi
4.64	break wind	prdnuti
4.65	urinate	mokriti, pišati
4.66	defecate	srati
4.67	have sexual intercourse	jebati; jebati se
4.68	shiver	drhtati
4.69	bathe	kupati; kupati se
4.71	beget (of father)	
4.72	born (to be)	roditi se
4.73	pregnant	trudna, bremenita, noseća
4.732	conceive	začeti
4.74	live, living, life	živ(j)eti; živ; život
4.75	die, dead	umr(ij)eti; mrtav
4.751	drowned	udavljen, potonuo
4.76	kill	ubiti
4.77	corpse	leš, mrtvac
4.78	bury (the dead)	pokopati; sahraniti
4.79	grave, tomb	grob
4.81	strong, mighty, powerful	jak, snažan, silan, moćan
4.82	weak	slab
4.83	well, health	zdrav, zdravlje
4.84	sick, sickness	bolestan; nemoćan; bolest, nemoć
4.841	fever	groznica
4.842	goiter	guša, gušavost, struma
4.843	cold (catarrh)	prehlada
4.85	wound, sore	rana
4.852	bruise	modrica
4.853	swelling	oteklina, otok
4.854	itch	svrab
4.855	blister	plih, plik
4.856	boil (noun)	čir
4.857	pus	gnoj
4.858	scar	ožiljak
4.86	cure, heal	l(ij)ečiti
4.87	physician	lekar/ ljekar/ liječnik, doktor
4.88	medicine, drug	l(ij)ek
4.89	poison	otrov
4.91	tired, weary	umoran
4.912	rest	odmoriti se
4.92	lazy	lenj/ lijen
4.93	bald	ćelav
4.94	lame	hrom, šepav
4.95	deaf	gluv/ gluh
4.96	mute	n(ij)em
4.97	blind	sl(ij)ep
4.98	intoxicated	pijan
4.99	naked, bare	go/ gol, nag
5.11	eat	jesti
5.12	food	hrana; jelo
5.121	cooked	kuvan/ kuhan
5.122	raw	sirov
5.123	ripe	zreo
5.124	green, unripe	zelen; nezreo
5.125	rotten	truo, gnjio; pokvaren
5.13	drink	piti
5.14	hunger	glad
5.141	famine	glad
5.15	thirst	žedj
5.16	suck	sisati
5.18	chew	žvakati
5.181	swallow	gutati
5.19	choke	daviti, gušiti; daviti se, gušiti se
5.21	cook	kuvati/ kuhati
5.22	boil (vb)	variti, kuvati/ kuhati
5.23	roast, fry	peći; pržiti
5.24	bake	peći
5.25	oven	peć, rerna, pećnica
5.26	pot, cooking vessel	lonac, šerpa
5.27	kettle	kotao
5.28	pan	tava; tiganj; šerpa
5.31	dish	zd(j)ela; tanjir/ tanjur
5.32	plate	tanjir/ tanjur
5.33	bowl	zd(j)ela
5.34	pitcher, jug	bokal, vrč, krčag
5.35	cup, drinking vessel	šolja/ šalica; čaša
5.36	saucer	tanjirić/ tanjurić, tacna, zd(j)elica
5.37	spoon	kašika/ žlica
5.38	knife	nož
5.39	fork	viljuška/ vilica
