entry_id	trans_english	Shipibo-Conibo_Phonemic
1.1	world	nɨtɨ
1.21	earth, land	ma-i
1.212	earth=ground, soil	
1.213	dust	poto; mai-poto
1.214	mud	čawa-ti
1.215	sand	ma-ši
1.22	mountain, hill	ma-nã; mato; animanã
1.222	cliff, precipice	kɨ-to
1.23	plain, field	ṣ̌aβa
1.24	valley	
1.25	island	nasi
1.26	mainland	
1.27	shore	maši
1.28	cave	kini; manã-kini
1.31	water	hɨnɨ; õpaṣ̌; na-; nɨ-
1.32	sea	
1.322	calm (of sea)	
1.323	rough (of sea)	
1.324	foam	βakoṣ̌; βakoṣ̌-ati; makaš
1.329	ocean	aniparo
1.33	lake	iã; hɨnɨ
1.34	gulf, bay	
1.341	lagoon	iã; hɨnɨ
1.342	reef	
1.343	headland, point	
1.35	wave	βɨčõ
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	paro; wɨã; βai
1.362	whirlpool	samã
1.37	spring, well	čãtomari
1.38	swamp	
1.39	waterfall	hɨnɨ maanai
1.41	woods, forest	maniš; βõko; nii
1.42	tree (cf 08.600)	hiwi
1.43	wood	hiwi
1.44	stone, rock	makã; maṣ̌aṣ̌
1.45	earthquake	niwã
1.51	sky	nai
1.52	sun	βari
1.53	moon	oṣ̌ɨ
1.54	star	wištĩ
1.55	lightning	kana
1.56	thunder	ririiti; tirĩ iti
1.57	lightning (as striking)	kana
1.58	storm	niwɨ ɨwa
1.59	rainbow	čirapa; nawã βai
1.61	light (noun)	tɨnati; tiriti
1.62	darkness	yamɨ
1.63	shade, shadow	ota; βɨi; kaya; wɨa
1.64	dew	niβi
1.71	air	niwɨ; manaõ
1.72	wind	niwɨ; niwɨaβa; niwɨ̃ ɨwa
1.73	cloud	koĩ; čoma
1.74	fog	wišnĩ
1.75	rain (noun)	oi βɨti
1.76	snow (noun)	oiṣ̌ɨwa
1.77	ice	[iiro]
1.78	weather	
1.81	fire	čii
1.82	flame (noun)	
1.83	smoke (noun)	koĩ; čii-koĩ
1.84	ashes	čii-mapo
1.841	embers	c̷isto
1.851	burn (vb trans)	mɨnoti; mɨšoati; tiriti
1.852	burn (vb intrans)	kɨtɨti; ṣ̌anati; tiriti
1.86	light, kindle, ignite	
1.861	extinguish	nokaa-ti; noka-ti
1.87	match (noun)	[hosporo]
1.88	firewood	karo
1.89	charcoal	c̷istɨ
2.1	person, human being	honi
2.21	man (vs. woman)	βɨ̃βo
2.22	woman	aĩβo
2.23	male	βɨ̃βo; βɨnɨ
2.24	female	
2.25	boy	βakɨ-βɨ̃βo; ranõ
2.251	young man (adolescent)	yosi; βakɨ-ranõ
2.26	girl	aĩβo-βakɨ; čiβa; čimĩ
2.261	young woman (adolescent)	ṣ̌õtako
2.27	child	βakɨ; βakɨ-šoko; čiβa
2.28	infant, baby	βakɨ-šoko
2.31	husband	βɨnɨ
2.32	wife	awĩ
2.33	marry	wano-ti; βɨno-ti
2.34	marriage, wedding	wanoti
2.341	divorce	
2.35	father	papa
2.36	mother	tita
2.37	parents	aniβo; rarɨβo
2.38	married man	βɨnoya
2.39	married woman	
2.41	son	βakɨ
2.42	daughter	ini
2.43	offspring (son or daughter)	βakɨ
2.44	brother	
2.444	older brother	hoči
2.445	younger brother	čio
2.45	sister	
2.454	older sister	čipi
2.455	younger sister	
2.456	sibling	poi
2.458	twins	
2.46	grandfather	papa-yosi; yosi-šoko
2.461	old man	yosi
2.47	grandmother	tita-yo-ṣ̌ã
2.471	old woman	yo-ṣ̌ã; ṣ̌ano
2.48	grandson	βaβa
2.49	granddaughter	βaβa
2.51	uncle	koka; epa
2.511	mother's brother	koka
2.512	father's brother	
2.52	aunt	waa-ta; waa; yaya; nači
2.521	mother's sister	
2.522	father's sister	
2.53	nephew	koko
2.54	niece	ini; noṣ̌a; pia
2.55	cousin	rãčo; hõčo; poi
2.56	ancestors	moaβo; yosi; rɨkɨ̃
2.57	descendants	
2.61	father-in-law (of a man)	koka; rayos
2.611	father-in-law (of a woman)	
2.62	mother-in-law (of a man)	rayos
2.621	mother-in-law (of a woman)	
2.63	son-in-law (of a man)	rayos
2.631	son-in-law (of a woman)	
2.64	daughter-in-law (of a man)	βaβã ɨwa
2.641	daughter-in-law (of a woman)	
2.71	stepfather	ɨpa; onãpapa
2.72	stepmother	onã-tita
2.73	stepson	noṣ̌a
2.74	stepdaughter	ini
2.75	orphan	kačiana
2.76	widow	βɨnomaata aĩβo
2.77	widower	kačiãti
2.81	relatives, kinsmen	kaiβo
2.82	family	
2.91	I	ɨ-a
2.92	you (singular)	mi-a
2.93	he/she/it	ha; nato
2.94	we	no-; noa
2.941	we (inclusive)	
2.942	we (exclusive)	
2.95	you (plural)	mato
2.96	they	hato
3.11	animal	yoina
3.12	male (adj)	
3.13	female (adj)	
3.15	livestock	
3.16	pasture	
3.18	herdsman	
3.19	stable, stall	
3.2	cattle (bovine)	[waka]
3.21	bull	[waka]-βɨnɨ
3.22	ox	
3.23	cow	
3.24	calf	[waka]-βakɨ
3.25	sheep	[oβiha]
3.26	ram	
3.28	ewe	
3.29	lamb	[karaniro]-βakɨ
3.32	boar	
3.34	sow	
3.35	pig	[koči]
3.36	goat	[čiβo]
3.37	he-goat	[čiβo]
3.38	kid	
3.41	horse (equine)	[kabayo]
3.42	stallion	
3.44	mare	
3.45	foal, colt	
3.46	ass, donkey	[boro]
3.47	mule	
3.5	fowl	isa; hawɨki
3.52	cock, rooster	atapa; atapa-βɨnɨ
3.54	hen	atapa; atapaawĩ
3.55	chicken	atapa
3.56	goose	[kãso]
3.57	duck	nonõ
3.58	nest	naa
3.581	bird	isa
3.582	seagull	awai
3.583	heron	mãṣ̌ã
3.584	eagle	
3.585	hawk	tɨtɨ
3.586	vulture	ṣ̌ɨtɨ
3.591	bat	kaši
3.592	parrot	tomi; βawa
3.593	crow	
3.594	dove	noβɨṣ̌; ṣ̌oto
3.596	owl	popo
3.61	dog	očiti; hɨma-očiti
3.614	rabbit	[koniho]
3.62	cat	mišito
3.622	opossum	
3.63	mouse, rat	ṣ̌oya; maka-ṣ̌oya
3.65	fish	yapa; piti
3.652	fin (dorsal)	hĩpã; kačã; kãčã
3.653	fishscale	ṣ̌aka; raṣ̌kã
3.654	gill	
3.655	shell	ṣ̌aka
3.661	shark	
3.662	porpoise, dolphin	
3.663	whale	
3.664	stingray	iwi
3.665	freshwater eel	koni; konĩ ɨwa
3.71	wolf	
3.72	lion	[riõ]
3.73	bear	
3.74	fox	maṣ̌o
3.75	deer	čaṣ̌o
3.76	monkey	šoni
3.77	elephant	irihãti
3.78	camel	[kamičo]
3.81	insect	
3.811	louse	ia
3.812	nit (louse egg)	ia-hɨṣ̌ɨ
3.813	flea	iki
3.814	centipede	ṣ̌ako
3.815	scorpion	niβo
3.816	cockroach	
3.817	ant	βona
3.818	spider	yotã
3.819	spider web	wasnõ
3.82	bee	βona; ṣ̌ara
3.821	beeswax	βoi
3.822	beehive	βoya-βona
3.823	wasp	βina
3.83	fly	hošinaka
3.831	sandfly (midge), gnat	naka; sɨβɨ
3.832	mosquito	βii
3.84	worm	ṣ̌ɨna; noĩ
3.85	snake	rono
3.91	firefly	kõkiš; poitɨrɨ
3.92	butterfly	pɨ̃pɨ̃
3.93	grasshopper	
3.94	snail	
3.95	frog	tokoro; toa
3.96	lizard	ṣ̌ãβo; kapɨ
3.97	crocodile, alligator	kapɨ
3.98	turtle	ṣ̌awɨ
4.11	body	yora
