entry_id	trans_english	Slavonic_Old_Church_Phonemic
1.1	world	mirŭ; světŭ
1.21	earth, land	zemlja
1.212	earth=ground, soil	
1.213	dust	prachŭ
1.214	mud	brĭnĭje
1.215	sand	pěsŭkŭ
1.22	mountain, hill	gora; chlŭmŭ
1.222	cliff, precipice	
1.23	plain, field	město ravĭno; polje
1.24	valley	dĭbrĭ
1.25	island	otokŭ; ostrovŭ
1.26	mainland	
1.27	shore	brěgŭ; krajĭ
1.28	cave	
1.31	water	voda
1.32	sea	morje
1.322	calm (of sea)	
1.323	rough (of sea)	
1.324	foam	
1.329	ocean	
1.33	lake	jezero
1.34	gulf, bay	
1.341	lagoon	
1.342	reef	
1.343	headland, point	
1.35	wave	vlŭna; valŭ
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	rěka; tokŭ; potokŭ
1.362	whirlpool	
1.37	spring, well	istočĭnikŭ; studenĭcĭ; kladęzi
1.38	swamp	
1.39	waterfall	
1.41	woods, forest	lěsŭ
1.42	tree (cf 08.600)	drěvo; dąbŭ
1.43	wood	drŭva
1.44	stone, rock	kamy; skala
1.45	earthquake	
1.51	sky	nebo
1.52	sun	slŭnĭce
1.53	moon	luna; měsęcĭ
1.54	star	zvězda
1.55	lightning	mlŭnĭjĭ; bliscanije
1.56	thunder	gromŭ
1.57	lightning (as striking)	
1.58	storm	
1.59	rainbow	
1.61	light (noun)	světŭ
1.62	darkness	tĭma; mrakŭ
1.63	shade, shadow	sěnĭ; štěnĭ
1.64	dew	
1.71	air	vŭzduchŭ
1.72	wind	větrŭ
1.73	cloud	oblakŭ
1.74	fog	mĭgla
1.75	rain (noun)	dŭždĭ
1.76	snow (noun)	sněgŭ
1.77	ice	ledŭ
1.78	weather	
1.81	fire	ognĭ
1.82	flame (noun)	plamy
1.83	smoke (noun)	dymǎ
1.84	ashes	popelŭ; pepelŭ
1.841	embers	
1.851	burn (vb trans)	žešti
1.852	burn (vb intrans)	gorěti
1.86	light, kindle, ignite	vŭžešti
1.861	extinguish	
1.87	match (noun)	
1.88	firewood	
1.89	charcoal	
2.1	person, human being	člověkŭ
2.21	man (vs. woman)	mąžĭ
2.22	woman	žena
2.23	male	mąžiskŭ
2.24	female	ženiskŭ
2.25	boy	otrokŭ
2.251	young man (adolescent)	
2.26	girl	děvica; otrokovica
2.261	young woman (adolescent)	
2.27	child	dětĭ
2.28	infant, baby	otročę; mladĭnĭcĭ
2.31	husband	mąžĭ; sąprągŭ
2.32	wife	žena; sąprągŭ
2.33	marry	(o)ženiti sę; posagati
2.34	marriage, wedding	brakŭ; malŭženĭstvo
2.341	divorce	
2.35	father	otĭcĭ
2.36	mother	mati
2.37	parents	roditeli
2.38	married man	
2.39	married woman	
2.41	son	synŭ
2.42	daughter	dŭšti
2.43	offspring (son or daughter)	
2.44	brother	bratrŭ; bratŭ
2.444	older brother	
2.445	younger brother	
2.45	sister	sestra
2.454	older sister	
2.455	younger sister	
2.456	sibling	
2.458	twins	
2.46	grandfather	dědŭ
2.461	old man	
2.47	grandmother	baba
2.471	old woman	
2.48	grandson	vŭnukŭ
2.49	granddaughter	vŭnuka
2.51	uncle	stryjĭ; ujĭ
2.511	mother's brother	
2.512	father's brother	
2.52	aunt	teta
2.521	mother's sister	
2.522	father's sister	
2.53	nephew	synovĭ; synovĭcĭ; netĭjĭ
2.54	niece	synovica; nestera
2.55	cousin	bratu-čędŭ; sestričištĭ
2.56	ancestors	
2.57	descendants	
2.61	father-in-law (of a man)	svekrŭ; tĭstĭ
2.611	father-in-law (of a woman)	
