entry_id	trans_english	Sui_Phonemic
1.1	world	te.3 ʔbən.1; si.1 kaj.1
1.21	earth, land	ta.5 ti.6
1.212	earth=ground, soil	nda:i.5; hum.5
1.213	dust	wan.1 con.2
1.214	mud	ʔboŋ.5
1.215	sand	khin.3; nde.1
1.22	mountain, hill	nu.2; pja.1
1.222	cliff, precipice	khan.5 ćhin.3; khan.5 pja.1
1.23	plain, field	nda:i.5 pjeŋ.2; ta.5 pjeŋ.2
1.24	valley	cum.2 nu.2; qhoi.3 nu.2
1.25	island	ta.5 ti.6
1.26	mainland	faŋ.5 ʔnja.1
1.27	shore	qa:m.1
1.28	cave	nam.3
1.31	water	ha:i.3
1.32	sea	pjeŋ.2
1.322	calm (of sea)	fuk.8
1.323	rough (of sea)	ha:i.3
1.324	foam	fu.4; ndam.1
1.329	ocean	poŋ.4
1.33	lake	qam.4 nam.3
1.34	gulf, bay	ndja:p.7 nam.3
1.341	lagoon	ʔnja.1; kui.3; ʔnja:ŋ.1
1.342	reef	nam.3 cjap.7 cjun.2
1.343	headland, point	ʔbən.5 nam.3; ʔbən.5
1.35	wave	ʔdoŋ.1
1.352	tide	mai.4
1.353	lowtide	mai.4; quŋ.2 mai.4
1.354	hightide	tin.2
1.36	river, stream, brook	tin.2 kon.3; tin.2 nde.1
1.362	whirlpool	ʔbən.1
1.37	spring, well	nda.1 wan.1
1.38	swamp	njen.2
1.39	waterfall	zət.7
1.41	woods, forest	ʔbən.1 la:p.7; ʔba.3 la:p.7
1.42	tree (cf 08.600)	qum.4 ʔńa.3
1.43	wood	qum.4 ʔńa.3
1.44	stone, rock	wa.3 ljap.7; lap.7 wa.3
1.45	earthquake	kha:ŋ.5 fən.1 la:u.4
1.51	sky	ka.1 cje.1 nam.3
1.52	sun	śa:ŋ.1
1.53	moon	ndiŋ.5
1.54	star	ʔdjam.5; tak.7 tau.1; ta.5 tau.1
1.55	lightning	nam.3 ńi.2
1.56	thunder	lo.5
1.57	lightning (as striking)	lom.1; kha:ŋ.5
1.58	storm	fa.3
1.59	rainbow	mon.1
1.61	light (noun)	fən.1
1.62	darkness	ʔnui.1
1.63	shade, shadow	ʔnui.1 śu.1
1.64	dew	tin.2 śi.3
1.71	air	wan.1
1.72	wind	wi.1
1.73	cloud	ma.2 wi.1
1.74	fog	kwan.2
1.75	rain (noun)	wuk.7; uk.7 ʔniŋ.1
1.76	snow (noun)	ta:u.3; sut.7
1.77	ice	ta:u.3; sut.7
1.78	weather	sa:u.5 wi.1; lin.1 wi.1; ʔnjok.7 wi.1
1.81	fire	ʔdap.7 wi.1
1.82	flame (noun)	ja:ŋ.4 ho.6; ho.6 cha:i.4
1.83	smoke (noun)	ndjət.7
1.84	ashes	tha:n.1
1.841	embers	zən.1; ʔai.3
1.851	burn (vb trans)	zən.1 mba:n.1; ʔai.3 mba:n.1; mba:n.1
1.852	burn (vb intrans)	ni.4 ʔbja:k.7
1.86	light, kindle, ignite	mba:n.1
1.861	extinguish	ni.4; ʔbja:k.7
1.87	match (noun)	la:k.8 mba:n.1; la:k.8 ti.3 mba:n.1
1.88	firewood	la:k.8 mba:n.1
1.89	charcoal	la:k.8 ʔbja:k.7
2.1	person, human being	la:k.8 ti.3
2.21	man (vs. woman)	la:k.8 ka:u.3 fja.3; nu.4 ti.3
2.22	woman	ʔɣe.1; ʔai.3 mba:n.1
2.23	male	śa.3; ni.4 ʔbja:k.7
2.24	female	ju.5 śa.1; tu.3 ʔa:u.1
2.25	boy	ju.5 śa.3
2.251	young man (adolescent)	li.4 fən.3; phu:t.7
2.26	girl	pu.4
2.261	young woman (adolescent)	ni.4
2.27	child	pu.4 ni.4
2.28	infant, baby	mba:n.1; ʔa;.3 mba:n.1
2.31	husband	ni.4; ni.4 ʔbja:k.7
2.32	wife	la:k.8
2.33	marry	la:k.8 ʔbja:k.7
2.34	marriage, wedding	la:k.8; zən.1 ti.6 lən.2
2.341	divorce	fa:i.4 nu.4
2.35	father	fa:i.4
2.36	mother	nu.4
2.37	parents	fe.2 nu.4
2.38	married man	fe.2
2.39	married woman	nu.4
2.41	son	fa:i.4 nu.4 fe.2 nu.4
2.42	daughter	la:k.8 qa.3 piŋ.5
2.43	offspring (son or daughter)	qoŋ.5
2.44	brother	ʔai.3 qa:u.5 mbe.1; ʔai.3 će.5; ʔai.3 la:u.4
2.444	older brother	ja.4
2.445	younger brother	ja.4
2.45	sister	ha:n.1
2.454	older sister	ha:n.1 hek.7
2.455	younger sister	pu.4 ti.3; pu.4 la:u.4; luŋ.2; cu.2
2.456	sibling	luŋ.2
2.458	twins	pu.4 la:u.4; luŋ.2
2.46	grandfather	pa.3; ni.4 ti.3
2.461	old man	pa.3; fai.6
2.47	grandmother	pa.3
2.471	old woman	la:k.8 mba:n.1 fa:i.4; la:k.8 mba:n.1 nu.4
2.48	grandson	la:k.8 ʔbja:k.7 fa:i.4; la:k.8 ʔbja:k.7 nu.4
2.49	granddaughter	fa:i.4 nu.4 pja:u.6; fe.2 nu.4 pja:u.6
2.51	uncle	qoŋ.5 kon.5
2.511	mother's brother	zən.1 ti.6 lən.2
2.512	father's brother	qoŋ.5 ta.1
2.52	aunt	pu.4
2.521	mother's sister	ni.4 te.1
2.522	father's sister	ni.4
2.53	nephew	ha:u.4; la:k.8 ha:u.4
2.54	niece	ha:u.4; la:k.8 ha:u.4
2.55	cousin	śa.3 la:k.8
2.56	ancestors	śa.3 la:k.8
2.57	descendants	pu.4 lən.2
2.61	father-in-law (of a man)	ni.4 lən.2
2.611	father-in-law (of a woman)	la:k.8 ʔum.3; la:k.8 kuk.7
2.62	mother-in-law (of a man)	la:k.8 ʔbja:k.7 ʔum.3
