entry_id	trans_english	Thai_Dialect_Korat_Phonemic
1.1	world	lo:k.4
1.21	earth, land	phɛn.3 din.1
1.212	earth=ground, soil	din.1
1.213	dust	fun.3
1.214	mud	khi:.3 kho:n.2
1.215	sand	sa:i.2
1.22	mountain, hill	phu:.2 khau.1
1.222	cliff, precipice	hua.1 pluak.3
1.23	plain, field	na:.3 pha:.1
1.24	valley	thoŋ.4
1.25	island	hup.5 khau.1
1.26	mainland	kɔ.5
1.27	shore	phɛn.3 din.1
1.28	cave	ta.5 liŋ.3
1.31	water	tham.4 (tham.3)
1.32	sea	na:m.4
1.322	calm (of sea)	tha.4 le:.2
1.323	rough (of sea)	khlɨ:n.4
1.324	foam	khlɨ:n.4
1.329	ocean	fɔ:ŋ.2
1.33	lake	tha.4 le:.2
1.34	gulf, bay	tha.4 le:.2 sa:p.3
1.341	lagoon	sa.5 na:m.4
1.342	reef	ʔa:u.3
1.343	headland, point	tha.4 le:.2
1.35	wave	hin.1
1.352	tide	lɛ:m.1
1.353	lowtide	khlɨ:n.4
1.354	hightide	na:m.4 lai.1
1.36	river, stream, brook	na:m.4 bok.5
1.362	whirlpool	na:m.4 khɨn.3
1.37	spring, well	huai.3
1.38	swamp	na:m.4 mun.1
1.39	waterfall	na:m.4 phu.4
1.41	woods, forest	nɔ:ŋ.1 na:m.4
1.42	tree (cf 08.600)	na:m.4 tok.5
1.43	wood	pa:.3
1.44	stone, rock	ton.4 mai.4
1.45	earthquake	mai.4
1.51	sky	hin.1
1.52	sun	kru:at.3
1.53	moon	pɛ:n.3 din.1 wai.1
1.54	star	tho:ŋ.4 fa:.4
1.55	lightning	ta.5 wan.2
1.56	thunder	dɨ:an.1 ca:u.4
1.57	lightning (as striking)	da:u.1
1.58	storm	fa:.4 lɛ:p.4
1.59	rainbow	fa:.4 lɔ:ŋ.4
1.61	light (noun)	fa:.4 lɔ:ŋ.4
1.62	darkness	fa:.4 pha:.3
1.63	shade, shadow	pha:.2 ju.4
1.64	dew	luŋ.4 kin.1 na:m.4
1.71	air	dɛ:t.3
1.72	wind	mɨ:t.4
1.73	cloud	ŋau.2
1.74	fog	na:m.4 kha:ŋ.4
1.75	rain (noun)	ʔa:.1 ka:t.3
1.76	snow (noun)	lom.2
1.77	ice	me:k.4
1.78	weather	mɔ:k.3
1.81	fire	fon.1
1.82	flame (noun)	hi.5 ma.4
1.83	smoke (noun)	na:m.4 khɛ:ŋ.1
1.84	ashes	lu:k.4 hep.5
1.841	embers	ʔa:.1 ka:t.3
1.851	burn (vb trans)	fai.2
1.852	burn (vb intrans)	pe:u.1 fai.2
1.86	light, kindle, ignite	khuan.2
1.861	extinguish	khi:.4 thau.4 (khi:.3 thau.3)
1.87	match (noun)	tha:n.3 fai.2
1.88	firewood	phau.1
1.89	charcoal	luk.4; mai.3
2.1	person, human being	kɔ:.3 fai.2
2.21	man (vs. woman)	dap.5
2.22	woman	mai.4 khi:t.3 fai.2
2.23	male	fɨ:n.2
2.24	female	tha:n.3
2.25	boy	khon.2
2.251	young man (adolescent)	phu:.3 cha:i.2
2.26	girl	phu:.3 jiŋ.1
2.261	young woman (adolescent)	phu:.3 cha:i.2
2.27	child	phu:.3 jiŋ.1
2.28	infant, baby	dek.5 nɔ:i.4
2.31	husband	num.3
2.32	wife	dek.5 nɔ:i.4
2.33	marry	sa:u.1
2.34	marriage, wedding	dek.5 nɔ:i.4
2.341	divorce	dek.5 nɔ:i.4
2.35	father	phua.1
2.36	mother	mi:a.2
2.37	parents	tɛ:ŋ.3 ŋa:n.2
2.38	married man	tɛ:ŋ.3 ŋa:n.2
2.39	married woman	ja:.3
2.41	son	phɔ.4
2.42	daughter	mɛ.4
2.43	offspring (son or daughter)	phɔ.4 mɛ.4
2.44	brother	na:i.2
2.444	older brother	na:ŋ.2
2.445	younger brother	lu:k.4 cha:i.2
2.45	sister	lu:k.4 sa:u.1
2.454	older sister	la:n.1
2.455	younger sister	phi:.4 nɔ:ŋ.4
2.456	sibling	phi:.4 cha:i.2
2.458	twins	no:ŋ.4 cha:i.2
2.46	grandfather	phi:.4 nɔ:ŋ.4
2.461	old man	phi:.4 sa:u.1
2.47	grandmother	nɔ:ŋ.4 sa:u.1
2.471	old woman	phi:.4 nɔ:ŋ.4
2.48	grandson	fa:.1 fɛ:t.3
2.49	granddaughter	pu:.3; ta:.1
2.51	uncle	khon.2 thau.3
2.511	mother's brother	ja:.4; ja:i.2
2.512	father's brother	khon.2 thau.3
2.52	aunt	la:n.1
2.521	mother's sister	la:n.1
2.522	father's sister	luŋ.2
2.53	nephew	na:.4; luŋ.2
2.54	niece	ʔa:.1; luŋ.2
2.55	cousin	pa:.4
2.56	ancestors	na:.4; pa:.4
2.57	descendants	ʔa:.1; pa:.4
2.61	father-in-law (of a man)	la:n.1
2.611	father-in-law (of a woman)	la:n.1
2.62	mother-in-law (of a man)	phi:.4 nɔ:ŋ.4
2.621	mother-in-law (of a woman)	kho:t.4
2.63	son-in-law (of a man)	la:n.1
2.631	son-in-law (of a woman)	pu:.3
2.64	daughter-in-law (of a man)	phɔ:.4 thau.3
2.641	daughter-in-law (of a woman)	ja:.4
2.71	stepfather	mɛ.4 thau.3
2.72	stepmother	lu:k.4 khɣ:i.1
2.73	stepson	lu:k.4 khɣ:i.1
2.74	stepdaughter	lu:k.4 sa.5 phai.3
2.75	orphan	lu:k.4 sa.5 phai.3
2.76	widow	phɔ:.4 li:aŋ.4
2.77	widower	mɛ:.4 li:aŋ.4
2.81	relatives, kinsmen	lu:k.4 li:aŋ.4
2.82	family	lu:k.4 li:aŋ.4
2.91	I	lu:k.4 kam.1 pha:.4
2.92	you (singular)	mɛ:.4 ma:i.4
2.93	he/she/it	phɔ:.4 ma:i.4
2.94	we	ja:t.4 phi:.4 nɔ:ŋ.4
2.941	we (inclusive)	khɔ:p.4 khua.2
2.942	we (exclusive)	ku:.1
2.95	you (plural)	mɨŋ.2
2.96	they	man.2
3.11	animal	ku:.1 ka.5 mɨŋ.2
3.12	male (adj)	ku:.1 ka.5 mɨŋ.2
3.13	female (adj)	phu:ak.4 ʔe:ŋ.1
3.15	livestock	ku:.1 ka.5 mɨŋ.2; phu:ak.4 ʔe:ŋ.1
3.16	pasture	phu:ak.4 mɨŋ.2
3.18	herdsman	phu:ak.4 mɨŋ.2
3.19	stable, stall	phu:ak.4 man.2
3.2	cattle (bovine)	sat.5
3.21	bull	tua.1 phu:.3
3.22	ox	tua.1 mi:a.2
3.23	cow	thoŋ.4 na:.2
3.24	calf	khon.2 li:aŋ.4
3.25	sheep	khɔ:k.4
3.26	ram	ŋua.2 khuai.2
3.28	ewe	tua.1 phu:.3 (ŋua.2 tua.1 phu:.3)
3.29	lamb	tua.1 phu:.3 (ŋua.2 tua.1 phu:.3)
3.32	boar	tua.1 mi:a.1 (ŋua.2 tua.1 mi:a.2)
3.34	sow	lu:k.4 ŋua.2; lu:k.4 khuai.2
3.35	pig	khuai.2
3.36	goat	kɛ.5
3.37	he-goat	kɛ.5 tua.1 phu:.3
3.38	kid	kɛ.5 tua.1 mi:a.2
3.41	horse (equine)	lu:k.4 kɛ.5; nɨ:a.4 kɛ.5
3.42	stallion	mu:.1 pa:.2 tua.1 phu:.3
3.44	mare	mu:.1 pa:.2 tua.1 mi:a.2
3.45	foal, colt	mu:.1
3.46	ass, donkey	phɛ.4
3.47	mule	phɛ.4 tua.1 phu:.3
3.5	fowl	dek.2; lu:k.4 phɛ.4
3.52	cock, rooster	ma:.4
3.54	hen	ma:.4 tua.1 phu:.3
3.55	chicken	ma:.4 tua.1 mi:a.2
3.56	goose	lu:k.4 ma:.4 tua.1 phu:.3; lu:k.4 la:.2
3.57	duck	la:.2
3.58	nest	lɔ:.4
3.581	bird	sat.5 pi:k.3
3.582	seagull	kai.3 tua.1 phu:.3
3.583	heron	kai.3 mɛ:.4
3.584	eagle	kai.3
3.585	hawk	ha:n.3
3.586	vulture	pet.5
3.591	bat	laŋ.2
3.592	parrot	nok.4
3.593	crow	nok.4 na:ŋ.2 nuan.2
3.594	dove	nok.4 ka.5 sa:.1
3.596	owl	nok.4 ʔin.1 si:.2
3.61	dog	jiau.3
3.614	rabbit	ʔi:.1 lɛ:ŋ.4
3.62	cat	jiau.3 nɔ:i.4; wa:u.4
3.622	opossum	kha:ŋ.4 kha:u.2
3.63	mouse, rat	nok.4 kɛ:u.4
3.65	fish	ka:.1
3.652	fin (dorsal)	nok.4 khau.1
3.653	fishscale	nok.4 phi.4 la:p.4
3.654	gill	nok.4 khau.4 mɛ:u.2; nok.4 hu:k.4
3.655	shell	nok.4 ka.5 tha:.2
3.661	shark	nok.4 na:ŋ.2 ʔɛ:n.3
3.662	porpoise, dolphin	nok.4 ju:ŋ.2
3.663	whale	kai.3 fa:.4
3.664	stingray	ma:.1
3.665	freshwater eel	ka.5 ta:i.3
3.71	wolf	nim.4
3.72	lion	sɨ:a.1 dam.1
3.73	bear	sɨ:a.1
3.74	fox	mɛ:u.2
3.75	deer	cha.4 mot.4
3.76	monkey	nu:.1
3.77	elephant	pa:.1
3.78	camel	tɣ:i.1
3.81	insect	ket.5 pa:.1
3.811	louse	ŋɨ:ak.3 pa:.1
3.812	nit (louse egg)	hɔ:i.1
3.813	flea	pu:.1
3.814	centipede	kuŋ.4
3.815	scorpion	pa:.1 cha.5 la:m.1
3.816	cockroach	pa:.1 lo:.2 ma:.2
3.817	ant	pa:.1 wa:n.2
3.818	spider	pa:.1 ka.5 be:n.1
3.819	spider web	pa:.1 lai.1
3.82	bee	ma:.1 pa:.3
3.821	beeswax	siŋ.1 to:.1
3.822	beehive	mi:.1
3.823	wasp	ma:.1 jiŋ.4 jɔ:k.3
3.83	fly	ka.5 lɔ:k.4
3.831	sandfly (midge), gnat	ba:ŋ.3
3.832	mosquito	men.4
3.84	worm	na:k.4
3.85	snake	kuaŋ.1
3.91	firefly	keŋ.4
3.92	butterfly	ŋua.2 pa:.3
3.93	grasshopper	liŋ.2
3.94	snail	cha:ŋ.4
3.95	frog	ŋuaŋ.2 cha:ŋ.4
3.96	lizard	ʔu:t.3
3.97	crocodile, alligator	mɛ:ŋ.2
3.98	turtle	hau.1; lo:n.2
4.11	body	khai.3 hau.1
4.12	skin, hide	mat.5
4.13	flesh	ta.5 kha:p.3
4.14	hair (head)	mɛ:ŋ.2 pɔŋ.3
4.142	beard	mɛ:ŋ.2 si:ap.3
4.144	body hair	mot.4
4.145	pubic hair	mɛ:ŋ.2 mum.2
4.146	dandruff	jai.2 mɛ:ŋ.2 mum.2
4.15	blood	pɨŋ.3
4.151	vein, artery	khi:.3 pɨŋ.3
4.16	bone	laŋ.2 pɨŋ.3
4.162	rib	mɛ:ŋ.2 ma:.1 la:.4; tɔ:.4
4.17	horn	din.1 hun.1
4.18	tail	mɛ:ŋ.2 wan.2
4.19	back	lin.4
4.191	spine	juŋ.2
4.2	head	mɔ:t.4
4.201	side of head, temple	nɔ:n.1
4.202	skull	nɔ:n.1
4.203	brain	nɔ:n.1
4.204	face	jak.5 ka.5 jan.3
4.205	forehead	jiŋ.4 li:t.3
4.207	jaw	piŋ.1
4.208	cheek	tha:k.4
