entry_id	trans_english	Trumai_Phonemic
1.1	world	
1.21	earth, land	tenexne; trumai ilaka
1.212	earth=ground, soil	tenexne
1.213	dust	
1.214	mud	
1.215	sand	ulat̯
1.22	mountain, hill	
1.222	cliff, precipice	
1.23	plain, field	
1.24	valley	
1.25	island	
1.26	mainland	
1.27	shore	ulat̯
1.28	cave	
1.31	water	misu
1.32	sea	
1.322	calm (of sea)	
1.323	rough (of sea)	
1.324	foam	aiot̯; ale su aiot̯
1.329	ocean	
1.33	lake	xu(-ake)
1.34	gulf, bay	
1.341	lagoon	
1.342	reef	
1.343	headland, point	
1.35	wave	kumu kumu
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	atel=xu
1.362	whirlpool	
1.37	spring, well	misu fafla
1.38	swamp	
1.39	waterfall	
1.41	woods, forest	aneneote; auat; kuiaie
1.42	tree (cf 08.600)	dei
1.43	wood	ɨuɨr
1.44	stone, rock	itak
1.45	earthquake	hapdokokah
1.51	sky	naneʔne ~ naʔnene
1.52	sun	atetla
1.53	moon	atetl-pak
1.54	star	asih; atsinau
1.55	lightning	
1.56	thunder	
1.57	lightning (as striking)	
1.58	storm	ameš
1.59	rainbow	pupu
1.61	light (noun)	
1.62	darkness	
1.63	shade, shadow	(iau) ihan
1.64	dew	
1.71	air	
1.72	wind	sut ~ sud
1.73	cloud	naneʔde
1.74	fog	soxden len
1.75	rain (noun)	kʔauixu [kʔawixu]; kʔauixukla
1.76	snow (noun)	
1.77	ice	
1.78	weather	
1.81	fire	so
1.82	flame (noun)	
1.83	smoke (noun)	soxden
1.84	ashes	somot ~ somot̯
1.841	embers	sot̯
1.851	burn (vb trans)	(ha) si
1.852	burn (vb intrans)	otne (tsipupup)
1.86	light, kindle, ignite	
1.861	extinguish	(haits) opi-n
1.87	match (noun)	
1.88	firewood	tsipup
1.89	charcoal	sot̯
2.1	person, human being	iau
2.21	man (vs. woman)	kiki
2.22	woman	di
2.23	male	kiki
2.24	female	di
2.25	boy	kik=noxo
2.251	young man (adolescent)	axos=ual-ta
2.26	girl	di=noxo
2.261	young woman (adolescent)	axos=ual-ta (?)
2.27	child	kik=noxo; di=noxo
2.28	infant, baby	omat-ke
2.31	husband	(ha)-eše
2.32	wife	(ha)-deʔtsi
2.33	marry	(ha)-pa
2.34	marriage, wedding	
2.341	divorce	
2.35	father	(ha)-ao
2.36	mother	(ha)-atle
2.37	parents	
2.38	married man	
2.39	married woman	
2.41	son	(ha)-faxlo
2.42	daughter	(ha)-atadi
2.43	offspring (son or daughter)	
2.44	brother	(ha)-adif
2.444	older brother	(ha)-apisi
2.445	younger brother	adif pat
2.45	sister	(ha)-adif-le
2.454	older sister	(ha)-adif-le
2.455	younger sister	(ha)-adif-le pat
2.456	sibling	
2.458	twins	tɨtɬe
2.46	grandfather	haiei
2.461	old man	deuan
2.47	grandmother	hatseda
2.471	old woman	
2.48	grandson	(ha) doxo
2.49	granddaughter	
2.51	uncle	uaue
2.511	mother's brother	
2.512	father's brother	(ha)-atatek
2.52	aunt	
2.521	mother's sister	(ha)-oʔke
2.522	father's sister	(ha)-kate
2.53	nephew	uaue patʔte
2.54	niece	uaue tʔadi
2.55	cousin	
2.56	ancestors	
2.57	descendants	
2.61	father-in-law (of a man)	
2.611	father-in-law (of a woman)	
2.62	mother-in-law (of a man)	(ha) oke
2.621	mother-in-law (of a woman)	
2.63	son-in-law (of a man)	(ha)-uapke
2.631	son-in-law (of a woman)	(ha)-uapke
2.64	daughter-in-law (of a man)	(ha)-uapke
2.641	daughter-in-law (of a woman)	(ha)-uapke
2.71	stepfather	
2.72	stepmother	
2.73	stepson	
2.74	stepdaughter	
2.75	orphan	aot-kek; atlet-kek
2.76	widow	t̯ats
2.77	widower	t̯ats
2.81	relatives, kinsmen	
2.82	family	tox-lo-(ha-uan)
2.91	I	ha; hai; hai-ts
2.92	you (singular)	hi
2.93	he/she/it	hine; -n/-e
2.94	we	ha-uan; ka-a
2.941	we (inclusive)	
2.942	we (exclusive)	
2.95	you (plural)	hi-uan
2.96	they	uan
3.11	animal	kodetɬ; (ha) aton
3.12	male (adj)	
3.13	female (adj)	
3.15	livestock	
3.16	pasture	
3.18	herdsman	
