entry_id	trans_english	Yagán_Phonemic
1.1	world	
1.21	earth, land	tan
1.212	earth=ground, soil	tan
1.213	dust	tan
1.214	mud	pantru
1.215	sand	asola
1.22	mountain, hill	tular
1.222	cliff, precipice	arakur
1.23	plain, field	
1.24	valley	luči
1.25	island	yeška
1.26	mainland	
1.27	shore	peka
1.28	cave	
1.31	water	sima
1.32	sea	ixa
1.322	calm (of sea)	yaleku
1.323	rough (of sea)	ukear
1.324	foam	sia
1.329	ocean	ixa
1.33	lake	akamaka
1.34	gulf, bay	waya
1.341	lagoon	akamaka
1.342	reef	
1.343	headland, point	
1.35	wave	čili
1.352	tide	sači
1.353	lowtide	ašu
1.354	hightide	yaraku
1.36	river, stream, brook	winu
1.362	whirlpool	
1.37	spring, well	
1.38	swamp	satana
1.39	waterfall	
1.41	woods, forest	ašuna
1.42	tree (cf 08.600)	šopeya
1.43	wood	yaku
1.44	stone, rock	aiya; awi
1.45	earthquake	
1.51	sky	seyf
1.52	sun	lam
1.53	moon	
1.54	star	apanix
1.55	lightning	tumutušu
1.56	thunder	kalaša
1.57	lightning (as striking)	tumutušu
1.58	storm	tašeta
1.59	rainbow	akayni
1.61	light (noun)	šola
1.62	darkness	akuš
1.63	shade, shadow	olana
1.64	dew	
1.71	air	
1.72	wind	uša
1.73	cloud	xoka
1.74	fog	
1.75	rain (noun)	palaxa
1.76	snow (noun)	panaxa
1.77	ice	touf
1.78	weather	
1.81	fire	pušaki
1.82	flame (noun)	šola
1.83	smoke (noun)	ušku
1.84	ashes	afwa
1.841	embers	pušaki
1.851	burn (vb trans)	kukata; aye
1.852	burn (vb intrans)	kušaina; ušola
1.86	light, kindle, ignite	tutukata
1.861	extinguish	
1.87	match (noun)	swali
1.88	firewood	touwa
1.89	charcoal	ikipašax
2.1	person, human being	yamana
2.21	man (vs. woman)	yamana
2.22	woman	kipa
2.23	male	yamana
2.24	female	umpulux; kipa
2.25	boy	wuxai; yaxaki
2.251	young man (adolescent)	wanleiwa
2.26	girl	čule-kipa
2.261	young woman (adolescent)	šupan-kipa
2.27	child	wuxai
2.28	infant, baby	kayola
2.31	husband	tuku
2.32	wife	tuku
2.33	marry	tuku
2.34	marriage, wedding	tuku
2.341	divorce	
2.35	father	imu; tapwin
2.36	mother	tapi
2.37	parents	tuku-turu
2.38	married man	tuku
2.39	married woman	tuku
2.41	son	maku
2.42	daughter	ma-kipa
2.43	offspring (son or daughter)	--
2.44	brother	waym
2.444	older brother	wemu
2.445	younger brother	ašouwa
2.45	sister	way-kipa
2.454	older sister	wai-kipa
2.455	younger sister	uš-kipa
2.456	sibling	
2.458	twins	wolakemen
2.46	grandfather	ušwam
2.461	old man	taripa
2.47	grandmother	kuluna
2.471	old woman	taripa
2.48	grandson	makutsa
2.49	granddaughter	makutsa
2.51	uncle	tanowa
2.511	mother's brother	tanowa
2.512	father's brother	tanowa
2.52	aunt	tanowa-kipa
2.521	mother's sister	tanowa-kipa
2.522	father's sister	tanowa-kipa
2.53	nephew	yamana-maku
2.54	niece	yamana-kipa
2.55	cousin	šamakuš
2.56	ancestors	
2.57	descendants	
2.61	father-in-law (of a man)	masaku
2.611	father-in-law (of a woman)	masaku
2.62	mother-in-law (of a man)	masa-kipa
2.621	mother-in-law (of a woman)	masa-kipa
2.63	son-in-law (of a man)	masaku
2.631	son-in-law (of a woman)	masaku
2.64	daughter-in-law (of a man)	masa-kipa
2.641	daughter-in-law (of a woman)	masa-kipa
2.71	stepfather	masaku
2.72	stepmother	masa-kipa
2.73	stepson	masaku
2.74	stepdaughter	masa-kipa
2.75	orphan	aruku
2.76	widow	šupun-kipa
2.77	widower	šupun-wa
2.81	relatives, kinsmen	[famili]
2.82	family	[famili]
2.91	I	xay
2.92	you (singular)	sa
2.93	he/she/it	kitu
2.94	we	xan; xipi
2.941	we (inclusive)	
2.942	we (exclusive)	
2.95	you (plural)	san
2.96	they	kyon
3.11	animal	pixa
3.12	male (adj)	
3.13	female (adj)	kipa
3.15	livestock	
