entry_id	trans_english	Zuni_Phonemic
1.1	world	ʔawiteli-
1.21	earth, land	te-yala
1.212	earth=ground, soil	ʔaweɬi-; ʔawekli-
1.213	dust	so-
1.214	mud	heli-
1.215	sand	so-
1.22	mountain, hill	yala-; kuʔtele-
1.222	cliff, precipice	teleči
1.23	plain, field	te-yačči-na-
1.24	valley	- -
1.25	island	- -
1.26	mainland	- -
1.27	shore	- -
1.28	cave	- -
1.31	water	kˀʸa-
1.32	sea	kˀʸātuɬ ʔullapna
1.322	calm (of sea)	- -
1.323	rough (of sea)	- -
1.324	foam	ʔummo-
1.329	ocean	kˀʸātuɬ ʔullapna
1.33	lake	kˀʸa-na-
1.34	gulf, bay	- -
1.341	lagoon	- -
1.342	reef	- -
1.343	headland, point	- -
1.35	wave	- -
1.352	tide	- -
1.353	lowtide	- -
1.354	hightide	- -
1.36	river, stream, brook	kˀʸawina-
1.362	whirlpool	- -
1.37	spring, well	kˀʸa-na-kʷayi-na-
1.38	swamp	- -
1.39	waterfall	- -
1.41	woods, forest	ta-na-yā-we
1.42	tree (cf 08.600)	ta-tta-
1.43	wood	ta-
1.44	stone, rock	ʔa-
1.45	earthquake	ʔanukʷayi
1.51	sky	ʔaʔ-poʔya-
1.52	sun	yato-kkʸa
1.53	moon	ya-ʔona-kkʸa
1.54	star	moʔ-yaču-
1.55	lightning	wilo-
1.56	thunder	towowo-
1.57	lightning (as striking)	- -
1.58	storm	- -
1.59	rainbow	
1.61	light (noun)	ʔakli-
1.62	darkness	te-kˀʷi-
1.63	shade, shadow	te-ɬuʔwa-
1.64	dew	- -
1.71	air	- -
1.72	wind	pinna-
1.73	cloud	lo-
1.74	fog	šipololo-
1.75	rain (noun)	ɬito-
1.76	snow (noun)	ʔu-
1.77	ice	ɬe-m-kˀʸa-ya-
1.78	weather	tewuc̷oʔya-
1.81	fire	ʔakli-
1.82	flame (noun)	hapiya-
1.83	smoke (noun)	ɬikˀʸaya-
1.84	ashes	lu-
1.841	embers	makʸēwe
1.851	burn (vb trans)	čapi-kˀʸa-
1.852	burn (vb intrans)	čapi-
1.86	light, kindle, ignite	makču-
1.861	extinguish	- -
1.87	match (noun)	ɬečči-
1.88	firewood	ta-
1.89	charcoal	nokʸe
2.1	person, human being	-hoʔʔi
2.21	man (vs. woman)	ɬaššikˀʸi
2.22	woman	makkˀʸi
2.23	male	ʔoc̷c̷iʔ
2.24	female	ʔokʸa
2.25	boy	ʔakc̷ekˀʸi
2.251	young man (adolescent)	c̷awakˀʸi
2.26	girl	kʸac̷ikˀʸi
2.261	young woman (adolescent)	ʔe-; ʔeʔlaštoˀʸi
2.27	child	ča-
2.28	infant, baby	wih-
2.31	husband	ʔoyemši
2.32	wife	?ōye
2.33	marry	- -
2.34	marriage, wedding	- -
2.341	divorce	- -
2.35	father	-tačču
2.36	mother	-c̷itta
2.37	parents	ʔāɬaššīnāwe
2.38	married man	- -
2.39	married woman	- -
2.41	son	- -
2.42	daughter	- -
2.43	offspring (son or daughter)	- -
2.44	brother	- -
2.444	older brother	papa
2.445	younger brother	suwe; hanni
2.45	sister	- -
2.454	older sister	kʸawu
2.455	younger sister	hanni; ʔikʸina
2.456	sibling	- -
2.458	twins	- -
