Name:	Tamil
SIL classification: 	Dravidian > Southern > Tamil-Kannada > Tamil-Kodagu > Tamil-Malyalam > Tamil
ISO 639-3 code:	tam
WALS classification:	Family: Dravidian > Genus: Southern Dravidian
WALS coordinates: 	11° N, 78° 30′ E
Compiler:	Anju Saxena
Data entry personnel:	Mohamed Hashim
License:       This work is licensed under a Creative Commons Attribution 3.0 Unported License

S01.100	the world	ulakam	-	The Amazon is the longest river in the world.
S01.210	the land	nilam	'the hard surface of the earth, when compared to the area covered by sea'	The captain sighted land in the distance. 
S01.212	the soil	maṇ	'the substance that plants naturally grow in'	The soil is pretty good in this area.
S01.213	the dust	tūci	'dry powder consisting of extremely small bits of matter, found outside or inside buildings'	The house had not been cleaned and there was dust on the furniture.
S01.214	the mud	maṇ 	'wet earth that has become soft and sticky'	His shoes were covered with mud.
S01.215	the sand	maṇal	-	There is sand on this part of the beach.
S01.220	the mountain or hill	malai	-	-
S01.222	the cliff or precipice	ceṅkuttuppāṟai	'a high rock with a very steep side (often near the sea)'	-
S01.230	the plain	veṟṟu	'expanse of level ground, open country'	-
S01.240	the valley	paḷḷattākku	-	The valley was surrounded by high mountains.
S01.250	the island	tīvu	-	Sicily is a Mediterranean island.
S01.260	the mainland	kaṇṭam	'the main area of land that forms a country, as compared to islands near it'	-
S01.270	the shore	karai	'the land along the edge of a large body of water, such as an ocean or a lake'	-
S01.280	the cave	kukai	-	The hunter lit a torch and entered the cave.
S01.310	the water	taṇṇīr	'drinking water'	The inhabitants get their water from the river.
S01.320	the sea	kaṭal	-	The ship is sailing in the sea.
S01.322	calm	amaitiyāṉa	'smooth or having only gentle waves'	a calm sea
S01.323	rough(2)	karaṭumūraṭāṉa	'with large waves'	a rough sea
S01.324	the foam	nurai	-	Foam formed on the polluted river.
S01.329	the ocean	peruṅkaṭal	'any of the world's major bodies of salt water'; generally larger than 'sea'	The Pacific Ocean is larger than the Atlantic Ocean.
S01.330	the lake	ēri	-	This lake's water is safe for drinking.
S01.340	the bay	virikuṭā	'an area of the sea that curves inwards towards the land'	-
S01.341	the lagoon	kaṭaṟkaraikkāyal	'a body of sea water partly or completely separated from the sea by sand, rock etc., generally smaller than a bay'	-
S01.342	the reef	pavaḷappāṟai	'a line mass of sharp rocks, often made of coral, near the surface of the sea'	The ship was wrecked on a reef.
S01.343	the cape	tīpakṟpam	'a large piece of land surrounded on three sides by the sea'	-
S01.350	the wave	alai	-	The tallest waves are found in the Pacific Ocean. 
S01.352	the tide	alai vaṟṟu	'the regular rising and lowering of the level of the sea'	-
S01.353	the low tide		-	During low tide the rock is exposed.
S01.354	the high tide		-	The rock is not visible during high tide.
S01.360	the river or stream	āṟu	-	-
S01.362	the whirlpool	nīrccuḻal	'a powerful current of water that spins around and can pull things down into it'	-
S01.370	the spring or well	kiṇaṟu	'natural (spring) or artificial (well) source of water'	-
S01.380	the swamp	catuppunilam	-	Be careful, there are crocodiles in the swamp.
S01.390	the waterfall	nīr vīḻcci	-	The waterfall runs dry in the summer.
S01.410	the woods or forest	kāṭu	-	There are many wild animals in the forest.
S01.430	the wood	marakkaṭṭai	'material that people get from trees'	The table is made of wood.
S01.440	the stone or rock	kal	-	-
S01.450	the earthquake	nilanaṭukkam	-	The house was destroyed by an earthquake.
S01.510	the sky	vāṉam	-	There were white clouds in the blue sky.
S01.520	the sun	cūriyaṉ	-	The sun rises in the east.
S01.530	the moon	cantiraṉ	-	The moon shone brightly in the clear night sky.
S01.540	the star	naṭcattiram	-	The stars shone brightly in the clear night sky.
