"N1","WALS","iso","glotto","area"
"Aché","Aché","guq","ache1246","SE South America"
"Aguaruna","Aguaruna","agr","agua1253","Andean"
"Aramaic (Ancient)","","oar","olda1245","Greater Mesopotamia"
"Araona","Araona","aro","arao1248","NE South America"
"Barí","Motilón (Chibchan)","mot","bari1297","NE South America"
"Cayubaba","Cayuvava","cyb","cayu1262","NE South America"
"Guaraní, Eastern Bolivian","Chiriguano","gui","east2555","SE South America"
"Chorote, Iyojwa\'ja","Chorote","crq","iyow1239","SE South America"
"Cofán","Cofán","con","cofa1242","Andean"
"Colorado","Tsafiki","cof","colo1256","Andean"
"Ecun Buyang","","yln","lang1316","Southeast Asia"
"Erzya","Mordvin (Erzya)","myv","erzy1239","Inner Asia"
"Puelche","Gününa Küne","pue","puel1244","SE South America"
"Karok","Karok","kyh","karo1304","California"
"Komi-Zyrian","Komi-Zyrian","kpv","komi1268","Inner Asia"
"Lakkia","","lbc","lakk1238","Southeast Asia"
"Langja Buyang","","yln","lang1316","Southeast Asia"
"Lengua","Lengua","leg","leng1262","SE South America"
"Li of Baoding","",NA,"nucl1241","Southeast Asia"
"Maca","Maca","mca","maca1260","SE South America"
"Mari, Eastern","Mari (Meadow)","mhr","east2328","Inner Asia"
"Mashco Piro","","cuj","mash1270","NE South America"
"Mulam","","mlm","mula1253","Southeast Asia"
"Nahuatl, Highland Puebla","Nahuatl (Sierra de Zacapoaxtla)","azz","high1278","Mesoamerica"
"Nenets","Nenets","yrk","nene1249","Inner Asia"
"Nivaclé","Chulupí","cag","niva1238","SE South America"
"Nung-Fengshan","Anong","nun","nung1282","Southeast Asia"
"Páez","Páez","pbb","paez1247","NE South America"
"Polci","","plj","polc1243","African Savannah"
"Qau Kelao","","gqu","gela1265","Southeast Asia"
"Qawasqar","Qawasqar","alc","qawa1238","SE South America"
"Romani, Vlax","Romani (Kalderash); Romani (Lovari)",NA,"roma1329","Inner Asia"
"Sanapaná","","spn","nucl1655","SE South America"
"Sanapaná","","spn","nucl1655","SE South America"
"Sanchong Kelao","",NA,"gela1265","Southeast Asia"
"Ona","Selknam","ona","onaa1245","SE South America"
"Shan","","shn","shan1277","Southeast Asia"
"Shan (Dialect Northern Shan)","","shn","shan1277","Southeast Asia"
"Southern Kam","",NA,"kami1255","Southeast Asia"
"Southern Tai of Songkhla","",NA,"sout2746","Southeast Asia"
"Sui","","swi","suii1243","Southeast Asia"
"Thai (Dialect Korat)","",NA,"thai1261","Southeast Asia"
"Thai (Standard)","",NA,"thai1261","Southeast Asia"
"Tokharian A","","xto","tokh1242","Europe"
"Tokharian B","","txb","tokh1243","Europe"
"Tuamotuan","Tuamotuan","pmt","tuam1242","Oceania"
"Udmurt","Udmurt","udm","udmu1245","Inner Asia"
"Waiwai","Wai Wai","waw","waiw1244","NE South America"
"Waorani","Waorani","auc","waor1240","NE South America"
"Wapishana","Wapishana","wap","wapi1253","NE South America"
"Waurá","Waurá","wau","waur1244","NE South America"
"Pumé","Yaruro","yae","pume1238","NE South America"
"Yuwana","","yau","yuwa1244","NE South America"
"Zhuang-Longzhou","","zgm","minz1236","Southeast Asia"
"Bezhta","","kap","bezh1248","Greater Mesopotamia"
"Ceq Wong","","cwg","chew1245","Oceania"
"Gawwada","","gwd","gaww1239","Greater Abyssinia"
"Gurindji","","gue","guri1247","N Australia"
"Kali'na","","car","gali1262","NE South America"
"Kildin Saami","","sjd","kild1236","Inner Asia"
"Lower Sorbian","","dsb","lowe1385","Europe"
"Manange","","nmm","mana1288","Indic"
"Oroqen","","orh","oroq1238","N Coast Asia"
"Selice Romani","","rmc","west2376","Europe"
"Takia","","tbc","taki1248","N Coast New Guinea"
"Thai","","tha","thai1261","Southeast Asia"
"White Hmong","","mww","hmon1333","Southeast Asia"
"Tibetan","","bod","tibe1272","Inner Asia"
"Kotgarhi","","bfz","maha1287","Indic"
