"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"Aché",-0.0111214958641924,-0.0529192481376456,-0.072649746866841,-0.0119696072221591,-0.0123345454571959,-0.0946293597834212,-0.0232458182408369,-0.0489687879299582,-0.0534672098435972,-0.00235464331109525,-0.0412670877673177,-0.0445742719527745,-0.0494262398587438,-0.0630955928079702,-0.0643932760374438,-0.0170203593525161,-0.0243455474087756,-0.0332281027033522,-0.0105964904273841,-0.0624558168385883,-0.0409195837727305,0.016574697237185,-0.0761817713525356,0.0117930104630373,-0.034401116749024,-0.0101381607893306,-0.0813452931371792,-0.0743821498171139,-0.0808417907726995,-0.00926483327116523,0.00384117651464233,-0.0496251105327018,-0.0427828216003063,-0.037670322238731,-0.0441326296237483,0.0125932315663811,-0.0296549638800712,-0.0168605608848064,-0.0381419140958141,-0.0488400782332818,-0.0209948146496164,-0.0464124220645861,0.00394593015515887,-0.0808726749060038,-0.0921003578440884,-0.0140451585398785,0.0200529575831391,-0.0887103240685045,-0.0366255853230146,-0.0402593621884237,-0.067292259128175,-0.0409359474053406,-0.0359422966187742,-0.0748972306803619,-0.0541034235158705,-0.0111724588535829,-0.0513834085107322,-0.0340101958226672,-0.0326319669079492,-0.0539135868291332,-0.00730070986451059,0.00624027192358156,-0.0242656903004185,-0.0846894512479119,-0.0494539910681737,-0.0996881921123458,-0.0497141507817094,-0.0142072433077396,-0.0477919183550217,-0.0443327196277544,-0.0210586138666353,-0.0628759430456537,-0.0337190781624216,-0.023033997289043,-0.0320211528501537,-0.0365528280997729,-0.035787095899624,-0.0653456954701449,-0.0640113802007034,-0.0284668437231975,0.00112057688316891,-0.0607844850420076,-0.0677768010039635,-0.0292536093067209,-0.0845085721321688,-0.102818274360189,-0.0570615835063998,-0.0217569295935127,-0.124704247268541,-0.0452993836543556,-0.0576244274820512,-0.0186293168794122,-0.0242910019153194,-0.0487454820310413,-0.0296261329587634,-0.113301779354925,-0.0361798003480269,-0.0592145462326082,-0.029265524639592,-0.0640968165559754
"Aghul",-0.0799942641636981,-0.049284293660388,-0.07415399954463,-0.0462959782916736,-0.136521894253475,-0.0399583291930311,-0.109539004862518,-0.066886582860881,-0.0744370745167527,-0.0789313331883696,-0.099596121767238,-0.0803258905060532,-0.0714935844116101,-0.0783791855285111,-0.0859986333150464,-0.0495802034674961,-0.0888946702450922,-0.10410723461988,-0.10047575000518,-0.0760477348337396,-0.0588531572649973,-0.0577689732162923,-0.0775247384920085,-0.0855037034967683,-0.05915309484667,-0.00741098980470034,-0.051088423534206,0.0127312978292116,-0.0596078467752368,-0.056548466034914,-0.034070406121983,-0.04614230476634,-0.085804364638328,-0.0257358987007967,-0.0641234142365978,-0.121102307698665,-0.101735811963411,-0.120503308833636,-0.15644073109043,-0.151578670150324,-0.0958703839875169,-0.0411258852238215,-0.0779696410777421,-0.0770069551750951,-0.103771735472918,-0.0673424668275695,-0.035711725923229,-0.109466670733502,-0.0984354673625062,-0.0891008240056699,-0.146469885686235,-0.0936101412123761,-0.0753147123602059,-0.0453577357287591,-0.0460055829550776,-0.0706724460872311,-0.103591743581796,-0.0649808581683939,-0.0939691177060501,-0.114737025404127,-0.107392903691261,-0.0352798965799154,-0.0540097880562526,-0.161248161032986,-0.103730482952632,-0.0609554496694825,-0.164258951519282,-0.0927492359483,-0.10160475696856,-0.147265169531654,-0.0808289657176889,-0.0744849754600405,-0.0755578795199584,0.000527502644666944,-0.0829570977286314,-0.0350982801190122,-0.124811962082258,-0.0786320780495088,-0.118630726995538,-0.0939280248836196,-0.0479238225942346,-0.0754316073668976,-0.149305055658559,-0.0672027074324987,-0.0900222719796978,-0.0155968256255758,-0.0540857399453752,-0.0757971390388662,-0.175260955353895,-0.13616585677701,-0.0274917789817891,-0.0957929732719672,-0.0999381034487286,-0.071182124708929,-0.109752891193799,-0.0686082494263521,-0.0676737380518199,-0.092321933800101,-0.076522457935236,-0.0213977219889843
"Aguaruna",-0.042012902254921,-0.00349012934195259,-0.0309457839276203,-0.00281732880043295,-0.0226667832422359,-0.0341860219817838,-0.0647943985007781,-0.0401492034030131,0.0314971028168021,-0.0236668347368408,-0.0342049110314299,-0.0418980237756106,-0.0135449207550282,-0.00349228236223575,0.00213836282677926,-0.0406506948674319,0.00704389733456989,-0.000138400225142221,-0.00997775648964261,-0.000935702553405804,-0.0478254553949319,-0.0591428392265122,-0.040394538969688,-0.0191937953490816,-0.0375625590798249,-0.0461832420048216,-0.0410110383675655,-0.065406650258497,-0.0439624057134903,-0.0404794735311655,-0.0606436662950238,0.0169029304561485,-0.0513823120995558,0.00353417704849845,-0.0101148071429894,-0.0228611270840139,-0.0256669043459388,-0.00742903273055695,-0.0289286850718198,-0.0445510452469294,-0.00829961199400731,-0.0278726849696846,0.0504547974652453,-0.0337409577272387,-0.0258379169955252,-0.0062161678179925,-0.00358023880269365,-0.0315329742038566,-0.0179286806152404,-0.0185279906748891,-0.0669112567600538,-0.0137699655694778,-0.0540519338797429,-0.0254495311743036,-0.0189057108898337,-0.0753942663459216,-0.0585326517489801,-0.0387725497398538,-0.0156411930074123,-0.0526562451247984,-0.010458744274503,-0.0144420500572238,-0.0100804846863419,-0.0401879707310708,-0.0294758400948909,-0.0252156079741581,0.00845542005565003,-0.062764583719355,-0.0370468264646234,-0.00519611919359075,-0.0771681068647404,0.00842677144524773,-0.0455165516926989,-0.0139170611706503,-0.0163658176270397,-0.000143503981994142,0.00235220722664586,-0.0538856973217586,-0.0402301417621027,-0.0299983189174341,-0.056817156458408,0.0246070531242339,-0.0361498310713217,-0.0161650919992605,-0.0525011245710629,-0.0664872104607672,-0.0215488875375945,-0.0835424611525557,-0.0497670973517542,-0.0478674090864043,-0.0207653056543496,-0.0651223187642649,-0.038772455755359,-0.00199119949231974,-0.0270695391476193,-0.0311658236073012,-0.0199549278707761,-0.0531206297129144,-0.0471424197141193,-0.0192327030967235
"Ahlao Th",-0.0456945541349772,-0.053709918475604,0.00263912115883846,0.00399401215527728,-0.0879941886790435,-0.0224759774285599,0.0227500194385998,-0.0280297484212421,-0.0811028488524371,-0.0177581282202091,0.0154384321426752,0.00793337725934462,-0.0542445110251042,-0.0598925366138188,-0.10159173051293,-0.00616065835407631,-0.00412328331879597,-0.000225092904047819,0.0159642837755234,0.00557625688352226,-0.0114107672049646,0.0159518491895846,-0.0287065135031951,0.0145260949236764,-0.0057708274947863,-0.00200976395662011,-0.0110612072334639,0.0717339651793782,-0.0268950510329409,-0.0433182450080889,-0.011265372933887,0.0122527175153999,-0.0111731844879327,-0.00646390426211318,-0.0246958463161848,-0.00342467049276818,0.0151190926176699,-0.0505382646038082,0.0178353036698206,-0.0345056094748636,0.0225355128691466,0.0116789682358728,-0.0338285828608251,0.00140845345866669,-0.00748927329513471,0.0404511682261748,-0.000674057754700419,-0.0349275551343068,-0.0152726371375379,-0.0235858663806477,-0.0748896682970984,-0.00980754358878799,-0.0675176861927866,0.00979650499490237,-0.0538924167964925,0.0213505877850882,0.0401903407472649,0.0409984552361679,-0.0766071710440207,-0.0476087055099104,-0.00519197913024905,-0.0226892272488854,-0.0359207114482596,-0.0479527713925177,-0.0458447856697806,-0.0173126347214699,-0.0435662530895643,-0.0436070336744129,-0.00806647253250847,-0.0776727192803216,0.00837762841540846,-0.0197790770621538,0.000335446639255887,0.0247143649601179,-0.00163692031084561,0.00200361045788633,0.00439664800613082,0.00507793621624697,-0.0316538077059556,-0.0114753130046328,-0.0247271470020052,-0.0270251757013069,-0.017276693889744,-0.018467084891587,-0.000687643367192847,-0.0488326204988216,0.0219995672508477,-0.0422135562974276,-0.0731368380329978,-0.0374304783404185,-0.0633297218176438,-0.00960882078076042,-0.0448906864295096,-0.0454526857282848,-0.0398425263890877,-0.0179241045796694,-0.0185012988419555,-0.00163321886912227,-0.0175890554285311,-0.0228012978283394
"Akhvakh (Southern dialect)",-0.0987188527921355,-0.101504048076589,-0.0690284151842087,-0.155899783813304,-0.141742823347255,-0.0679470661929249,-0.070160011045436,-0.0763192911180103,-0.0837404800122492,-0.111657222184683,-0.0326659245998802,-0.0790565504044471,-0.0957379579283449,-0.0970596930816635,-0.0600051849383617,-0.075637249591455,-0.0980849593499357,-0.118232359670807,-0.105079342196055,-0.0777666832720914,-0.0747897257912002,-0.0694378420794826,-0.0663509971218749,-0.0853862647061359,-0.0420474981855794,-0.118991104899355,-0.0904474588975746,-0.141449685124259,-0.0741045769311203,-0.083590690388641,-0.0588833126228903,-0.0865464447929958,-0.138869178403285,-0.103908157180464,-0.0929589158677447,-0.0820144425645312,-0.100167861541427,-0.0707758591775181,-0.0778278396054327,-0.0879523663431219,-0.0762684154687252,-0.0197710795893413,-0.0944119348993538,-0.0800965940078544,-0.0822623537346817,-0.0830459211776073,-0.117822046229195,-0.105355218413751,-0.145421474948125,-0.0872115801868751,-0.106797118515367,-0.101540352939873,-0.113138003582967,-0.101774284236274,-0.104673077339373,-0.0839870871130595,-0.091420056428913,-0.0996515886749957,-0.0868836846389575,-0.0918409867387753,-0.115806082841146,-0.106378024080109,-0.0683166388395312,-0.0811099007010831,-0.0605368691318193,-0.126943486184234,-0.131270646958726,-0.0844475799007565,-0.0593563946287405,-0.0982163200127206,-0.0867487860823476,-0.0742215456095747,-0.0731913417623221,-0.0623329884922418,-0.109429567871054,-0.0495909272902656,-0.0966133093036297,-0.10481952829201,-0.076739900407487,-0.105965126676032,-0.0933647359072847,-0.125345252433529,-0.0731616290676448,-0.156371861872647,-0.103831441378766,-0.0484008817108554,-0.101645553171926,-0.0404764753890244,-0.094697382902491,-0.0506418342996034,-0.0888916583285018,-0.100010948809206,-0.0815925254218705,-0.0684378069178651,-0.0902242254475248,-0.11564855285983,-0.0692125332642459,-0.0890445106951654,-0.0457167597050343,-0.110841442886382
"Albanian (Tosk variety)",0.0329565497759435,-0.0174293241651751,-0.0157715948954225,0.00800482153294679,0.025938508000376,0.0439155312605355,-0.0138461933862265,-0.00573660505160023,0.0159115451723106,0.00609633386784825,0.0496204622351176,0.00341057975825809,0.0523817674939746,0.0555675081220111,0.0532837760485698,-0.00486059864795474,-0.032505572984286,-0.044905954934223,0.0110027421776162,0.0108801590751487,-0.0214062228532792,0.0407194607698297,-0.0092909923646175,0.0576842771425743,-0.018439272153953,0.0268427144733725,0.0420243117094647,0.0461028913660312,-0.0423486204469191,-0.0240971166515457,-0.00951766017409672,0.024164964248748,0.0328711074348672,0.00627483309396581,0.028523302724879,0.044243182700726,-0.0163773108046898,0.0207855587746358,0.0216221456221125,0.0213018387828331,-0.00861554140681531,0.0348285736928102,0.0396011152355011,0.0590854897860856,-0.011908731896613,-0.0127602376675529,0.00115044957284671,0.0393866991596074,0.0560193494343356,0.0168156814352168,0.0128090464374507,0.0313867029022907,-0.0265806467784271,0.0255501067865336,-0.0119614314930152,0.0236388412191276,0.0325647559630555,-0.0126610267316681,0.0288635136813199,-0.00920553045522565,0.0217854209416191,0.0853711813254954,0.00013342169309849,0.0400025071496624,0.0543218144445112,0.00621728269091248,-0.00295326480603408,0.0181566091900576,0.0563558275525632,0.0147325976194194,0.0305526356612366,-0.0231548079502016,0.0464398012319045,-0.053811027712489,0.00499091728488155,-0.0396595525652016,-0.00386702903972647,-0.000244078307865214,0.0308341804336079,0.0163834562496649,0.0276594668299499,-0.00900562999204213,-0.0470666665870184,0.00238725573176246,0.0374556454569006,-0.0351873352215784,-0.00431875857333142,0.0542446698333432,0.0136751504132253,-0.0138399747673641,-0.0410431889803687,-0.00349584429556549,0.0226953535723118,0.000166139307766433,0.0451228145380221,0.0324610028126628,0.0270865406007228,0.0376474716454563,0.00646130713511217,-0.0147521287942557
"Andi",-0.0598459975973373,-0.0699155040765082,-0.0632462288598724,-0.115072772760797,-0.0423742485147092,-0.110959073288463,-0.0489907282577886,-0.138842962557392,-0.11029101226662,-0.0452292825848477,-0.104353935804282,-0.0492807726328965,-0.0726823465061607,-0.0821784106598433,-0.121766812012274,-0.105114513456795,-0.0950207435696003,-0.122341050522051,-0.0560683351069576,-0.119178596856631,-0.0715961882383316,-0.0518154808308484,-0.0784220181715997,-0.12678627924704,-0.096268579095998,-0.0965046106553091,-0.112813933397715,-0.0445009443579233,-0.057841809858062,-0.0640950192014801,-0.118835103492468,-0.108144021172027,-0.112556052186354,-0.12022510172591,-0.164582983930558,-0.129757206984622,-0.0677043331357805,-0.0879352200082032,-0.091623392191956,-0.079115583386534,-0.115863680579857,-0.0672401068825692,-0.0511794456297725,-0.125648953199905,-0.0573040753885151,-0.123614054755266,-0.0278768305787439,-0.0714902269852495,-0.0581863068167602,-0.0784556796379646,-0.0483016198125477,-0.116821199176024,-0.0875864605805093,-0.116158193195298,-0.056212581699275,-0.055156374711261,-0.104643305030411,-0.0177737367758696,-0.117091323603475,-0.0882032403686523,-0.046759442780407,-0.104554481352344,-0.0724481158019001,-0.0517215708488469,-0.0625256133863826,-0.0708500715706127,-0.0859476432604153,-0.0538253331125577,-0.128495958683287,-0.0777744326898867,-0.0874605023266163,-0.0668770216840354,-0.0803749355702869,-0.060667678748576,-0.110535490492091,-0.0219254313370697,-0.131337859707174,-0.115557896354832,-0.115078996939066,-0.0735049246306287,-0.158774317440668,-0.0421116600855428,-0.055063950995306,-0.0751310250547815,-0.0504005231215645,-0.0909995145520062,-0.0791211561582614,-0.115001723023136,-0.129326955251901,-0.102435034997682,-0.136288615425039,-0.0971512801866818,-0.0589242617380445,-0.104051297784066,-0.105404925476794,-0.122313339462491,-0.040535600769074,-0.0687833632667454,-0.0847789613819727,-0.0701775866806703
"Araona",-0.119085693704944,-0.118905200814432,-0.0930159239340539,-0.049988744295058,-0.0908077321627522,-0.0878566170077861,-0.0981503883786489,-0.0854592805568679,-0.0939940480697867,-0.0930121762741249,-0.11456931354986,-0.0758788706913138,-0.0548577612161908,-0.0942312223346799,-0.0733917244416758,-0.0708095754923793,-0.0815756227831508,-0.0876745256140486,-0.128663971452172,-0.0995269700085976,-0.100573629965351,-0.11540413438043,-0.0520713986282141,-0.1015958379388,-0.0866185201111995,-0.123367235796621,-0.0900860131136148,-0.105144806991316,-0.11584882599301,-0.0611527899457481,-0.0941831800828181,-0.104776654319963,-0.12465748856174,-0.119757275154486,-0.051720793888533,-0.0860241565554382,-0.152561694188427,-0.0921998913224814,-0.0870834412090529,-0.107006855300845,-0.0999193393003687,-0.0531321532567989,-0.100892464641718,-0.0968959543913947,-0.10491153038569,-0.11924873977324,-0.112937322038174,-0.0661535282613401,-0.0614577639787221,-0.0799103124633718,-0.117934275478966,-0.114947963502542,-0.0529646857433976,-0.0867842727484425,-0.133275188669953,-0.11187434053893,-0.0881824548850962,-0.0837685749109959,-0.110681407071703,-0.0888038603703994,-0.0742363227475601,-0.0557651302643464,-0.113970495839275,-0.128993934368149,-0.126843584063054,-0.116305822111102,-0.0831212186146126,-0.0917507635460239,-0.04720364420238,-0.10902402938491,-0.115265305044957,-0.0997058456632269,-0.0901497618408246,-0.0882314099165606,-0.104571329661041,-0.101946557057806,-0.0793264159824237,-0.0900517988492849,-0.0614833434415039,-0.0909838549480783,-0.116471391913978,-0.104997367238809,-0.068566325848871,-0.12600802774936,-0.0916849816296949,-0.0902007560258311,-0.0429649549358069,-0.0584338582817378,-0.0737139469720935,-0.115062625876189,-0.0503729891268297,-0.0823479795891262,-0.055071005084428,-0.0670870612622476,-0.0414563082975084,-0.0783665186704729,-0.0887189528546679,-0.10164978838521,-0.146375522342433,-0.106982337065004
"Archi",-0.0835363183265646,-0.0785939764493552,-0.059821039407582,-0.038838042193066,-0.047316804944608,-0.0257399167220593,-0.0370796193829883,-0.0612149952237828,-0.0394284607637785,0.0157655794238759,-0.0292601937267792,-0.058416915495929,0.0084431678976028,-0.0086692336714046,-0.0178473411741809,0.0293814959985843,-0.0763868265380581,0.0040557452099379,-0.0929738857944705,-0.0306650548615504,-0.0198671662225499,-0.0113457355700977,-0.0189665696280221,-0.0417666326340826,-0.0529237191525237,-0.0382211719647249,-0.0339073133983149,-0.0211116848809886,-0.0668834233193001,-0.0590231535678538,-0.0426743332492534,-0.0563947026990483,-0.0241536971012947,-0.0641788218084709,-0.00276269021159969,-0.0284660671295376,-0.0437436841085022,-0.0648901665595573,-0.0766742384837518,-0.0172633894096023,-0.0229226735061541,-0.0224065314028536,-0.0630857242887616,-0.0107992718832102,-0.037132507594123,-0.0578687659865325,-0.018238714016748,0.014077326654481,-0.0506255063185146,-0.0101680458219201,-0.0215318959074764,-0.00541110389678212,-0.0396711336169258,-0.0638773273387272,-0.0312000791796226,-0.0406495888303835,-0.0219557727787845,-0.0131340297781017,-0.0287318139578435,-0.0352324713315445,-0.0390108175384017,-0.0335880917065209,-0.0925116506177209,-0.0193825557515495,-0.0260425293293316,-0.0998866263164248,-0.0353160076199528,-0.0207909621865,-0.0363442846911146,-0.074973377531083,-0.0250069730185252,0.022853921884165,-0.0464007576740424,-0.107300198771871,-0.0459902391556454,-0.0344650405033167,0.0325665060383291,-0.0274149702304408,-0.0719848522136409,-0.0364656732306075,-0.0409521923538468,-0.0268287741294129,-0.0361156860724093,-0.0452166089957221,-0.0166736260688543,0.00596913430433055,-0.00907151908200521,-0.0291543962230486,0.0120857001011881,-0.0405152823007755,-0.0238140315523652,-0.00973993894022007,-0.0258942730811168,-0.00958272366082824,-0.00686906409125665,-0.0291970410274174,-0.0348246387057964,-0.0617170374487295,-0.047316804944608,-0.0750394273327507
"Armenian (Eastern variety)",-0.00415549133035353,0.0395267751962591,-0.0369924732279548,0.0608502618365606,-0.00551639852370056,0.034672690780582,0.0321626863718069,-0.0393517031961294,0.0102935357101093,-0.0116036864701585,0.00597781463580016,0.00896059250565695,-0.0405624206554989,0.0195065893635167,0.048195367263872,-0.00216227228874233,0.0151384031790528,0.0346405382720332,0.0481896891207972,0.0230122728152534,0.0139757480446757,0.0613026190254098,-0.026637693351957,0.0364102151290298,-0.0465077820202335,0.0261629545724615,0.0130214862440026,0.00818320105586212,0.0137947242673625,0.0127888368383058,0.0126707305196702,-0.0218220281110132,0.0131093269189606,0.0113513236213829,-0.0183659287255313,0.026267014839729,-0.0527107164391157,-0.064702977576049,0.0288890813249565,0.0449716556370949,-0.0100194176708015,0.0768430716497752,-0.0363177750929069,0.00256257903239332,0.0634218500522031,0.0215636171592992,0.0367841553159579,0.0123598581083232,0.0310371464662228,0.0481806851066819,0.0243147185742909,-0.0462239575197143,-0.00466893933242574,0.0330445470581402,0.0206999074924002,-0.0463577975178755,0.0482382161373386,0.0173001278460071,0.00583400073003348,0.041973420460781,0.0221263297512196,0.0317051742567313,-0.00619066092359033,0.0304914075941048,0.00482510684538084,0.00774283884241689,-0.0891801803771699,0.0171348061158769,-0.0157864969578485,0.0623602957554065,0.0418904032942511,0.0933440072722187,-0.129272671218363,0.039096405556757,-0.0234784822241578,0.0586152855971986,0.00517339310051468,-0.0143832971825584,-0.0657964794364106,-0.0022667127364181,0.00229566404348114,0.0196769359582241,-0.0084083259296196,0.00434030219023351,-0.0120814614670068,-0.0281770992983238,0.0646473342292015,-0.0528070746993532,-0.0118818822220933,-0.0301286944610938,0.0329906557822328,0.0628190175564313,-0.014371754124285,0.0205198744748912,0.0480124370881884,0.0111981254560644,-0.0513509341944079,0.0324996271418367,0.00942201494537631,0.0250079360264076
