"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"Archi",0.00673284161620391,-0.0653648828959306,-0.00730909762291676,0.0104585527538177,0.00258257499299841,0.00947359880836207,-0.066792118736233,-0.0346931878041762,0.0672667583251708,0.0226811955103923,0.00550880657764752,-0.0556931235168835,-0.00779209643102508,0.0821920108287889,0.0130070558384129,0.01526830353602,0.0229029372086167,-0.0215278965680126,0.0102922818098971,-0.00679827980577674,-0.0208546510237757,-0.0349180136530078,-0.0209064434546566,0.0141123046402014,0.067723426278259,0.0110404419997268,0.0608503221651275,0.0237150668095645,0.053719147651913,-0.00541402302581084,0.0473845795753012,-0.0329602583872598,0.0219206434977742,-0.0574829817620879,-0.0419019319966685,0.00715020942771749,-0.0575829297844523,-0.0767296952904327,-0.031762986488253,-0.00578491063818287,0.0296782423108746,0.0599384117820688,0.0517590430149829,0.0420055887494625,0.0168470587976757,0.0235258343144962,0.0179289188801681,-0.000230736874217374,0.0373496280676042,-0.0177776551475873,0.00483042469504602,-0.0292706711271813,0.00483042469504602,-0.048146836007409,-0.0400107340562693,0.0367250568677516,0.0457443432137151,-0.0209889557253556,-0.0430898761262394,-0.00202612356068388,-0.0364689459768353,0.0407358404419464,0.04050477308824,0.027814890963774,-0.0286229322144766,-0.0323266470865243,-0.0134945481089251,-0.0516165645195571,-0.00799069801437136,0.00699248611033565,0.0380140366036784,-0.0367010551409861,-0.0606468360074088,0.0720081701861333,-0.0522407237077438,0.0202524575068792,0.0232163944080139,0.0116508827563196,0.00936782575747097,0.0139395867563143,-0.0160539952458264,-0.0249064970219633,-0.0449355177783609,-0.0454938062524765,0.0149642780893354,-0.0231748518572964,0.0714113592404034,0.0349145908567495,0.0260042094954797,0.00701954389129256,0.0293041687474096,-0.00923142218734252,0.000302551872684576,0.0440174001416659,-0.00704800368485337,-0.019013010290945,0.0298452503806903,-0.0264365703827453,0.018342805761105,-0.00229642961419407
"Bezhta",-0.0298959002501916,-0.0338343650529426,0.0471917663760172,-0.0434264531790541,0.0613551004693487,-0.0246821656358157,-0.0106520817339036,0.012683356495789,-0.0089999521279841,0.0721272467234093,0.0274567064544317,-0.0237979765532847,0.0725075190043653,0.0216149433497561,-0.00862436528432242,0.0646770048938824,-0.0108666688438848,-0.00602207997054938,0.012711724435385,0.0125190960927258,0.026324045115821,0.0143354330453236,-0.0300804020758904,-0.0246588905711781,0.0561356786740801,0.0320264318395931,0.0182682170550541,-0.0239348759289032,0.0455387958252846,-0.0222293676171171,0.0785733335881729,-0.0459206806987659,0.085132363636904,0.016145655859258,-0.0149045568008205,0.106151141512285,0.0361759238593342,0.0134714263608227,-0.000742882730288996,-0.0563506470276663,-0.0178954578887038,0.0376452012068653,0.0274319424123836,0.031738095215449,0.0777587271055534,0.0237519940430789,-0.0136206018936764,0.0258182731993014,0.0261894558854333,0.0284770986338171,0.0246730773879893,-0.0271044084955362,-0.0476744835676242,-0.00285128182941596,-0.0261630515035985,0.0309732380223597,-0.0134186122658203,0.0772347345862567,0.00269380810579478,0.00376105227708079,0.053868226961197,-0.00524929803119389,0.0452774633414363,-0.0127660403231886,0.0081096512687534,-0.0457807358092295,0.0140686396396013,-0.0261858851579673,-0.0641309056616011,0.050509980364821,-0.0271215423722827,-0.0813489525501228,0.0653524189476549,0.0247497884287062,0.0628576998372602,0.105639671847032,-0.0487798638823733,0.0187259281912797,-0.0418963798182723,0.0462315663483662,0.00767831094337157,0.00955078689363731,0.0677913955720022,-0.0448747585357752,0.0389521290657677,-0.0159812739127757,-0.0018846647742734,0.00747631787006986,0.0764519440928801,-0.0265321730883294,0.0581388756450082,0.027957882049922,0.0287835181439188,-0.0157676645938323,0.0451849415962687,0.0899011311512891,-0.00824532645801646,-0.0111790323222436,-0.0123415349865247,0.039283696744056
"Ceq Wong",0.0591387984277125,0.0568613694579139,0.0324673499810559,0.00167766828323967,0.034527638396321,0.10782143399938,0.0412054581072107,0.0406783811850642,0.0653525571880379,0.0511715276962338,0.0196539918942751,0.0642635981977581,0.0482573851419117,0.0635417590557869,0.0612389047756622,-0.0395537709626677,0.0691181732168195,0.00853582072022518,0.00783072094112858,0.017307662771931,0.0601922045828409,-0.0055206065664144,0.019031527183632,0.0675287530211873,0.000506362643481473,0.0540272250706779,0.13232046421085,0.0313132627910974,-0.0590965904804681,-0.012891311787121,0.03219533183784,0.0197169701127395,0.0321183310555124,0.0653641876235356,0.0951728549950148,0.0486624960915535,0.0432006007880722,0.0360933090253541,0.062384037028265,0.175898799390635,0.0501314267411891,0.0709719774704014,0.0511242184371871,-0.0267416899414717,0.0756222485869781,0.0482976950625414,0.0460928197442599,0.0507971133473856,0.0214662775158085,0.0495037518233996,0.0396179322832029,0.054761823050675,0.102827934651231,-0.00944854307327059,0.0453419922486098,0.00136562861891387,0.00604184238845751,0.0283550368619844,0.0431948268686136,0.0758971974366954,0.131637325891232,0.0904258555068973,0.031992334503141,0.0700409469921975,0.0698899445250806,0.0515232960934165,0.0410015885742475,0.102430444218834,0.0515232960934165,0.0328889796220084,0.0344558122978098,0.094879846113843,0.0622012443660112,0.083102544914172,0.0469289993390939,0.0576409003069964,0.0610927494561433,0.12428633814094,0.015506895685517,0.023940159950661,0.0837077186406302,0.0528689829081951,0.0889646862981147,0.00882271368494858,0.00844051379237909,0.00500829118448343,0.067069929738535,0.0254922715124883,0.0410360353904203,0.0290307262617157,0.0646462722219697,-0.012891311787121,0.0531266075426339,0.0199257305915232,0.121324659814768,0.0478285724610645,0.0106895200197964,0.0749281649824125,0.0621065269489041,0.0810544394886575
"Dutch",-0.00391669747182521,0.0131992476928936,-0.000165513995256661,0.0222088623241347,0.00269718672970765,0.0416610424586817,0.066219921905568,0.0524528127360339,0.020558586998992,0.0534041187352174,0.026407559756782,0.0427914717941585,0.0464410064252335,-0.00511164805122444,0.089847548976244,0.0131038666539423,0.03864481616205,-0.0176901767877727,0.0520641012978843,-0.0297583742421094,0.036982229945179,0.0253826676507721,0.0135585039904184,0.0531049145151795,0.0328199542042159,0.0671062487435101,0.0377652420354508,0.0111197905846824,0.0397963424995698,0.125158041322712,0.0358919248639712,-0.0370755226931442,0.0283142421263685,0.0306193648406439,0.0759518073288075,0.0416684919571579,0.0154394723398612,0.0305205269218941,0.0434027946023864,-0.00130859134810724,0.0972033053497636,0.0919619459532177,0.0536619105476219,-0.00130859134810724,0.0701846751782407,0.0547375839490877,0.00240385150099109,0.0584613859798364,0.0824650529843993,0.0116326183650135,0.0471789019252963,0.0419919933702992,0.0128758825625543,0.0136189888774102,-0.0209771327888554,0.00154782181005331,0.015577471934573,0.0359515899797961,-0.00482324711142079,-0.0166212014375534,-0.0144320306979816,0.0001392796025943,0.0723282916264459,0.00827678280070177,0.0310768033325679,0.00886358667258225,0.0163277583420565,0.0360135460096702,0.0327256551160489,0.0641441608966715,0.0723544366587836,0.0434221439634884,0.0613904929897903,0.0703877910306973,0.0162383269252627,0.0108535147207389,0.0177812910074902,0.0657431112553002,0.0226634996606107,0.0256243225407895,0.057867601387729,0.00355873591218003,0.0360756158989367,-0.0112880464560202,-0.017415165767974,0.034012804248339,0.0169580674084289,0.0212446876193907,0.00354423364727385,-0.0134852588145833,0.0427735952800294,-0.0187429753552546,0.000494829689223542,0.055827428816605,-0.0326542386602477,0.00886358667258225,-0.00850924728871427,0.0285670576951763,0.0445449447620648,0.0529604730540522
"English",0.00930610165169243,0.00971799354954384,0.0305861354151015,0.022057672685535,0.0303573590948796,0.0620877593124947,0.0835614679191384,0.0446673532682454,-0.00904273025498215,-0.000222143571240396,0.0393144836255372,-0.0437300771195979,0.00344367204613816,0.073324016080431,0.0596052807908451,0.0398451631975557,-0.0298482537576903,-0.015748296800261,-0.0499805703762712,-0.0345953767476432,0.0603736752801415,0.000882800780759863,0.0809005963296081,-0.0354109102298715,0.0652734822797172,-0.0375681263740166,-0.0171153001765817,0.0336818235286177,0.00586121132559492,0.0510029358242242,-0.047516906524566,-0.0147627028239635,0.00168142872561727,-0.00205007306624716,-0.0120790947729195,0.00179658853734876,0.0406660547056047,0.0771271974227492,0.0542144956436659,-0.010762987016057,-0.0265238171186107,0.0238311185064392,-0.00904273025498215,0.0530510184250019,0.0160100702398266,0.0258256628610531,0.0809749364747735,-0.0365318022699439,-0.0520110851697259,0.0395181926313798,0.0305269197020535,0.0429768631678619,0.0127715656981447,0.0557857214977032,0.0407316846734068,0.0788601435566358,0.0141996576676368,0.0453002873230979,0.0116954368735858,0.0173776612807249,-0.0110800532626804,0.0936865993527206,0.0252819274001965,0.0671394720258814,0.0230489475727996,0.090763524535184,0.0116287120928303,0.0360550253752491,0.0556127074507037,0.0313035992869382,0.0646100479646435,0.058440985510234,0.0714035131820946,0.0416436112253306,0.0411387219872918,-0.0277039125370843,0.00586121132559492,0.0581665141175781,0.0210128779296234,-0.00536761158850807,0.0201131898937121,0.0256699914129865,0.0201131898937121,-0.00072292005497987,0.0266803045564896,0.0289210003533503,-0.00814918781952878,0.0686794291737906,0.00048136116928188,-0.0705534769551966,0.0729603047180345,0.0356077751990627,0.0181160695234273,-0.0036051930927653,0.016156120212382,0.0634977698640735,-0.0246649989178009,0.0416078445887688,0.0794015613706863,0.00663996927977473
"Gawwada",0.084747018605389,0.0504910327349022,0.0715713939998365,0.0500518451236317,0.0717963943430013,0.0513738418945709,0.129209248801139,0.0839189500572155,0.0960475448122426,0.0693583037153658,0.0681825724027246,0.01344565954415,-0.000715903868603984,0.0338300455595644,0.0885841681685737,0.0790312995328031,0.0616502743005172,0.0751964474444748,0.0227758020154019,0.0477377749454593,0.0569063784318952,0.0677228600238762,0.00691917953127119,0.0194894743568501,0.0836923848958615,0.0950717948321143,0.0552724625565725,0.0306045421389345,0.0267583701363355,0.0955802605210372,0.107644366722726,0.0609818988296612,0.129096954815749,0.0665170566241766,0.0914912894809972,0.102219900566442,0.020546154547663,0.0632410849890602,0.123684504798439,0.0130026878664905,0.0896636487687031,0.0557893489967287,0.118172963028473,0.0481580123837934,0.0410217371059615,0.0882168344229682,0.056861404510541,0.0346745817544606,0.047344733553343,0.0291500046441042,0.0869440842792877,0.0626851963833508,0.0286586223607691,0.0598881951230619,0.0763643856176065,0.0215301535862249,0.0386259834454526,0.0110969093698092,0.0808318253313501,0.0921560033650491,0.0967003553145777,0.101665570208346,0.0735261798635016,0.0043665576113282,0.0223895697093438,0.0419604261510199,0.04208466808129,0.092203406126551,0.0393194583086784,0.010893196463082,0.0750699517464426,0.0365885289205778,0.0581871680583115,0.0667809981275048,0.0576049849015793,0.00841958266158693,0.014733208680961,0.0971310632958802,0.0035306244945531,0.0410342594871621,0.0633199249277554,0.0928565861732096,0.0806516091505396,0.0482268214880973,0.0653545094183703,0.0620501640211886,0.0926513858712387,0.0848090748031359,0.0834414706757051,0.0378880091838883,0.0571145152461022,0.035465563989319,0.0957035025415153,0.045992162238301,-0.0141734900453006,0.0179708332156595,0.055864743922214,0.0319748863507882,-0.0485469493641278,0.0379115976157722
"Gurindji",0.102699554210296,0.0721158058865409,0.102440027041601,0.0529112265805803,0.0595361920359898,0.0880006779099556,0.0612304437028025,0.0765416252202211,0.0513935225240277,0.0683764353662661,0.0476434250959628,0.0690597088043727,0.057837986009816,0.110151345533087,0.105005202269056,0.0657750744907427,0.0945844169408757,0.0589715725288275,0.0779968862475645,0.117018878931407,0.0934442268098979,0.0289487227607689,0.0715685245754594,0.102255959761522,0.0350198608770081,0.0922489223532262,0.0581430981984913,0.0451486506714049,0.0372523587114691,0.0697518940364528,0.0748439133532485,0.0877744580252605,0.0776421819153059,0.0839189483434014,0.0745522200396407,0.108593866275351,0.109343002238267,0.0841773380817199,0.0434448950988209,0.0521820564473735,0.0477661262950447,0.0999730910648013,0.0629467818961368,0.0574071313460904,0.0565823040446568,0.0368653009329508,0.0618150928075113,0.0235642337681383,0.0609457878868022,0.111480164461392,0.0537150609413579,0.0422133356591798,0.0798356184838541,0.0577456066430307,0.0655145767148734,0.0934600826400883,0.0342072633403759,0.0515212814207872,0.129904144206206,0.0827772101896771,0.0863073609405486,0.101800627338121,0.0702425284789736,0.0770744603372173,0.0867707453962462,0.0718902480681635,0.0306109944024276,0.0652203450888934,0.101630333373232,0.0574607760721635,0.0370304151727776,0.0658302084920273,0.0389962793445473,0.0333792112411341,0.0955959446518958,0.121006995384353,0.0559204818103145,0.0780349063319768,0.0621833291334696,0.108701955947223,0.0737095195777066,0.0536514539574057,0.0456455498536416,0.0686917995254197,0.0713987641667153,0.034935518025445,0.080949598952239,0.0724240495783897,0.0700588505770974,0.0583811572424846,0.0792215578247367,0.0772505780183111,0.0175835629522056,0.0589269666164073,0.0327025945830494,0.0832038001760148,0.0797131627785103,0.0821742359578042,0.120289720579349,0.0606322397821202
"Imbabura Quechua",0.0335491548130122,0.00150688765482032,-0.0169634801248598,-0.0442850443679552,-0.0328498065242006,-0.0975926723230263,-0.0324682657249341,-0.0405096274897695,-0.0212553101529849,-0.0646193269204037,-0.0415126533634589,-0.066963908403972,-0.0377693788991862,-0.0344041762721976,-0.0999318927945956,-0.0436028244774843,0.00336066029397175,-0.0340181820467315,-0.0100676327382379,-0.0242904029852643,-0.0698910273418232,-0.024192345051004,-0.0629499983725563,-0.0453884353994072,-0.0364829558763359,-0.0492269663417324,-0.0450096426576665,-0.0735996282066937,-0.0374694284038976,-0.0540443613160656,-0.0399191016215632,-0.033606803337863,-0.0269360743459727,-0.0461065893267341,-0.0512529027679488,-0.0612248189600227,-0.043438677547291,-0.0352998210436259,-0.0102751049916434,-0.0686546993122794,-0.0334700431359184,-0.0339090434449482,-0.00342381886221876,0.00924800443302576,-0.0415659614138848,-0.0479355887026957,-0.045612640612498,-0.0565321444110869,-0.0402777634430223,-0.0365071348381757,-0.00839329246564191,0.0108194069616034,-0.0491758358715699,-0.013357462298743,-0.0526254734433848,-0.0236844429939381,-0.0512529027679488,-0.0233361803044035,-0.0151603109795567,-0.0181275975056642,-0.0328209273307001,-0.0648528068844912,-0.00410360950736022,-0.0304715926093243,-0.082497529113621,-0.0396392732157544,-0.0310635618990801,-0.0448160175753453,-0.0348772857647843,-0.0063734334507265,-0.0512894276801857,-0.0623348520358699,-0.0430555824689174,-0.0319266239325702,-0.026030455173204,-0.0224449157212538,0.00992692928613914,-0.0394929930133905,-0.0177646097689594,0.00667759090969178,-0.0248162802067228,-0.0244079654636689,-0.0600986984351966,-0.0588481813688615,-0.00145476912386777,-0.0542166285413352,-0.0811550207755029,-0.0383625126331212,-0.00699968252521121,-0.0115158634235354,-0.0739096178827218,-0.0451752891555975,-0.0606473618360266,-0.0485090015080544,-0.0636650465391884,-0.053059775573888,0.0272395781518755,-0.0657655224418255,-0.0306488014964555,-0.0584536735150172
"Indonesian",0.0309331560503441,0.0960459979637027,-0.0082785910600881,-0.000232638481634129,0.00720325344552841,0.0556269886548475,0.0752348749666335,-0.0199758079921944,-0.00479990496658367,0.0724664013919557,0.0561557515368515,-0.0112452802736369,0.0256993814752668,0.000378929355586033,0.0106427242477264,0.0415799561355513,-0.0377991156501039,-0.00277346300194869,0.0159286660861356,0.00677631500464015,-0.0194114188204869,-0.0216872872782018,0.00692278284015624,0.0173222472591099,-0.0549420847625731,0.0792532141125311,0.0325234942954717,0.0158173691131138,0.0449105822467954,-0.00504412090641648,0.0209063115998422,0.0581235448703715,-0.0116887238542451,0.0719585273868518,0.00761655569125186,-0.0281155476994237,0.0129019853238169,0.0234048157858993,0.0639431640545246,0.0248788198698676,-0.013554437359778,0.0690095266363704,0.0045960753024602,0.0296581963528234,0.0236943251554329,-0.0107084982520054,-9.13018774065799e-05,0.0273121006857642,-0.0343655675420439,-0.003197976459695,0.0791847716444778,0.00922363274362004,0.0256005169749975,0.00492916230325602,-0.0247507255074167,0.0933676482302753,0.0259765522579648,0.0246202970441795,0.0734766329050837,0.0212194650883566,0.0368807041976491,0.0302479606409128,-0.0443756121939368,0.0428987170862722,-0.00271717797208859,0.0257391705777711,0.0181468702531463,-0.035310226335607,0.00650069320880398,0.00230511049374971,0.000580276235323085,0.00499581796616844,0.0301763175295823,-0.0277622142069794,-0.00565110953249748,0.0208547302791807,-0.00538726296329706,-0.0017941894043787,0.0527031035275496,0.0260724988833598,-0.0410869705481441,-0.0104633474052336,0.0381130278154709,0.0140932427068292,0.0132242627961658,0.0220141305979628,0.0087219385689129,0.057340927985683,0.0302627400216621,0.0593690989522403,0.0108686413027542,0.0329101465943963,-0.00487189988507453,0.0263538025782771,0.0625880413855788,0.0121248807605494,-0.0177506756357224,0.0524081455629797,0.0177961180486949,0.0506392466603112
"Iraqw",-0.151772472685304,-0.126531225338617,-0.157431045021737,-0.110804552625238,-0.137406849243437,-0.0901761386765328,-0.129724909183903,-0.13589718972865,-0.105673223815095,-0.124627983116771,-0.0994443721772955,-0.115078491340324,-0.0899815955328538,-0.0586306107218997,-0.0967467036005497,-0.0626976484443765,-0.0987622591985445,-0.126862690323888,-0.0823822515746389,-0.0957499755113532,-0.150965506464855,-0.106664106120437,-0.166095578073496,-0.147454484005422,-0.124660408977583,-0.128354475731117,-0.16933038282319,-0.15564586191916,-0.128354475731117,-0.157749259220138,-0.0545295477493158,-0.13508027664998,-0.0997470926032441,-0.171431618429969,-0.101055930194689,-0.138250354029092,-0.155512136019316,-0.129125056411432,-0.0701752900449796,-0.111693564839539,-0.105449465657034,-0.120740171554369,-0.0548953240700732,-0.0870687947757822,-0.123581113102469,-0.143212334976881,-0.172558200056839,-0.09353564572837,-0.121193081303693,-0.139025355171204,-0.121004753189394,-0.0387391200552646,-0.156217898580442,-0.114132911134073,-0.0872099700886391,-0.119761313833921,-0.144018525524107,-0.166593095049025,-0.130379654277815,-0.0612437013108597,-0.127666261322358,-0.100447714600557,-0.123901386783872,-0.110436580730868,-0.158605780685856,-0.0949988752060398,-0.0980228831402467,-0.153796160358414,-0.083815642206285,-0.149501736057888,-0.16459179163099,-0.0758459129894322,-0.123515024097485,-0.145440296388065,-0.101670665301352,-0.171909018217,-0.094649750960596,-0.106859720932592,-0.103081620181715,-0.136020290615796,-0.110124613867799,-0.0722333653622996,-0.150589254997681,-0.116524724272594,-0.124868190153064,-0.132233825945909,-0.179369527873294,-0.0632822568724787,-0.113301583619098,-0.151309029916911,-0.0873610653609089,-0.109288855851903,-0.125071042761354,-0.113178609377138,-0.119724999571193,-0.084756007270967,-0.141487954829124,-0.0460075320233598,-0.104319241086639,-0.0887127143970823
