"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"Archi",-0.156530458545249,-0.236531071317221,-0.0864271525928648,-0.226633764497633,-0.226633764497633,-0.0864271525928648,-0.226633764497633,-0.0599670978309664,-0.226633764497633,-0.156530458545249,-0.296737070450017,-0.0864271525928648,-0.130070403783351,-0.0599670978309664,-0.0163238466404806,-0.156530458545249,-0.226633764497633,-0.0163238466404806,-0.226633764497633,-0.156530458545249,-0.156530458545249,-0.296737070450017,-0.130070403783351,-0.226633764497633,-0.226633764497633,-0.296737070450017,-0.226633764497633,-0.0599670978309664,-0.156530458545249,-0.226633764497633,-0.226633764497633,-0.226633764497633,-0.0599670978309664,-0.156530458545249,-0.226633764497633,-0.0864271525928648,-0.156530458545249,-0.130070403783351,-0.0864271525928648,-0.0599670978309664,-0.226633764497633,-0.296737070450017,-0.116119073051628,-0.226633764497633,-0.226633764497633,-0.226633764497633,-0.226633764497633,-0.156530458545249,-0.226633764497633,-0.226633764497633,0.110200018638296,-0.0599670978309664,-0.226633764497633,-0.226633764497633,-0.0864271525928648,-0.156530458545249,-0.226633764497633,-0.226633764497633,-0.130070403783351,-0.226633764497633,-0.226633764497633,-0.226633764497633,-0.156530458545249,-0.0864271525928648,-0.156530458545249,-0.156530458545249,-0.0599670978309664,-0.0599670978309664,-0.226633764497633,0.0537794593119035,-0.130070403783351,-0.156530458545249,-0.156530458545249,-0.156530458545249,-0.156530458545249,-0.226633764497633,-0.296737070450017,-0.0864271525928648,-0.156530458545249,-0.226633764497633,-0.226633764497633,-0.130070403783351,-0.226633764497633,-0.296737070450017,-0.0599670978309664,-0.156530458545249,-0.156530458545249,0.0101362081214177,-0.296737070450017,-0.226633764497633,-0.156530458545249,-0.296737070450017,-0.156530458545249,-0.156530458545249,-0.226633764497633,-0.0599670978309664,-0.0864271525928648,-0.156530458545249,-0.156530458545249,-0.156530458545249
"Bezhta",-0.235788058143689,-0.288345299292396,-0.0558928445831213,-0.2281393001596,-0.218241993340012,-0.107727301894007,-0.2281393001596,-0.0850029237437011,-0.0850029237437011,-0.0647775339340806,-0.167933301026804,-0.218241993340012,-0.0515753266733453,-0.218241993340012,-0.0850029237437011,-0.2281393001596,-0.0515753266733453,-0.195364317408686,-0.235788058143689,-0.218241993340012,-0.218241993340012,-0.218241993340012,-0.2281393001596,-0.288345299292396,-0.121678632625729,-0.288345299292396,-0.2281393001596,-0.183230816994982,-0.183230816994982,-0.0780353814352437,-0.167933301026804,-0.183230816994982,-0.0515753266733453,-0.131326281176106,-0.218241993340012,-0.288345299292396,-0.288345299292396,-0.148138687387628,-0.167933301026804,-0.235788058143689,-0.183230816994982,-0.148138687387628,-0.148138687387628,-0.2281393001596,-0.0850029237437011,-0.102383335524976,-0.218241993340012,-0.0850029237437011,-0.183230816994982,-0.161619009172983,-0.130673575846276,-0.148138687387628,-0.288345299292396,-0.167933301026804,-0.148138687387628,-0.1108361736006,-0.2281393001596,-0.218241993340012,-0.288345299292396,-0.167933301026804,-0.163393414749307,-0.195364317408686,-0.218241993340012,-0.107727301894007,-0.167933301026804,-0.107727301894007,-0.167933301026804,-0.148138687387628,0.0269981475998451,-0.218241993340012,-0.167933301026804,-0.167933301026804,-0.107727301894007,-0.130673575846276,-0.235788058143689,-0.148138687387628,-0.167933301026804,-0.148138687387628,0.0886312852314231,-0.0850029237437011,-0.0850029237437011,-0.167933301026804,-0.148138687387628,-0.145208922876497,-0.00207254646059862,-0.0780353814352437,-0.121678632625729,-0.167933301026804,-0.130673575846276,-0.218241993340012,-0.148138687387628,-0.0780353814352437,-0.288345299292396,-0.0247969246109049,-0.0515753266733453,-0.218241993340012,-0.2281393001596,-0.0850029237437011,-0.1108361736006,-0.1108361736006
"Ceq Wong",0.0284833361607303,-0.0721340484656864,-0.0919286621048623,-0.00899828482175968,0.120992672962879,-0.0721340484656864,-0.0919286621048623,-0.0721340484656864,0.0244293122485961,0.0739320924613428,-0.142237354418071,-0.0721340484656864,-0.0919286621048623,-0.142237354418071,0.0512077143110365,-0.0721340484656864,-0.107226178073041,-0.0919286621048623,-0.0263786966030349,-0.045673993703788,-0.0546689369243343,0.0945326182009802,-0.0546689369243343,-0.00203074251330226,-0.152134661237658,-0.0721340484656864,-0.0919286621048623,-0.0317226629720659,-0.0919286621048623,-0.0721340484656864,0.0244293122485961,-0.0317226629720659,-0.0546689369243343,-0.0553216422541646,-0.0721340484656864,-0.045673993703788,-0.0546689369243343,-0.0721340484656864,-0.0919286621048623,-0.152134661237658,-0.142237354418071,-0.107226178073041,-0.142237354418071,-0.0721340484656864,0.0244293122485961,-0.0721340484656864,-0.0317226629720659,0.145301917810634,-0.142237354418071,-0.142237354418071,0.0945326182009802,0.103002786521787,-0.00203074251330226,0.068072563439082,-0.0919286621048623,0.148895334426323,0.0375631087157232,-0.0546689369243343,0.138175869391466,0.0177257064700479,-0.107226178073041,-0.00211169577562731,0.103002786521787,-0.0919286621048623,0.0739320924613428,-0.0721340484656864,0.134138091594139,0.0512077143110365,-0.00899828482175968,0.068072563439082,-0.0721340484656864,-0.00203074251330226,-0.00899828482175968,-0.00899828482175968,0.0504455453730797,-0.0348315346786588,0.0244293122485961,0.0177257064700479,-0.0721340484656864,0.0244293122485961,-0.0546689369243343,-0.045673993703788,0.0244293122485961,0.0512077143110365,0.0512077143110365,0.0945326182009802,-0.0919286621048623,-0.045673993703788,-0.0721340484656864,-0.0919286621048623,0.0269193669405458,0.111413713443833,-0.045673993703788,-0.0721340484656864,-0.045673993703788,0.217696561205016,-0.00899828482175968,-0.0721340484656864,-0.0721340484656864,-0.0721340484656864
"Dutch",-0.235595404753385,-0.115183406487792,-0.165492098801001,-0.175389405620588,-0.115183406487792,-0.235595404753385,-0.0953887928486166,-0.175389405620588,-0.115183406487792,-0.0549774073549961,-0.110643520210296,-0.0779236813072645,-0.0953887928486166,-0.115183406487792,-0.0549774073549961,-0.165492098801001,0.00117456786566594,-0.0924590283374861,-0.175389405620588,0.0279529699281064,-0.0953887928486166,0.00117456786566594,-0.165492098801001,-0.115183406487792,-0.0322530292046899,-0.0549774073549961,-0.0322530292046899,0.114921125008536,-0.0322530292046899,-0.0549774073549961,-0.0953887928486166,0.00117456786566594,-0.0322530292046899,-0.0692950020288805,-0.0689287380867182,-0.165492098801001,-0.0953887928486166,0.0506773480784126,-0.0924590283374861,-0.0252854868962324,0.00117456786566594,-0.0322530292046899,-0.0953887928486166,-0.130480922455971,0.0052285917778,-0.165492098801001,0.00117456786566594,-0.0953887928486166,-0.235595404753385,-0.0322530292046899,-0.165492098801001,-0.0549774073549961,-0.175389405620588,-0.0549774073549961,-0.0953887928486166,-0.058086279061589,-0.0924590283374861,-0.0953887928486166,-0.058086279061589,-0.115183406487792,-0.0953887928486166,-0.175389405620588,-0.0924590283374861,-0.0953887928486166,-0.0252854868962324,-0.115183406487792,-0.00552903791288228,-0.175389405620588,-0.115183406487792,-0.165492098801001,-0.115183406487792,0.0506773480784126,-0.0322530292046899,0.0712778738180501,-0.0953887928486166,0.0694899322789967,0.114921125008536,-0.165492098801001,-0.165492098801001,0.0052285917778,-0.175389405620588,-0.165492098801001,-0.115183406487792,-0.0924590283374861,-0.0549774073549961,-0.058086279061589,-0.115183406487792,-0.183038163604678,0.00117456786566594,-0.175389405620588,-0.0549774073549961,-0.165492098801001,0.0977379285799485,-0.175389405620588,-0.235595404753385,0.0279529699281064,-0.115183406487792,0.0712778738180501,-0.115183406487792,-0.165492098801001
"English",-0.125144851460917,-0.23025933375833,-0.125144851460917,-0.170053334625534,-0.109847335492738,-0.125144851460917,-0.0635926670916637,-0.160156027805946,-0.23025933375833,0.0332890409231609,-0.0527502080665345,-0.0900527218535621,0.127383244422758,-0.0900527218535621,-0.109847335492738,-0.160156027805946,0.176677755329983,-0.170053334625534,-0.23025933375833,-0.0269169582096354,-0.0199494159011779,-0.0871229573424316,-0.177702092609624,-0.0900527218535621,-0.0900527218535621,-0.160156027805946,-0.160156027805946,-0.0496413363599416,0.00651063886072045,-0.0900527218535621,0.0707706619056508,0.176677755329983,-0.23025933375833,-0.0527502080665345,0.00651063886072045,-0.0900527218535621,-0.177702092609624,-0.0496413363599416,-0.177702092609624,-0.0907878609327655,-0.160156027805946,0.130976661038447,-0.109847335492738,-0.0900527218535621,-0.177702092609624,-0.160156027805946,-0.160156027805946,0.0332890409231609,0.00651063886072045,-0.109847335492738,-0.0199494159011779,-0.23025933375833,0.00651063886072045,-0.160156027805946,-0.160156027805946,-0.23025933375833,-0.109847335492738,-0.0496413363599416,-0.109847335492738,0.0766139448131046,-0.160156027805946,-0.160156027805946,-0.160156027805946,0.0332890409231609,-0.160156027805946,-0.105307449215241,-0.000192966917827775,-0.0871229573424316,-0.160156027805946,-0.0900527218535621,-0.170053334625534,-0.170053334625534,-0.0199494159011779,-0.0900527218535621,-0.0871229573424316,0.00651063886072045,-0.0496413363599416,-0.109847335492738,0.00651063886072045,-0.109847335492738,0.0766139448131046,-0.0900527218535621,-0.0635926670916637,-0.000192966917827775,-0.160156027805946,-0.170053334625534,-0.000192966917827775,-0.170053334625534,-0.0900527218535621,-0.23025933375833,0.0523642742308792,-0.0900527218535621,-0.23025933375833,-0.0900527218535621,0.0332890409231609,0.12025719600359,-0.0527502080665345,-0.125144851460917,-0.0269169582096354,-0.160156027805946
"Gawwada",-0.109656676143154,-0.206220036857437,-0.206220036857437,-0.276323342809821,-0.136116730905053,-0.136116730905053,-0.155911344544229,0.030549935761614,-0.206220036857437,-0.0395533701907701,-0.109656676143154,-0.155911344544229,-0.206220036857437,-0.0395533701907701,-0.136116730905053,0.030549935761614,-0.136116730905053,-0.136116730905053,-0.109656676143154,0.00408988099971574,0.170756547666382,-0.0957053454114322,-0.109656676143154,-0.0660134249526685,-0.216117343677025,0.030549935761614,0.127113296475897,-0.0660134249526685,-0.136116730905053,-0.136116730905053,0.127113296475897,-0.0957053454114322,0.030549935761614,-0.026419573723643,-0.136116730905053,0.030549935761614,-0.136116730905053,-0.206220036857437,-0.0729809672611259,-0.0395533701907701,-0.136116730905053,-0.276323342809821,-0.136116730905053,-0.109656676143154,-0.0395533701907701,-0.136116730905053,-0.0660134249526685,-0.136116730905053,-0.0660134249526685,0.0741931869520999,-0.136116730905053,-0.0729809672611259,-0.171208860512407,-0.136116730905053,-0.0957053454114322,-0.206220036857437,-0.0395533701907701,-0.0660134249526685,-0.136116730905053,-0.206220036857437,-0.136116730905053,-0.109656676143154,-0.0395533701907701,-0.136116730905053,0.130613746278492,0.0741931869520999,0.030549935761614,-0.136116730905053,0.030549935761614,-0.109656676143154,-0.0395533701907701,0.030549935761614,-0.0395533701907701,-0.216117343677025,0.00994941002197658,-0.109656676143154,-0.0395533701907701,0.0849126519869565,-0.155911344544229,-0.206220036857437,-0.0660134249526685,-0.136116730905053,-0.0395533701907701,-0.0395533701907701,0.030549935761614,0.00408988099971574,-0.0395533701907701,0.0741931869520999,-0.0395533701907701,-0.0395533701907701,0.00994941002197658,-0.136116730905053,-0.109656676143154,-0.206220036857437,-0.0660134249526685,0.0741931869520999,0.00408988099971574,-0.0729809672611259,-0.136116730905053,-0.206220036857437
"Gurindji",-0.0361072924321387,0.00753595875834712,-0.0361072924321387,-0.0361072924321387,-0.106210598384523,-0.106210598384523,-0.132670653146421,-0.202773959098805,-0.132670653146421,-0.106210598384523,-0.132670653146421,-0.202773959098805,0.00753595875834712,0.00753595875834712,-0.176313904336907,-0.106210598384523,-0.132670653146421,-0.0361072924321387,-0.202773959098805,-0.062567347194037,-0.0361072924321387,-0.202773959098805,-0.202773959098805,0.00753595875834712,-0.132670653146421,-0.0361072924321387,-0.112914204163071,-0.0361072924321387,0.0604560682821438,-0.202773959098805,-0.0361072924321387,-0.00964723767024034,-0.202773959098805,-0.202773959098805,-0.0361072924321387,-0.0361072924321387,-0.0361072924321387,-0.202773959098805,-0.062567347194037,-0.202773959098805,0.00753595875834712,-0.0361072924321387,-0.27287726505119,-0.106210598384523,-0.106210598384523,0.00753595875834712,0.10409931947263,-0.106210598384523,-0.202773959098805,-0.0794321963220824,-0.162362573605185,-0.106210598384523,-0.222568572737981,0.00753595875834712,-0.106210598384523,-0.132670653146421,-0.00964723767024034,-0.00964723767024034,-0.202773959098805,-0.106210598384523,-0.139638195454879,-0.27287726505119,-0.132670653146421,-0.00964723767024034,0.0604560682821438,-0.0361072924321387,-0.106210598384523,-0.062567347194037,-0.106210598384523,-0.112914204163071,0.00349818096102006,-0.00964723767024034,-0.0794321963220824,0.134059824037124,0.0182554237932038,-0.106210598384523,-0.0603569630143641,-0.106210598384523,-0.106210598384523,0.0604560682821438,-0.139638195454879,0.0776392647107313,-0.132670653146421,-0.132670653146421,-0.176313904336907,-0.0419505753395925,0.00753595875834712,-0.106210598384523,-0.132670653146421,-0.00964723767024034,-0.0361072924321387,-0.176313904336907,-0.106210598384523,0.00753595875834712,0.00753595875834712,-0.0567078181717762,-0.106210598384523,-0.132670653146421,0.10409931947263,-0.106210598384523
"Imbabura Quechua",-0.255538098056498,-0.2290780432946,-0.325641404008883,-0.158974737342216,-0.255538098056498,-0.325641404008883,-0.255538098056498,-0.325641404008883,-0.11533148615173,-0.255538098056498,-0.325641404008883,-0.255538098056498,-0.325641404008883,-0.325641404008883,-0.2290780432946,-0.255538098056498,-0.255538098056498,-0.158974737342216,-0.11533148615173,-0.158974737342216,-0.0452281801993458,-0.395744709961267,-0.255538098056498,-0.255538098056498,-0.185434792104114,-0.185434792104114,-0.255538098056498,-0.325641404008883,-0.325641404008883,-0.158974737342216,-0.11533148615173,-0.325641404008883,-0.11533148615173,-0.325641404008883,-0.255538098056498,-0.255538098056498,-0.158974737342216,-0.158974737342216,-0.255538098056498,-0.325641404008883,-0.255538098056498,-0.325641404008883,-0.325641404008883,-0.185434792104114,-0.0888714313898317,-0.395744709961267,-0.158974737342216,-0.255538098056498,-0.185434792104114,-0.0888714313898317,-0.325641404008883,-0.255538098056498,-0.185434792104114,-0.158974737342216,-0.325641404008883,-0.325641404008883,-0.255538098056498,-0.325641404008883,-0.0452281801993458,-0.325641404008883,-0.255538098056498,-0.255538098056498,-0.255538098056498,-0.2290780432946,-0.325641404008883,-0.255538098056498,-0.2290780432946,-0.255538098056498,-0.275332711695674,-0.158974737342216,-0.395744709961267,-0.325641404008883,-0.325641404008883,-0.255538098056498,-0.0452281801993458,-0.11533148615173,-0.255538098056498,-0.255538098056498,-0.325641404008883,-0.158974737342216,-0.325641404008883,-0.185434792104114,-0.325641404008883,-0.325641404008883,-0.11533148615173,-0.255538098056498,-0.158974737342216,-0.255538098056498,-0.158974737342216,-0.325641404008883,-0.255538098056498,-0.158974737342216,-0.255538098056498,-0.395744709961267,-0.158974737342216,0.00769192932445084,-0.158974737342216,-0.158974737342216,-0.185434792104114,-0.255538098056498
"Indonesian",-0.210645765579199,-0.169022371804016,-0.243592186981942,-0.243365604482231,-0.124416856612245,-0.14956748902532,-0.164975113476625,-0.190808363333524,-0.190808363333524,-0.185505276723673,-0.155976828654865,-0.164807979967175,-0.138251122184817,-0.137772371804016,-0.27533650714161,-0.18632482434813,-0.210645765579199,-0.103174622985878,0.0134360607689371,-0.263203006727906,-0.0875482518833668,-0.241591198905907,-0.163551069177467,-0.11831748902532,-0.308111489892523,-0.27533650714161,-0.21129847090903,-0.0204321373614071,-0.14509355019391,-0.145113085322949,-0.143189316136297,-0.247905490759727,-0.202017086300815,-0.135865034316045,0.0387015290909702,-0.300062015742702,-0.0915057503132246,-0.13503624831195,-0.36831748902532,-0.197619513744127,-0.206043940592435,-0.298214183072936,-0.144749723667004,-0.106522371804016,-0.0754700024032779,-0.129423332536159,-0.0615995223047521,-0.228846016199755,-0.163551069177467,-0.190808363333524,-0.0464649070433498,-0.18081748902532,-0.190808363333524,-0.11831748902532,-0.158007571168167,-0.18632482434813,-0.11831748902532,-0.118866884938563,-0.0200244216236259,-0.138251122184817,-0.0870674890253198,-0.138251122184817,-0.285167287663068,-0.18632482434813,-0.308111489892523,-0.117239479530869,-0.11831748902532,-0.18632482434813,-0.227899925029256,-0.0824142949610248,-0.116542031602334,-0.0772917842574371,-0.0874823610331931,-0.255753402580808,-0.1823555252579,-0.190808363333524,-0.104769114343829,-0.0890753385029481,-0.104029740482932,-0.190808363333524,-0.180710678284467,-0.210645765579199,-0.116542031602334,-0.0519580554259661,-0.00433215967094092,-0.0672874933613385,-0.135945505488591,-0.129057461714319,-0.104769114343829,-0.265934279101394,-0.231806542460085,-0.227899925029256,-0.164807979967175,-0.190808363333524,-0.0634772545827115,-0.187699491626931,-0.164975113476625,-0.0587658351635756,-0.137788467309817,-0.169022371804016
"Iraqw",-0.414824088945002,-0.414824088945002,-0.274617477040233,-0.344720782992617,-0.304309397498997,-0.281585019348691,-0.248157422278335,-0.414824088945002,-0.341791018481487,-0.414824088945002,-0.341791018481487,-0.344720782992617,-0.30741826920559,-0.221379020215894,-0.414824088945002,-0.414824088945002,-0.414824088945002,-0.281585019348691,-0.484927394897386,-0.281585019348691,-0.414824088945002,-0.344720782992617,-0.318260728230719,-0.364515396631793,-0.484927394897385,-0.281585019348691,-0.304309397498997,-0.424721395764589,-0.364515396631793,-0.0378475044211823,-0.414824088945002,-0.281585019348691,-0.344720782992617,-0.274617477040233,-0.484927394897386,-0.344720782992617,-0.414824088945002,-0.318260728230719,-0.30741826920559,-0.204514171087849,-0.424721395764589,-0.424721395764589,-0.364515396631793,-0.248157422278335,-0.204514171087849,-0.344720782992617,-0.424721395764589,-0.344720782992617,-0.244103398366201,-0.379812912599972,-0.414824088945002,-0.364515396631793,-0.318260728230719,-0.281585019348691,-0.484927394897386,-0.414824088945002,-0.364515396631793,-0.274617477040233,-0.281585019348691,-0.414824088945002,-0.344720782992617,-0.484927394897386,-0.341791018481487,-0.414824088945002,-0.344720782992617,-0.274617477040233,-0.344720782992617,-0.344720782992617,-0.274617477040233,-0.414824088945002,-0.304309397498997,-0.248157422278335,-0.274617477040233,-0.414824088945002,-0.414824088945002,-0.414824088945002,-0.364515396631793,-0.318260728230719,-0.414824088945002,-0.254861028056883,-0.414824088945002,-0.344720782992617,-0.344720782992617,-0.281585019348691,-0.304309397498997,-0.364515396631793,-0.327255671451265,-0.414824088945002,-0.318260728230719,-0.244103398366201,-0.414824088945002,-0.304309397498997,-0.364515396631793,-0.484927394897385,-0.202303786908176,-0.344720782992617,-0.274617477040233,-0.414824088945002,-0.244103398366201,-0.414824088945002
