"run","N","meanPerm","p","z"
"InterrogativeOrder_RandomIndependentSamples_firstSegments.csv","20000",-0.03,"0.29565",0.53
"InterrogativeOrder_RandomIndependentSamples_area_firstSegments.csv","20000",-0.03,"0.3407",0.4
"RIS_WH_Unanalyzable_Family_firstSegments.csv","10000",-0.23,"0.0047",2.8
"RIS_WH_Unanalyzable_Area_firstSegments.csv","10000",-0.23,"0.0063",2.62
"RIS_RandomConcepts_firstSegments_9.csv","48798",-0.02,"0.343784581335301",0.41
"RIS_RandomConcepts_Domain_firstSegments_^9\._9.csv","948397",-0.03,"0.274492643903344",0.61
"RIS_BodyConcepts_firstSegments_Family.csv","20000",-0.14,"0.005",2.43
"RIS_BodyConcepts_firstSegments_Area.csv","20000",-0.11,"0.05545",1.52
"RIS_BasicActionsConcepts_firstSegments_Family.csv","20000",-0.01,"0.4062",0.26
"RIS_BasicActionsConcepts_firstSegments_Area.csv","20000",-0.01,"0.4764",0.09
"RIS_PronounConcepts_firstSegments_Family.csv","20000",0.02,"0.65835",-0.41
"RIS_PronounConcepts_firstSegments_Area.csv","20000",-0.01,"0.4465",0.15
